; Candidate 13510
; ADRP+ADD at VM 0xfffffff00933fa78 (fileoff 0x233ba78): page=0x1fe87e000 add_imm=0xe98

0xfffffff00933f9f8: 10e20791  add	x16, x16, #0x1f8
0xfffffff00933f9fc: 10420091  add	x16, x16, #0x10
0xfffffff00933fa00: f10300aa  mov	x17, x0
0xfffffff00933fa04: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00933fa08: 300ac1da  pacda	x16, x17
0xfffffff00933fa0c: 100000f9  str	x16, [x0]
0xfffffff00933fa10: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00933fa14: ff0f5fd6  retab	
0xfffffff00933fa18: 5f2403d5  bti	c
0xfffffff00933fa1c: 38c5be17  b	#0xfffffff0082f0efc
0xfffffff00933fa20: 5f2403d5  bti	c
0xfffffff00933fa24: 36c5be17  b	#0xfffffff0082f0efc
0xfffffff00933fa28: 7f2303d5  pacibsp	
0xfffffff00933fa2c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00933fa30: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00933fa34: fd430091  add	x29, sp, #0x10
0xfffffff00933fa38: f30300aa  mov	x19, x0
0xfffffff00933fa3c: 30c5be97  bl	#0xfffffff0082f0efc
0xfffffff00933fa40: e043ffd0  adrp	x0, #0xfffffff007bbd000
0xfffffff00933fa44: 00603a91  add	x0, x0, #0xe98
0xfffffff00933fa48: e10313aa  mov	x1, x19
0xfffffff00933fa4c: 02058052  mov	w2, #0x28
0xfffffff00933fa50: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00933fa54: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00933fa58: ff2303d5  autibsp	
0xfffffff00933fa5c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00933fa60: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00933fa68
0xfffffff00933fa64: 208e38d4  brk	#0xc471
0xfffffff00933fa68: 0d9fbe17  b	#0xfffffff0082e769c
0xfffffff00933fa6c: 5f2403d5  bti	c
0xfffffff00933fa70: e20301aa  mov	x2, x1
0xfffffff00933fa74: e10300aa  mov	x1, x0
0xfffffff00933fa78: e043ffd0  adrp	x0, #0xfffffff007bbd000
0xfffffff00933fa7c: 00603a91  add	x0, x0, #0xe98
0xfffffff00933fa80: 079fbe17  b	#0xfffffff0082e769c
0xfffffff00933fa84: 5f2403d5  bti	c
0xfffffff00933fa88: 00820090  adrp	x0, #0xfffffff00a37f000
0xfffffff00933fa8c: 00c01f91  add	x0, x0, #0x7f0
0xfffffff00933fa90: c0035fd6  ret	
0xfffffff00933fa94: 7f2303d5  pacibsp	
0xfffffff00933fa98: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00933fa9c: fd030091  mov	x29, sp
0xfffffff00933faa0: c10dffb0  adrp	x1, #0xfffffff0074f8000
0xfffffff00933faa4: 21500e91  add	x1, x1, #0x394
0xfffffff00933faa8: 02820090  adrp	x2, #0xfffffff00a37f000
0xfffffff00933faac: 42801991  add	x2, x2, #0x660
0xfffffff00933fab0: 03058052  mov	w3, #0x28
0xfffffff00933fab4: 2190be97  bl	#0xfffffff0082e3b38
0xfffffff00933fab8: d043ffb0  adrp	x16, #0xfffffff007bb8000
0xfffffff00933fabc: 10a20d91  add	x16, x16, #0x368
0xfffffff00933fac0: 10420091  add	x16, x16, #0x10
0xfffffff00933fac4: f10300aa  mov	x17, x0
0xfffffff00933fac8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00933facc: 300ac1da  pacda	x16, x17
0xfffffff00933fad0: 100000f9  str	x16, [x0]
0xfffffff00933fad4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00933fad8: ff0f5fd6  retab	
0xfffffff00933fadc: 7f2303d5  pacibsp	
0xfffffff00933fae0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00933fae4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00933fae8: fd430091  add	x29, sp, #0x10
0xfffffff00933faec: e043ffd0  adrp	x0, #0xfffffff007bbd000
0xfffffff00933faf0: 00603a91  add	x0, x0, #0xe98
0xfffffff00933faf4: 01058052  mov	w1, #0x28
