; Candidate 4674
; ADRP+ADD at VM 0xfffffff0087c21b8 (fileoff 0x17be1b8): page=0x1fe96f000 add_imm=0xd90

0xfffffff0087c2138: 21b41891  add	x1, x1, #0x62d
0xfffffff0087c213c: 22008052  mov	w2, #1
0xfffffff0087c2140: 60e4ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c2144: e08f01b9  str	w0, [sp, #0x18c]
0xfffffff0087c2148: a0820034  cbz	w0, #0xfffffff0087c319c
0xfffffff0087c214c: 17008052  mov	w23, #0
0xfffffff0087c2150: e00313aa  mov	x0, x19
0xfffffff0087c2154: e14cffb0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c2158: 21101991  add	x1, x1, #0x644
0xfffffff0087c215c: 22008052  mov	w2, #1
0xfffffff0087c2160: 58e4ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c2164: e07d0035  cbnz	w0, #0xfffffff0087c3120
0xfffffff0087c2168: f7060011  add	w23, w23, #1
0xfffffff0087c216c: ff820071  cmp	w23, #0x20
0xfffffff0087c2170: 01ffff54  b.ne	#0xfffffff0087c2150
0xfffffff0087c2174: fb030014  b	#0xfffffff0087c3160
0xfffffff0087c2178: 3f111d72  tst	w9, #0xf8
0xfffffff0087c217c: 80430054  b.eq	#0xfffffff0087c29ec
0xfffffff0087c2180: 68caafb9  ldrsw	x8, [x19, #0x2fc8]
0xfffffff0087c2184: 690e088b  add	x9, x19, x8, lsl #3
0xfffffff0087c2188: 2ae957f9  ldr	x10, [x9, #0x2fd0]
0xfffffff0087c218c: 6afa17f9  str	x10, [x19, #0x2ff0]
0xfffffff0087c2190: 6aa67cb9  ldr	w10, [x19, #0x3ca4]
0xfffffff0087c2194: 8b008052  mov	w11, #4
0xfffffff0087c2198: 0b01a072  movk	w11, #8, lsl #16
0xfffffff0087c219c: 7f012a6a  bics	wzr, w11, w10
0xfffffff0087c21a0: c1010054  b.ne	#0xfffffff0087c21d8
0xfffffff0087c21a4: 0afa8552  mov	w10, #0x2fd0
0xfffffff0087c21a8: 29010a8b  add	x9, x9, x10
0xfffffff0087c21ac: 290140f9  ldr	x9, [x9]
0xfffffff0087c21b0: 290140f9  ldr	x9, [x9]
0xfffffff0087c21b4: e82700a9  stp	x8, x9, [sp]
0xfffffff0087c21b8: 604bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087c21bc: 00403691  add	x0, x0, #0xd90
0xfffffff0087c21c0: c191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c21c4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c21c8: 02008052  mov	w2, #0
0xfffffff0087c21cc: 634cff90  adrp	x3, #0xfffffff00714e000
0xfffffff0087c21d0: 63982491  add	x3, x3, #0x926
0xfffffff0087c21d4: d7c3ed97  bl	#0xfffffff008333130
0xfffffff0087c21d8: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087c21dc: 099140b9  ldr	w9, [x8, #0x90]
0xfffffff0087c21e0: 3f050071  cmp	w9, #1
0xfffffff0087c21e4: 81020054  b.ne	#0xfffffff0087c2234
0xfffffff0087c21e8: 093d40f9  ldr	x9, [x8, #0x78]
0xfffffff0087c21ec: 28ad43f9  ldr	x8, [x9, #0x758]
0xfffffff0087c21f0: 28b103f9  str	x8, [x9, #0x760]
0xfffffff0087c21f4: 69a67cb9  ldr	w9, [x19, #0x3ca4]
0xfffffff0087c21f8: 8a008052  mov	w10, #4
0xfffffff0087c21fc: 0a01a072  movk	w10, #8, lsl #16
0xfffffff0087c2200: 5f01296a  bics	wzr, w10, w9
0xfffffff0087c2204: c1030054  b.ne	#0xfffffff0087c227c
0xfffffff0087c2208: 080140f9  ldr	x8, [x8]
0xfffffff0087c220c: e80300f9  str	x8, [sp]
0xfffffff0087c2210: 604bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087c2214: 00403691  add	x0, x0, #0xd90
0xfffffff0087c2218: c191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c221c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c2220: 02008052  mov	w2, #0
0xfffffff0087c2224: 634cff90  adrp	x3, #0xfffffff00714e000
0xfffffff0087c2228: 63542591  add	x3, x3, #0x955
0xfffffff0087c222c: c1c3ed97  bl	#0xfffffff008333130
0xfffffff0087c2230: 13000014  b	#0xfffffff0087c227c
0xfffffff0087c2234: 69fa57f9  ldr	x9, [x19, #0x2ff0]
