; Candidate 15249
; ADRP+ADD at VM 0xfffffff009b43ec0 (fileoff 0x2b3fec0): page=0x1fdae5000 add_imm=0xed0

0xfffffff009b43e40: 40000054  b.eq	#0xfffffff009b43e48
0xfffffff009b43e44: 408e38d4  brk	#0xc472
0xfffffff009b43e48: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b43e4c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b43e50: e00313aa  mov	x0, x19
0xfffffff009b43e54: 010080d2  mov	x1, #0
0xfffffff009b43e58: f10308aa  mov	x17, x8
0xfffffff009b43e5c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b43e60: 31093fd7  blraa	x9, x17
0xfffffff009b43e64: f50300aa  mov	x21, x0
0xfffffff009b43e68: 700240f9  ldr	x16, [x19]
0xfffffff009b43e6c: f10313aa  mov	x17, x19
0xfffffff009b43e70: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b43e74: 301ac1da  autda	x16, x17
0xfffffff009b43e78: f10310aa  mov	x17, x16
0xfffffff009b43e7c: f147c1da  xpacd	x17
0xfffffff009b43e80: 1f0211eb  cmp	x16, x17
0xfffffff009b43e84: 40000054  b.eq	#0xfffffff009b43e8c
0xfffffff009b43e88: 408e38d4  brk	#0xc472
0xfffffff009b43e8c: 08620891  add	x8, x16, #0x218
0xfffffff009b43e90: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b43e94: e00313aa  mov	x0, x19
0xfffffff009b43e98: 010080d2  mov	x1, #0
0xfffffff009b43e9c: f10308aa  mov	x17, x8
0xfffffff009b43ea0: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b43ea4: 31093fd7  blraa	x9, x17
0xfffffff009b43ea8: 28d7fed0  adrp	x8, #0xfffffff007629000
0xfffffff009b43eac: 08611a91  add	x8, x8, #0x698
0xfffffff009b43eb0: 29d7fed0  adrp	x9, #0xfffffff007629000
0xfffffff009b43eb4: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b43eb8: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b43ebc: f50300a9  stp	x21, x0, [sp]
0xfffffff009b43ec0: 20d7feb0  adrp	x0, #0xfffffff007628000
0xfffffff009b43ec4: 00403b91  add	x0, x0, #0xed0
0xfffffff009b43ec8: 43d7fe90  adrp	x3, #0xfffffff00762b000
0xfffffff009b43ecc: 63c02d91  add	x3, x3, #0xb70
0xfffffff009b43ed0: e10314aa  mov	x1, x20
0xfffffff009b43ed4: 02028052  mov	w2, #0x10
0xfffffff009b43ed8: 96bc9f97  bl	#0xfffffff008333130
0xfffffff009b43edc: 4c000014  b	#0xfffffff009b4400c
0xfffffff009b43ee0: 700240f9  ldr	x16, [x19]
0xfffffff009b43ee4: f10313aa  mov	x17, x19
0xfffffff009b43ee8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b43eec: 301ac1da  autda	x16, x17
0xfffffff009b43ef0: 113d80d2  mov	x17, #0x1e8
0xfffffff009b43ef4: 1002118b  add	x16, x16, x17
0xfffffff009b43ef8: 080240f9  ldr	x8, [x16]
0xfffffff009b43efc: e90310aa  mov	x9, x16
0xfffffff009b43f00: e00313aa  mov	x0, x19
0xfffffff009b43f04: 010080d2  mov	x1, #0
0xfffffff009b43f08: f10309aa  mov	x17, x9
0xfffffff009b43f0c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b43f10: 11093fd7  blraa	x8, x17
0xfffffff009b43f14: 700240f9  ldr	x16, [x19]
0xfffffff009b43f18: f10313aa  mov	x17, x19
0xfffffff009b43f1c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b43f20: 301ac1da  autda	x16, x17
0xfffffff009b43f24: 114380d2  mov	x17, #0x218
0xfffffff009b43f28: 1002118b  add	x16, x16, x17
0xfffffff009b43f2c: 080240f9  ldr	x8, [x16]
0xfffffff009b43f30: e90310aa  mov	x9, x16
0xfffffff009b43f34: e00313aa  mov	x0, x19
0xfffffff009b43f38: 010080d2  mov	x1, #0
0xfffffff009b43f3c: f10309aa  mov	x17, x9
