; Candidate 6956
; ADRP+ADD at VM 0xfffffff00884c810 (fileoff 0x1848810): page=0x1fe99d000 add_imm=0xe80

0xfffffff00884c790: 63803791  add	x3, x3, #0xde0
0xfffffff00884c794: f52300a9  stp	x21, x8, [sp]
0xfffffff00884c798: e04cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884c79c: 00003a91  add	x0, x0, #0xe80
0xfffffff00884c7a0: e18dff90  adrp	x1, #0xfffffff007a08000
0xfffffff00884c7a4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884c7a8: 02008052  mov	w2, #0
0xfffffff00884c7ac: 619aeb97  bl	#0xfffffff008333130
0xfffffff00884c7b0: 18008052  mov	w24, #0
0xfffffff00884c7b4: d5ffff17  b	#0xfffffff00884c708
0xfffffff00884c7b8: 7d9e0194  bl	#0xfffffff0088b41ac
0xfffffff00884c7bc: f90300aa  mov	x25, x0
0xfffffff00884c7c0: 80008052  mov	w0, #4
0xfffffff00884c7c4: 23bc0094  bl	#0xfffffff00887b850
0xfffffff00884c7c8: 884240b9  ldr	w8, [x20, #0x40]
0xfffffff00884c7cc: f7cf05a9  stp	x23, x19, [sp, #0x58]
0xfffffff00884c7d0: f5db04a9  stp	x21, x22, [sp, #0x48]
0xfffffff00884c7d4: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff00884c7d8: 284eff90  adrp	x8, #0xfffffff007210000
0xfffffff00884c7dc: 0ab92791  add	x10, x8, #0x9ee
0xfffffff00884c7e0: 28078052  mov	w8, #0x39
0xfffffff00884c7e4: c94effb0  adrp	x9, #0xfffffff007225000
0xfffffff00884c7e8: 29c13991  add	x9, x9, #0xe70
0xfffffff00884c7ec: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00884c7f0: c84efff0  adrp	x8, #0xfffffff007227000
0xfffffff00884c7f4: 08811191  add	x8, x8, #0x460
0xfffffff00884c7f8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884c7fc: e80d8052  mov	w8, #0x6f
0xfffffff00884c800: 2350ffb0  adrp	x3, #0xfffffff007251000
0xfffffff00884c804: 63603691  add	x3, x3, #0xd98
0xfffffff00884c808: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00884c80c: f90300f9  str	x25, [sp]
0xfffffff00884c810: e04cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884c814: 00003a91  add	x0, x0, #0xe80
0xfffffff00884c818: e18dff90  adrp	x1, #0xfffffff007a08000
0xfffffff00884c81c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884c820: 02008052  mov	w2, #0
0xfffffff00884c824: 439aeb97  bl	#0xfffffff008333130
0xfffffff00884c828: b8ffff17  b	#0xfffffff00884c708
0xfffffff00884c82c: 7f2303d5  pacibsp	
0xfffffff00884c830: ff4302d1  sub	sp, sp, #0x90
0xfffffff00884c834: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff00884c838: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff00884c83c: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff00884c840: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff00884c844: fd030291  add	x29, sp, #0x80
0xfffffff00884c848: f40304aa  mov	x20, x4
0xfffffff00884c84c: f30303aa  mov	x19, x3
0xfffffff00884c850: f60302aa  mov	x22, x2
0xfffffff00884c854: f50301aa  mov	x21, x1
0xfffffff00884c858: 230200b4  cbz	x3, #0xfffffff00884c89c
0xfffffff00884c85c: 140200b4  cbz	x20, #0xfffffff00884c89c
0xfffffff00884c860: e00314aa  mov	x0, x20
0xfffffff00884c864: 01008052  mov	w1, #0
0xfffffff00884c868: 02098052  mov	w2, #0x48
0xfffffff00884c86c: d500d497  bl	#0xfffffff007d4cbc0
0xfffffff00884c870: 00008052  mov	w0, #0
0xfffffff00884c874: 48008052  mov	w8, #2
0xfffffff00884c878: 880200b9  str	w8, [x20]
0xfffffff00884c87c: 950600f9  str	x21, [x20, #8]
0xfffffff00884c880: e84dffb0  adrp	x8, #0xfffffff007209000
0xfffffff00884c884: 00d1c33d  ldr	q0, [x8, #0xf40]
0xfffffff00884c888: 8006803d  str	q0, [x20, #0x10]
0xfffffff00884c88c: 9f2200b9  str	wzr, [x20, #0x20]
