; Candidate 13788
; ADRP+ADD at VM 0xfffffff00958adbc (fileoff 0x2586dbc): page=0x1fdfd5000 add_imm=0xd60

0xfffffff00958ad3c: 00458052  mov	w0, #0x228
0xfffffff00958ad40: 6461b597  bl	#0xfffffff0082e32d0
0xfffffff00958ad44: f61f00b9  str	w22, [sp, #0x1c]
0xfffffff00958ad48: f7030191  add	x23, sp, #0x40
0xfffffff00958ad4c: f71700f9  str	x23, [sp, #0x28]
0xfffffff00958ad50: e0030191  add	x0, sp, #0x40
0xfffffff00958ad54: 2b4a9f97  bl	#0xfffffff007d5d600
0xfffffff00958ad58: e0370079  strh	w0, [sp, #0x1a]
0xfffffff00958ad5c: ff330079  strh	wzr, [sp, #0x18]
0xfffffff00958ad60: a1720091  add	x1, x21, #0x1c
0xfffffff00958ad64: e0630091  add	x0, sp, #0x18
0xfffffff00958ad68: d7fcff97  bl	#0xfffffff00958a0c4
0xfffffff00958ad6c: 962640f9  ldr	x22, [x20, #0x48]
0xfffffff00958ad70: e00316aa  mov	x0, x22
0xfffffff00958ad74: 26bda697  bl	#0xfffffff007f3a20c
0xfffffff00958ad78: 182840f9  ldr	x24, [x0, #0x50]
0xfffffff00958ad7c: 802640f9  ldr	x0, [x20, #0x48]
0xfffffff00958ad80: 23bda697  bl	#0xfffffff007f3a20c
0xfffffff00958ad84: df0218eb  cmp	x22, x24
0xfffffff00958ad88: 08258052  mov	w8, #0x128
0xfffffff00958ad8c: 09268052  mov	w9, #0x130
0xfffffff00958ad90: 2801889a  csel	x8, x9, x8, eq
0xfffffff00958ad94: 006868f8  ldr	x0, [x0, x8]
0xfffffff00958ad98: e2c30091  add	x2, sp, #0x30
0xfffffff00958ad9c: e10315aa  mov	x1, x21
0xfffffff00958ada0: 030080d2  mov	x3, #0
0xfffffff00958ada4: 040080d2  mov	x4, #0
0xfffffff00958ada8: 0483ff97  bl	#0xfffffff00956b9b8
0xfffffff00958adac: f60300aa  mov	x22, x0
0xfffffff00958adb0: e0000034  cbz	w0, #0xfffffff00958adcc
0xfffffff00958adb4: 88720d91  add	x8, x20, #0x35c
0xfffffff00958adb8: f72300a9  stp	x23, x8, [sp]
0xfffffff00958adbc: a0fefeb0  adrp	x0, #0xfffffff00755f000
0xfffffff00958adc0: 00803591  add	x0, x0, #0xd60
0xfffffff00958adc4: a7b1a097  bl	#0xfffffff007db7460
0xfffffff00958adc8: 05000014  b	#0xfffffff00958addc
0xfffffff00958adcc: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff00958add0: 68000035  cbnz	w8, #0xfffffff00958addc
0xfffffff00958add4: 48008052  mov	w8, #2
0xfffffff00958add8: 682e00b9  str	w8, [x19, #0x2c]
0xfffffff00958addc: 350100b4  cbz	x21, #0xfffffff00958ae00
0xfffffff00958ade0: 0033fff0  adrp	x0, #0xfffffff007bed000
0xfffffff00958ade4: 00a00391  add	x0, x0, #0xe8
0xfffffff00958ade8: e10315aa  mov	x1, x21
0xfffffff00958adec: 482eb797  bl	#0xfffffff00835670c
0xfffffff00958adf0: e16f00f0  adrp	x1, #0xfffffff00a389000
0xfffffff00958adf4: 21c00391  add	x1, x1, #0xf0
0xfffffff00958adf8: e0448092  mov	x0, #-0x228
0xfffffff00958adfc: 3561b597  bl	#0xfffffff0082e32d0
0xfffffff00958ae00: df020071  cmp	w22, #0
0xfffffff00958ae04: e8079f1a  cset	w8, ne
0xfffffff00958ae08: a9835cf8  ldur	x9, [x29, #-0x38]
0xfffffff00958ae0c: ea32fff0  adrp	x10, #0xfffffff007be9000
0xfffffff00958ae10: 4a0546f9  ldr	x10, [x10, #0xc08]
0xfffffff00958ae14: 4a0140f9  ldr	x10, [x10]
0xfffffff00958ae18: 5f0109eb  cmp	x10, x9
0xfffffff00958ae1c: 01010054  b.ne	#0xfffffff00958ae3c
0xfffffff00958ae20: 00791f53  lsl	w0, w8, #1
0xfffffff00958ae24: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff00958ae28: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff00958ae2c: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff00958ae30: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff00958ae34: ffc30291  add	sp, sp, #0xb0
0xfffffff00958ae38: ff0f5fd6  retab	
