; Candidate 16153
; ADRP+ADD at VM 0xfffffff009e2a06c (fileoff 0x2e2606c): page=0x1fd879000 add_imm=0xe00

0xfffffff009e29fec: e00316aa  mov	x0, x22
0xfffffff009e29ff0: e20314aa  mov	x2, x20
0xfffffff009e29ff4: 9f468497  bl	#0xfffffff007f3ba70
0xfffffff009e29ff8: f40300aa  mov	x20, x0
0xfffffff009e29ffc: 40030035  cbnz	w0, #0xfffffff009e2a064
0xfffffff009e2a000: f35700a9  stp	x19, x21, [sp]
0xfffffff009e2a004: c0c3feb0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e2a008: 00003891  add	x0, x0, #0xe00
0xfffffff009e2a00c: e1f7fef0  adrp	x1, #0xfffffff007d29000
0xfffffff009e2a010: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e2a014: a3cffed0  adrp	x3, #0xfffffff007820000
0xfffffff009e2a018: 630c3a91  add	x3, x3, #0xe83
0xfffffff009e2a01c: 22008052  mov	w2, #1
0xfffffff009e2a020: 44249497  bl	#0xfffffff008333130
0xfffffff009e2a024: e00313aa  mov	x0, x19
0xfffffff009e2a028: c5218397  bl	#0xfffffff007ef273c
0xfffffff009e2a02c: 9f020071  cmp	w20, #0
0xfffffff009e2a030: e0179f1a  cset	w0, eq
0xfffffff009e2a034: a8835cf8  ldur	x8, [x29, #-0x38]
0xfffffff009e2a038: e9f7fef0  adrp	x9, #0xfffffff007d29000
0xfffffff009e2a03c: 296544f9  ldr	x9, [x9, #0x8c8]
0xfffffff009e2a040: 290140f9  ldr	x9, [x9]
0xfffffff009e2a044: 3f0108eb  cmp	x9, x8
0xfffffff009e2a048: 81020054  b.ne	#0xfffffff009e2a098
0xfffffff009e2a04c: ffc30791  add	sp, sp, #0x1f0
0xfffffff009e2a050: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009e2a054: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009e2a058: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff009e2a05c: fc6fc4a8  ldp	x28, x27, [sp], #0x40
0xfffffff009e2a060: ff0f5fd6  retab	
0xfffffff009e2a064: f5d300a9  stp	x21, x20, [sp, #8]
0xfffffff009e2a068: f30300f9  str	x19, [sp]
0xfffffff009e2a06c: c0c3feb0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e2a070: 00003891  add	x0, x0, #0xe00
0xfffffff009e2a074: e1f7fef0  adrp	x1, #0xfffffff007d29000
0xfffffff009e2a078: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e2a07c: a3cffed0  adrp	x3, #0xfffffff007820000
0xfffffff009e2a080: 636c3991  add	x3, x3, #0xe5b
0xfffffff009e2a084: 02028052  mov	w2, #0x10
0xfffffff009e2a088: 2a249497  bl	#0xfffffff008333130
0xfffffff009e2a08c: e00313aa  mov	x0, x19
0xfffffff009e2a090: 50218397  bl	#0xfffffff007ef25d0
0xfffffff009e2a094: e6ffff17  b	#0xfffffff009e2a02c
0xfffffff009e2a098: 6dcf7c97  bl	#0xfffffff007d5de4c
0xfffffff009e2a09c: 7f2303d5  pacibsp	
0xfffffff009e2a0a0: ff8301d1  sub	sp, sp, #0x60
0xfffffff009e2a0a4: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff009e2a0a8: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff009e2a0ac: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff009e2a0b0: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff009e2a0b4: fd430191  add	x29, sp, #0x50
0xfffffff009e2a0b8: 084040f9  ldr	x8, [x0, #0x80]
0xfffffff009e2a0bc: 082800b4  cbz	x8, #0xfffffff009e2a5bc
0xfffffff009e2a0c0: 08014039  ldrb	w8, [x8]
0xfffffff009e2a0c4: c8270034  cbz	w8, #0xfffffff009e2a5bc
0xfffffff009e2a0c8: f30300aa  mov	x19, x0
0xfffffff009e2a0cc: acc8ff97  bl	#0xfffffff009e1c37c
0xfffffff009e2a0d0: a02c00b0  adrp	x0, #0xfffffff00a3bf000
0xfffffff009e2a0d4: 00c01b91  add	x0, x0, #0x6f0
0xfffffff009e2a0d8: 360e7e97  bl	#0xfffffff007dad9b0
0xfffffff009e2a0dc: 16f8fed0  adrp	x22, #0xfffffff007d2c000
0xfffffff009e2a0e0: c8f644f9  ldr	x8, [x22, #0x9e8]
0xfffffff009e2a0e4: 080200b4  cbz	x8, #0xfffffff009e2a124
0xfffffff009e2a0e8: f40308aa  mov	x20, x8
