; Candidate 4442
; ADRP+ADD at VM 0xfffffff0087b22b8 (fileoff 0x17ae2b8): page=0x1fe97f000 add_imm=0xd90

0xfffffff0087b2238: 68c20eb9  str	w8, [x19, #0xec0]
0xfffffff0087b223c: 1fd30239  strb	wzr, [x24, #0xb4]
0xfffffff0087b2240: bf020071  cmp	w21, #0
0xfffffff0087b2244: 1f0300f9  str	xzr, [x24]
0xfffffff0087b2248: 28008052  mov	w8, #1
0xfffffff0087b224c: 0815881a  cinc	w8, w8, eq
0xfffffff0087b2250: 683e0cb9  str	w8, [x19, #0xc3c]
0xfffffff0087b2254: 9f3a0071  cmp	w20, #0xe
0xfffffff0087b2258: 80000054  b.eq	#0xfffffff0087b2268
0xfffffff0087b225c: 680a4bb9  ldr	w8, [x19, #0xb08]
0xfffffff0087b2260: 1f410071  cmp	w8, #0x10
0xfffffff0087b2264: e1030054  b.ne	#0xfffffff0087b22e0
0xfffffff0087b2268: e00313aa  mov	x0, x19
0xfffffff0087b226c: 73a9fe97  bl	#0xfffffff00875c838
0xfffffff0087b2270: 601a05f9  str	x0, [x19, #0xa30]
0xfffffff0087b2274: 200200b4  cbz	x0, #0xfffffff0087b22b8
0xfffffff0087b2278: 60620091  add	x0, x19, #0x18
0xfffffff0087b227c: 01008052  mov	w1, #0
0xfffffff0087b2280: 02818052  mov	w2, #0x408
0xfffffff0087b2284: 4f6ad697  bl	#0xfffffff007d4cbc0
0xfffffff0087b2288: 60821091  add	x0, x19, #0x420
0xfffffff0087b228c: 01008052  mov	w1, #0
0xfffffff0087b2290: 02818052  mov	w2, #0x408
0xfffffff0087b2294: 4b6ad697  bl	#0xfffffff007d4cbc0
0xfffffff0087b2298: 7f421fb9  str	wzr, [x19, #0x1f40]
0xfffffff0087b229c: e00313aa  mov	x0, x19
0xfffffff0087b22a0: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0087b22a4: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0087b22a8: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0087b22ac: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff0087b22b0: ff430191  add	sp, sp, #0x50
0xfffffff0087b22b4: ff0f5fd6  retab	
0xfffffff0087b22b8: e04bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087b22bc: 00403691  add	x0, x0, #0xd90
0xfffffff0087b22c0: 4192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b22c4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b22c8: c34cffb0  adrp	x3, #0xfffffff00714b000
0xfffffff0087b22cc: 63982e91  add	x3, x3, #0xba6
0xfffffff0087b22d0: 02008052  mov	w2, #0
0xfffffff0087b22d4: 9703ee97  bl	#0xfffffff008333130
0xfffffff0087b22d8: 14268052  mov	w20, #0x130
0xfffffff0087b22dc: a3ffff17  b	#0xfffffff0087b2168
0xfffffff0087b22e0: 9fce0471  cmp	w20, #0x133
0xfffffff0087b22e4: 4c010054  b.gt	#0xfffffff0087b230c
0xfffffff0087b22e8: 9f6e0071  cmp	w20, #0x1b
0xfffffff0087b22ec: 2c020054  b.gt	#0xfffffff0087b2330
0xfffffff0087b22f0: 9f560071  cmp	w20, #0x15
0xfffffff0087b22f4: a0030054  b.eq	#0xfffffff0087b2368
0xfffffff0087b22f8: 9f6a0071  cmp	w20, #0x1a
0xfffffff0087b22fc: e1040054  b.ne	#0xfffffff0087b2398
0xfffffff0087b2300: e00313aa  mov	x0, x19
0xfffffff0087b2304: 9e8cfe97  bl	#0xfffffff00875557c
0xfffffff0087b2308: daffff17  b	#0xfffffff0087b2270
0xfffffff0087b230c: 9f0e0571  cmp	w20, #0x143
0xfffffff0087b2310: ec010054  b.gt	#0xfffffff0087b234c
0xfffffff0087b2314: 9fd20471  cmp	w20, #0x134
0xfffffff0087b2318: e0020054  b.eq	#0xfffffff0087b2374
0xfffffff0087b231c: 9ff20471  cmp	w20, #0x13c
0xfffffff0087b2320: c1030054  b.ne	#0xfffffff0087b2398
0xfffffff0087b2324: e00313aa  mov	x0, x19
0xfffffff0087b2328: da8afe97  bl	#0xfffffff008754e90
0xfffffff0087b232c: d1ffff17  b	#0xfffffff0087b2270
0xfffffff0087b2330: 9f720071  cmp	w20, #0x1c
0xfffffff0087b2334: 60020054  b.eq	#0xfffffff0087b2380
