; Candidate 4172
; ADRP+ADD at VM 0xfffffff008794f9c (fileoff 0x1790f9c): page=0x1fe99d000 add_imm=0xd90

0xfffffff008794f1c: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008794f20: fd430191  add	x29, sp, #0x50
0xfffffff008794f24: 283040b9  ldr	w8, [x1, #0x30]
0xfffffff008794f28: 1f450071  cmp	w8, #0x11
0xfffffff008794f2c: 23020054  b.lo	#0xfffffff008794f70
0xfffffff008794f30: 53588052  mov	w19, #0x2c2
0xfffffff008794f34: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008794f38: 09028052  mov	w9, #0x10
0xfffffff008794f3c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008794f40: 294efff0  adrp	x9, #0xfffffff00715b000
0xfffffff008794f44: 29850a91  add	x9, x9, #0x2a1
0xfffffff008794f48: e90300f9  str	x9, [sp]
0xfffffff008794f4c: e04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff008794f50: 00403691  add	x0, x0, #0xd90
0xfffffff008794f54: 4193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008794f58: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008794f5c: 834dfff0  adrp	x3, #0xfffffff007147000
0xfffffff008794f60: 63d83d91  add	x3, x3, #0xf76
0xfffffff008794f64: 02008052  mov	w2, #0
0xfffffff008794f68: 7278ee97  bl	#0xfffffff008333130
0xfffffff008794f6c: 3b000014  b	#0xfffffff008795058
0xfffffff008794f70: f50301aa  mov	x21, x1
0xfffffff008794f74: 284448b9  ldr	w8, [x1, #0x844]
0xfffffff008794f78: 1f050471  cmp	w8, #0x101
0xfffffff008794f7c: 23020054  b.lo	#0xfffffff008794fc0
0xfffffff008794f80: 53588052  mov	w19, #0x2c2
0xfffffff008794f84: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008794f88: 09208052  mov	w9, #0x100
0xfffffff008794f8c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008794f90: 294efff0  adrp	x9, #0xfffffff00715b000
0xfffffff008794f94: 29850a91  add	x9, x9, #0x2a1
0xfffffff008794f98: e90300f9  str	x9, [sp]
0xfffffff008794f9c: e04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff008794fa0: 00403691  add	x0, x0, #0xd90
0xfffffff008794fa4: 4193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008794fa8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008794fac: 834dfff0  adrp	x3, #0xfffffff007147000
0xfffffff008794fb0: 63a83e91  add	x3, x3, #0xfaa
0xfffffff008794fb4: 02008052  mov	w2, #0
0xfffffff008794fb8: 5e78ee97  bl	#0xfffffff008333130
0xfffffff008794fbc: 27000014  b	#0xfffffff008795058
0xfffffff008794fc0: f40300aa  mov	x20, x0
0xfffffff008794fc4: 086869b9  ldr	w8, [x0, #0x2968]
0xfffffff008794fc8: 09050051  sub	w9, w8, #1
0xfffffff008794fcc: 3f0d0071  cmp	w9, #3
0xfffffff008794fd0: a8020054  b.hi	#0xfffffff008795024
0xfffffff008794fd4: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff008794fd8: 806e40f9  ldr	x0, [x20, #0xd8]
0xfffffff008794fdc: 81866bb9  ldr	w1, [x20, #0x2b84]
0xfffffff008794fe0: 824241b9  ldr	w2, [x20, #0x140]
0xfffffff008794fe4: e3a30091  add	x3, sp, #0x28
0xfffffff008794fe8: 1ecafe97  bl	#0xfffffff008747860
0xfffffff008794fec: 20040034  cbz	w0, #0xfffffff008795070
0xfffffff008794ff0: f30300aa  mov	x19, x0
0xfffffff008794ff4: 284efff0  adrp	x8, #0xfffffff00715b000
0xfffffff008794ff8: 08850a91  add	x8, x8, #0x2a1
0xfffffff008794ffc: e84f00a9  stp	x8, x19, [sp]
0xfffffff008795000: e04cff90  adrp	x0, #0xfffffff007131000
0xfffffff008795004: 00403691  add	x0, x0, #0xd90
0xfffffff008795008: 4193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00879500c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008795010: 834dffd0  adrp	x3, #0xfffffff007147000
0xfffffff008795014: 63a83f91  add	x3, x3, #0xfea
0xfffffff008795018: 02008052  mov	w2, #0
