; Candidate 5670
; ADRP+ADD at VM 0xfffffff0087ff6a4 (fileoff 0x17fb6a4): page=0x1fe9ea000 add_imm=0xe80

0xfffffff0087ff624: a0030034  cbz	w0, #0xfffffff0087ff698
0xfffffff0087ff628: e803154b  neg	w8, w21
0xfffffff0087ff62c: 68032837  tbnz	w8, #5, #0xfffffff0087ff698
0xfffffff0087ff630: 08734239  ldrb	w8, [x24, #0x9c]
0xfffffff0087ff634: 09e34d39  ldrb	w9, [x24, #0x378]
0xfffffff0087ff638: e82700a9  stp	x8, x9, [sp]
0xfffffff0087ff63c: c050ffb0  adrp	x0, #0xfffffff007218000
0xfffffff0087ff640: 002c1e91  add	x0, x0, #0x78b
0xfffffff0087ff644: 87dfd697  bl	#0xfffffff007db7460
0xfffffff0087ff648: 1f000014  b	#0xfffffff0087ff6c4
0xfffffff0087ff64c: d8d20294  bl	#0xfffffff0088b41ac
0xfffffff0087ff650: f60300aa  mov	x22, x0
0xfffffff0087ff654: e00314aa  mov	x0, x20
0xfffffff0087ff658: 7ef00194  bl	#0xfffffff00887b850
0xfffffff0087ff65c: 08734239  ldrb	w8, [x24, #0x9c]
0xfffffff0087ff660: 09e34d39  ldrb	w9, [x24, #0x378]
0xfffffff0087ff664: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087ff668: e80313aa  mov	x8, x19
0xfffffff0087ff66c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087ff670: f60300f9  str	x22, [sp]
0xfffffff0087ff674: 404fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ff678: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ff67c: 4190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ff680: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ff684: 2352ff90  adrp	x3, #0xfffffff007243000
0xfffffff0087ff688: 63340091  add	x3, x3, #0xd
0xfffffff0087ff68c: 02008052  mov	w2, #0
0xfffffff0087ff690: a8ceec97  bl	#0xfffffff008333130
0xfffffff0087ff694: 0c000014  b	#0xfffffff0087ff6c4
0xfffffff0087ff698: 08734239  ldrb	w8, [x24, #0x9c]
0xfffffff0087ff69c: 09e34d39  ldrb	w9, [x24, #0x378]
0xfffffff0087ff6a0: e82700a9  stp	x8, x9, [sp]
0xfffffff0087ff6a4: 404fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ff6a8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ff6ac: 4190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ff6b0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ff6b4: 0352fff0  adrp	x3, #0xfffffff007242000
0xfffffff0087ff6b8: 639c3f91  add	x3, x3, #0xfe7
0xfffffff0087ff6bc: 02008052  mov	w2, #0
0xfffffff0087ff6c0: 9cceec97  bl	#0xfffffff008333130
0xfffffff0087ff6c4: e00313aa  mov	x0, x19
0xfffffff0087ff6c8: e10314aa  mov	x1, x20
0xfffffff0087ff6cc: 41f00194  bl	#0xfffffff00887b7d0
0xfffffff0087ff6d0: 20090034  cbz	w0, #0xfffffff0087ff7f4
0xfffffff0087ff6d4: e00313aa  mov	x0, x19
0xfffffff0087ff6d8: 50f00194  bl	#0xfffffff00887b818
0xfffffff0087ff6dc: b502f837  tbnz	w21, #0x1f, #0xfffffff0087ff730
0xfffffff0087ff6e0: b7021b12  and	w23, w21, #0x20
0xfffffff0087ff6e4: 1a000052  eor	w26, w0, #1
0xfffffff0087ff6e8: b1d20294  bl	#0xfffffff0088b41ac
0xfffffff0087ff6ec: f60300aa  mov	x22, x0
0xfffffff0087ff6f0: e00314aa  mov	x0, x20
0xfffffff0087ff6f4: 57f00194  bl	#0xfffffff00887b850
0xfffffff0087ff6f8: 4817572a  orr	w8, w26, w23, lsr #5
0xfffffff0087ff6fc: 48030037  tbnz	w8, #0, #0xfffffff0087ff764
0xfffffff0087ff700: 28b35839  ldrb	w8, [x25, #0x62c]
0xfffffff0087ff704: 89a74039  ldrb	w9, [x28, #0x29]
0xfffffff0087ff708: 0abf45b9  ldr	w10, [x24, #0x5bc]
0xfffffff0087ff70c: 2b2f40b9  ldr	w11, [x25, #0x2c]
0xfffffff0087ff710: eba702a9  stp	x11, x9, [sp, #0x28]
0xfffffff0087ff714: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0087ff718: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087ff71c: e80313aa  mov	x8, x19
0xfffffff0087ff720: c050ffb0  adrp	x0, #0xfffffff007218000
