; Candidate 11469
; ADRP+ADD at VM 0xfffffff008f54b64 (fileoff 0x1f50b64): page=0x1fe4ca000 add_imm=0xeab

0xfffffff008f54ae4: 700240f9  ldr	x16, [x19]
0xfffffff008f54ae8: f10313aa  mov	x17, x19
0xfffffff008f54aec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f54af0: 301ac1da  autda	x16, x17
0xfffffff008f54af4: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff008f54af8: e90310aa  mov	x9, x16
0xfffffff008f54afc: e00313aa  mov	x0, x19
0xfffffff008f54b00: f10309aa  mov	x17, x9
0xfffffff008f54b04: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff008f54b08: 11093fd7  blraa	x8, x17
0xfffffff008f54b0c: 933fce97  bl	#0xfffffff0082e4958
0xfffffff008f54b10: 150200b4  cbz	x21, #0xfffffff008f54b50
0xfffffff008f54b14: 4826ffd0  adrp	x8, #0xfffffff00741e000
0xfffffff008f54b18: 08153b91  add	x8, x8, #0xec5
0xfffffff008f54b1c: e8d300a9  stp	x8, x20, [sp, #8]
0xfffffff008f54b20: e00300f9  str	x0, [sp]
0xfffffff008f54b24: 4226ffd0  adrp	x2, #0xfffffff00741e000
0xfffffff008f54b28: 42ac3a91  add	x2, x2, #0xeab
0xfffffff008f54b2c: e00315aa  mov	x0, x21
0xfffffff008f54b30: 41008052  mov	w1, #2
0xfffffff008f54b34: c4be4094  bl	#0xfffffff009f84644
0xfffffff008f54b38: f4010034  cbz	w20, #0xfffffff008f54b74
0xfffffff008f54b3c: 80578052  mov	w0, #0x2bc
0xfffffff008f54b40: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff008f54b44: c8008052  mov	w8, #6
0xfffffff008f54b48: 683201b9  str	w8, [x19, #0x130]
0xfffffff008f54b4c: 14000014  b	#0xfffffff008f54b9c
0xfffffff008f54b50: e80314aa  mov	x8, x20
0xfffffff008f54b54: 4926ffd0  adrp	x9, #0xfffffff00741e000
0xfffffff008f54b58: 29153b91  add	x9, x9, #0xec5
0xfffffff008f54b5c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008f54b60: e00300f9  str	x0, [sp]
0xfffffff008f54b64: 4026ffd0  adrp	x0, #0xfffffff00741e000
0xfffffff008f54b68: 00ac3a91  add	x0, x0, #0xeab
0xfffffff008f54b6c: 2d09d097  bl	#0xfffffff008357020
0xfffffff008f54b70: 74feff35  cbnz	w20, #0xfffffff008f54b3c
0xfffffff008f54b74: 48008052  mov	w8, #2
0xfffffff008f54b78: 683201b9  str	w8, [x19, #0x130]
0xfffffff008f54b7c: e00313aa  mov	x0, x19
0xfffffff008f54b80: 0d000094  bl	#0xfffffff008f54bb4
0xfffffff008f54b84: c0000034  cbz	w0, #0xfffffff008f54b9c
0xfffffff008f54b88: 683241b9  ldr	w8, [x19, #0x130]
0xfffffff008f54b8c: 1f190071  cmp	w8, #6
0xfffffff008f54b90: 01010054  b.ne	#0xfffffff008f54bb0
0xfffffff008f54b94: 80578052  mov	w0, #0x2bc
0xfffffff008f54b98: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff008f54b9c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008f54ba0: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008f54ba4: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008f54ba8: ff430191  add	sp, sp, #0x50
0xfffffff008f54bac: ff0f5fd6  retab	
0xfffffff008f54bb0: 8e330094  bl	#0xfffffff008f619e8
0xfffffff008f54bb4: 7f2303d5  pacibsp	
0xfffffff008f54bb8: ff4301d1  sub	sp, sp, #0x50
0xfffffff008f54bbc: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008f54bc0: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008f54bc4: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008f54bc8: fd030191  add	x29, sp, #0x40
0xfffffff008f54bcc: f30300aa  mov	x19, x0
0xfffffff008f54bd0: 005440f9  ldr	x0, [x0, #0xa8]
0xfffffff008f54bd4: 100040f9  ldr	x16, [x0]
0xfffffff008f54bd8: f10300aa  mov	x17, x0
0xfffffff008f54bdc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f54be0: 301ac1da  autda	x16, x17
