; Candidate 13415
; ADRP+ADD at VM 0xfffffff0092cf3f4 (fileoff 0x22cb3f4): page=0x1fe210000 add_imm=0xe26

0xfffffff0092cf374: 400300b4  cbz	x0, #0xfffffff0092cf3dc
0xfffffff0092cf378: 700240f9  ldr	x16, [x19]
0xfffffff0092cf37c: f10313aa  mov	x17, x19
0xfffffff0092cf380: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf384: 301ac1da  autda	x16, x17
0xfffffff0092cf388: 116e80d2  mov	x17, #0x370
0xfffffff0092cf38c: 1002118b  add	x16, x16, x17
0xfffffff0092cf390: 080240f9  ldr	x8, [x16]
0xfffffff0092cf394: e90310aa  mov	x9, x16
0xfffffff0092cf398: e00313aa  mov	x0, x19
0xfffffff0092cf39c: f10309aa  mov	x17, x9
0xfffffff0092cf3a0: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092cf3a4: 11093fd7  blraa	x8, x17
0xfffffff0092cf3a8: 100040f9  ldr	x16, [x0]
0xfffffff0092cf3ac: f10300aa  mov	x17, x0
0xfffffff0092cf3b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf3b4: 301ac1da  autda	x16, x17
0xfffffff0092cf3b8: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cf3bc: 1002118b  add	x16, x16, x17
0xfffffff0092cf3c0: 080240f9  ldr	x8, [x16]
0xfffffff0092cf3c4: e90310aa  mov	x9, x16
0xfffffff0092cf3c8: 010080d2  mov	x1, #0
0xfffffff0092cf3cc: f10309aa  mov	x17, x9
0xfffffff0092cf3d0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cf3d4: 11093fd7  blraa	x8, x17
0xfffffff0092cf3d8: 03000014  b	#0xfffffff0092cf3e4
0xfffffff0092cf3dc: 6010fff0  adrp	x0, #0xfffffff0074de000
0xfffffff0092cf3e0: 00102191  add	x0, x0, #0x844
0xfffffff0092cf3e4: a8024079  ldrh	w8, [x21]
0xfffffff0092cf3e8: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092cf3ec: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092cf3f0: f60300f9  str	x22, [sp]
0xfffffff0092cf3f4: 8010ff90  adrp	x0, #0xfffffff0074df000
0xfffffff0092cf3f8: 00983891  add	x0, x0, #0xe26
0xfffffff0092cf3fc: 091fc297  bl	#0xfffffff008357020
0xfffffff0092cf400: 75da3991  add	x21, x19, #0xe76
0xfffffff0092cf404: 9410ff90  adrp	x20, #0xfffffff0074df000
0xfffffff0092cf408: 94862f91  add	x20, x20, #0xbe1
0xfffffff0092cf40c: e00314aa  mov	x0, x20
0xfffffff0092cf410: e10315aa  mov	x1, x21
0xfffffff0092cf414: 42008052  mov	w2, #2
0xfffffff0092cf418: e876c697  bl	#0xfffffff00846cfb8
0xfffffff0092cf41c: c0070034  cbz	w0, #0xfffffff0092cf514
0xfffffff0092cf420: 700240f9  ldr	x16, [x19]
0xfffffff0092cf424: f10313aa  mov	x17, x19
0xfffffff0092cf428: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf42c: 301ac1da  autda	x16, x17
0xfffffff0092cf430: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cf434: 1002118b  add	x16, x16, x17
0xfffffff0092cf438: 080240f9  ldr	x8, [x16]
0xfffffff0092cf43c: e90310aa  mov	x9, x16
0xfffffff0092cf440: e00313aa  mov	x0, x19
0xfffffff0092cf444: 010080d2  mov	x1, #0
0xfffffff0092cf448: f10309aa  mov	x17, x9
0xfffffff0092cf44c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cf450: 11093fd7  blraa	x8, x17
0xfffffff0092cf454: f60300aa  mov	x22, x0
0xfffffff0092cf458: 700240f9  ldr	x16, [x19]
0xfffffff0092cf45c: f10313aa  mov	x17, x19
0xfffffff0092cf460: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf464: 301ac1da  autda	x16, x17
0xfffffff0092cf468: 116e80d2  mov	x17, #0x370
0xfffffff0092cf46c: 1002118b  add	x16, x16, x17
0xfffffff0092cf470: 080240f9  ldr	x8, [x16]
