; Candidate 508
; ADRP+ADD at VM 0xfffffff007f4ca70 (fileoff 0xf48a70): page=0x1ff113000 add_imm=0xe84

0xfffffff007f4c9f0: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff007f4c9f4: ff2700f9  str	xzr, [sp, #0x48]
0xfffffff007f4c9f8: 09fd7cd3  lsr	x9, x8, #0x3c
0xfffffff007f4c9fc: 08ed7cd3  lsl	x8, x8, #4
0xfffffff007f4ca00: 1f0500b1  cmn	x8, #1
0xfffffff007f4ca04: 20c940fa  ccmp	x9, #0, #0, gt
0xfffffff007f4ca08: 0900f0d2  mov	x9, #-0x8000000000000000
0xfffffff007f4ca0c: 0201899a  csel	x2, x8, x9, eq
0xfffffff007f4ca10: a8d1fff0  adrp	x8, #0xfffffff007983000
0xfffffff007f4ca14: 08c13f91  add	x8, x8, #0xff0
0xfffffff007f4ca18: 000140b2  orr	x0, x8, #1
0xfffffff007f4ca1c: 1468f997  bl	#0xfffffff007da6a6c
0xfffffff007f4ca20: e04340f9  ldr	x0, [sp, #0x80]
0xfffffff007f4ca24: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff007f4ca28: c91301f0  adrp	x9, #0xfffffff00a1c7000
0xfffffff007f4ca2c: 29010091  add	x9, x9, #0
0xfffffff007f4ca30: 290140f9  ldr	x9, [x9]
0xfffffff007f4ca34: 3f0108eb  cmp	x9, x8
0xfffffff007f4ca38: 21010054  b.ne	#0xfffffff007f4ca5c
0xfffffff007f4ca3c: ff030c91  add	sp, sp, #0x300
0xfffffff007f4ca40: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff007f4ca44: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff007f4ca48: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff007f4ca4c: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff007f4ca50: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff007f4ca54: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff007f4ca58: ff0f5fd6  retab	
0xfffffff007f4ca5c: fc44f897  bl	#0xfffffff007d5de4c
0xfffffff007f4ca60: 8888fff0  adrp	x8, #0xfffffff00705f000
0xfffffff007f4ca64: 08513691  add	x8, x8, #0xd94
0xfffffff007f4ca68: e9b68052  mov	w9, #0x5b7
0xfffffff007f4ca6c: e82700a9  stp	x8, x9, [sp]
0xfffffff007f4ca70: 8088fff0  adrp	x0, #0xfffffff00705f000
0xfffffff007f4ca74: 00103a91  add	x0, x0, #0xe84
0xfffffff007f4ca78: a51e1594  bl	#0xfffffff00849450c
0xfffffff007f4ca7c: 7f2303d5  pacibsp	
0xfffffff007f4ca80: ff8306d1  sub	sp, sp, #0x1a0
0xfffffff007f4ca84: fc6f14a9  stp	x28, x27, [sp, #0x140]
0xfffffff007f4ca88: fa6715a9  stp	x26, x25, [sp, #0x150]
0xfffffff007f4ca8c: f85f16a9  stp	x24, x23, [sp, #0x160]
0xfffffff007f4ca90: f65717a9  stp	x22, x21, [sp, #0x170]
0xfffffff007f4ca94: f44f18a9  stp	x20, x19, [sp, #0x180]
0xfffffff007f4ca98: fd7b19a9  stp	x29, x30, [sp, #0x190]
0xfffffff007f4ca9c: fd430691  add	x29, sp, #0x190
0xfffffff007f4caa0: fc830091  add	x28, sp, #0x20
0xfffffff007f4caa4: c81301f0  adrp	x8, #0xfffffff00a1c7000
0xfffffff007f4caa8: 08010091  add	x8, x8, #0
0xfffffff007f4caac: 080140f9  ldr	x8, [x8]
0xfffffff007f4cab0: a88319f8  stur	x8, [x29, #-0x68]
0xfffffff007f4cab4: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff007f4cab8: 800307ad  stp	q0, q0, [x28, #0xe0]
0xfffffff007f4cabc: 800306ad  stp	q0, q0, [x28, #0xc0]
0xfffffff007f4cac0: 800305ad  stp	q0, q0, [x28, #0xa0]
0xfffffff007f4cac4: 800304ad  stp	q0, q0, [x28, #0x80]
0xfffffff007f4cac8: a81501f0  adrp	x8, #0xfffffff00a203000
0xfffffff007f4cacc: 087d45f9  ldr	x8, [x8, #0xaf8]
0xfffffff007f4cad0: 151140f9  ldr	x21, [x8, #0x20]
0xfffffff007f4cad4: a80240b9  ldr	w8, [x21]
0xfffffff007f4cad8: 68000034  cbz	w8, #0xfffffff007f4cae4
0xfffffff007f4cadc: 9a028052  mov	w26, #0x14
0xfffffff007f4cae0: ac000014  b	#0xfffffff007f4cd90
0xfffffff007f4cae4: f40302aa  mov	x20, x2
0xfffffff007f4cae8: f30301aa  mov	x19, x1
0xfffffff007f4caec: f60300aa  mov	x22, x0
