; Candidate 4403
; ADRP+ADD at VM 0xfffffff0087af798 (fileoff 0x17ab798): page=0x1fe982000 add_imm=0xd90

0xfffffff0087af718: ffc30091  add	sp, sp, #0x30
0xfffffff0087af71c: ff0f5fd6  retab	
0xfffffff0087af720: 7f2303d5  pacibsp	
0xfffffff0087af724: ff8300d1  sub	sp, sp, #0x20
0xfffffff0087af728: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0087af72c: fd430091  add	x29, sp, #0x10
0xfffffff0087af730: ff7f00a9  stp	xzr, xzr, [sp]
0xfffffff0087af734: e0030091  mov	x0, sp
0xfffffff0087af738: 367cd797  bl	#0xfffffff007d8e810
0xfffffff0087af73c: e00340f9  ldr	x0, [sp]
0xfffffff0087af740: e1230091  add	x1, sp, #8
0xfffffff0087af744: 3f94dc97  bl	#0xfffffff007ed4840
0xfffffff0087af748: e00740f9  ldr	x0, [sp, #8]
0xfffffff0087af74c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0087af750: ff830091  add	sp, sp, #0x20
0xfffffff0087af754: ff0f5fd6  retab	
0xfffffff0087af758: 7f2303d5  pacibsp	
0xfffffff0087af75c: ff4301d1  sub	sp, sp, #0x50
0xfffffff0087af760: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0087af764: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0087af768: fd030191  add	x29, sp, #0x40
0xfffffff0087af76c: f40301aa  mov	x20, x1
0xfffffff0087af770: f30300aa  mov	x19, x0
0xfffffff0087af774: 000040f9  ldr	x0, [x0]
0xfffffff0087af778: d5f0d797  bl	#0xfffffff007dabacc
0xfffffff0087af77c: 9f820071  cmp	w20, #0x20
0xfffffff0087af780: e3010054  b.lo	#0xfffffff0087af7bc
0xfffffff0087af784: 08048052  mov	w8, #0x20
0xfffffff0087af788: f4a300a9  stp	x20, x8, [sp, #8]
0xfffffff0087af78c: 684dffd0  adrp	x8, #0xfffffff00715d000
0xfffffff0087af790: 084d2391  add	x8, x8, #0x8d3
0xfffffff0087af794: e80300f9  str	x8, [sp]
0xfffffff0087af798: 004cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087af79c: 00403691  add	x0, x0, #0xd90
0xfffffff0087af7a0: 6192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087af7a4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087af7a8: e34cff90  adrp	x3, #0xfffffff00714b000
0xfffffff0087af7ac: 63bc0c91  add	x3, x3, #0x32f
0xfffffff0087af7b0: 02008052  mov	w2, #0
0xfffffff0087af7b4: 5f0eee97  bl	#0xfffffff008333130
0xfffffff0087af7b8: 5f000014  b	#0xfffffff0087af934
0xfffffff0087af7bc: 680a40f9  ldr	x8, [x19, #0x10]
0xfffffff0087af7c0: 085974f8  ldr	x8, [x8, w20, uxtw #3]
0xfffffff0087af7c4: a80400b4  cbz	x8, #0xfffffff0087af858
0xfffffff0087af7c8: f403142a  mov	w20, w20
0xfffffff0087af7cc: 08e14139  ldrb	w8, [x8, #0x78]
0xfffffff0087af7d0: 080a0034  cbz	w8, #0xfffffff0087af910
0xfffffff0087af7d4: bf831ef8  stur	xzr, [x29, #-0x18]
0xfffffff0087af7d8: ff1300f9  str	xzr, [sp, #0x20]
0xfffffff0087af7dc: e0830091  add	x0, sp, #0x20
0xfffffff0087af7e0: 0c7cd797  bl	#0xfffffff007d8e810
0xfffffff0087af7e4: e01340f9  ldr	x0, [sp, #0x20]
0xfffffff0087af7e8: a16300d1  sub	x1, x29, #0x18
0xfffffff0087af7ec: 1594dc97  bl	#0xfffffff007ed4840
0xfffffff0087af7f0: a9835ef8  ldur	x9, [x29, #-0x18]
0xfffffff0087af7f4: 680a40f9  ldr	x8, [x19, #0x10]
0xfffffff0087af7f8: 087974f8  ldr	x8, [x8, x20, lsl #3]
0xfffffff0087af7fc: 0a3540f9  ldr	x10, [x8, #0x68]
0xfffffff0087af800: 29010acb  sub	x9, x9, x10
0xfffffff0087af804: 093900f9  str	x9, [x8, #0x70]
0xfffffff0087af808: 09614039  ldrb	w9, [x8, #0x18]
0xfffffff0087af80c: e9030034  cbz	w9, #0xfffffff0087af888
0xfffffff0087af810: 09654039  ldrb	w9, [x8, #0x19]
0xfffffff0087af814: 3f110071  cmp	w9, #4
