; Candidate 8266
; ADRP+ADD at VM 0xfffffff00889fb40 (fileoff 0x189bb40): page=0x1fe94a000 add_imm=0xe80

0xfffffff00889fac0: f88300a9  stp	x24, x0, [sp, #8]
0xfffffff00889fac4: fc0300f9  str	x28, [sp]
0xfffffff00889fac8: 404affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889facc: 00003a91  add	x0, x0, #0xe80
0xfffffff00889fad0: 418bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889fad4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889fad8: 02008052  mov	w2, #0
0xfffffff00889fadc: 034effd0  adrp	x3, #0xfffffff007261000
0xfffffff00889fae0: 63980791  add	x3, x3, #0x1e6
0xfffffff00889fae4: 934dea97  bl	#0xfffffff008333130
0xfffffff00889fae8: 37008052  mov	w23, #1
0xfffffff00889faec: 5a070091  add	x26, x26, #1
0xfffffff00889faf0: c83a80b9  ldrsw	x8, [x22, #0x38]
0xfffffff00889faf4: b5820091  add	x21, x21, #0x20
0xfffffff00889faf8: 5f0308eb  cmp	x26, x8
0xfffffff00889fafc: 8bf6ff54  b.lt	#0xfffffff00889f9cc
0xfffffff00889fb00: 57000014  b	#0xfffffff00889fc5c
0xfffffff00889fb04: aa510094  bl	#0xfffffff0088b41ac
0xfffffff00889fb08: f60300aa  mov	x22, x0
0xfffffff00889fb0c: e0008052  mov	w0, #7
0xfffffff00889fb10: 506fff97  bl	#0xfffffff00887b850
0xfffffff00889fb14: 680240b9  ldr	w8, [x19]
0xfffffff00889fb18: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00889fb1c: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00889fb20: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889fb24: 09910491  add	x9, x8, #0x124
0xfffffff00889fb28: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889fb2c: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889fb30: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00889fb34: a80f8052  mov	w8, #0x7d
0xfffffff00889fb38: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00889fb3c: f60300f9  str	x22, [sp]
0xfffffff00889fb40: 404affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889fb44: 00003a91  add	x0, x0, #0xe80
0xfffffff00889fb48: 418bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889fb4c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889fb50: 034effd0  adrp	x3, #0xfffffff007261000
0xfffffff00889fb54: 63f80491  add	x3, x3, #0x13e
0xfffffff00889fb58: 02008052  mov	w2, #0
0xfffffff00889fb5c: 754dea97  bl	#0xfffffff008333130
0xfffffff00889fb60: b5f1ffb5  cbnz	x21, #0xfffffff00889f994
0xfffffff00889fb64: a00f8052  mov	w0, #0x7d
0xfffffff00889fb68: 81008052  mov	w1, #4
0xfffffff00889fb6c: 196fff97  bl	#0xfffffff00887b7d0
0xfffffff00889fb70: c0150034  cbz	w0, #0xfffffff00889fe28
0xfffffff00889fb74: a00f8052  mov	w0, #0x7d
0xfffffff00889fb78: 286fff97  bl	#0xfffffff00887b818
0xfffffff00889fb7c: f70300aa  mov	x23, x0
0xfffffff00889fb80: 8b510094  bl	#0xfffffff0088b41ac
0xfffffff00889fb84: f60300aa  mov	x22, x0
0xfffffff00889fb88: 80008052  mov	w0, #4
0xfffffff00889fb8c: 316fff97  bl	#0xfffffff00887b850
0xfffffff00889fb90: 77110034  cbz	w23, #0xfffffff00889fdbc
0xfffffff00889fb94: 680240b9  ldr	w8, [x19]
0xfffffff00889fb98: f4ff04a9  stp	x20, xzr, [sp, #0x48]
0xfffffff00889fb9c: 894cffd0  adrp	x9, #0xfffffff007231000
0xfffffff00889fba0: 2ab50591  add	x10, x9, #0x16d
0xfffffff00889fba4: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00889fba8: a8808052  mov	w8, #0x405
0xfffffff00889fbac: 894cffd0  adrp	x9, #0xfffffff007231000
0xfffffff00889fbb0: 29910491  add	x9, x9, #0x124
0xfffffff00889fbb4: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00889fbb8: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889fbbc: 08e93191  add	x8, x8, #0xc7a
