; Candidate 8371
; ADRP+ADD at VM 0xfffffff0088a71f0 (fileoff 0x18a31f0): page=0x1fe942000 add_imm=0xe80

0xfffffff0088a7170: f80300f9  str	x24, [sp]
0xfffffff0088a7174: bb40d497  bl	#0xfffffff007db7460
0xfffffff0088a7178: 45000014  b	#0xfffffff0088a728c
0xfffffff0088a717c: e00317aa  mov	x0, x23
0xfffffff0088a7180: e1031aaa  mov	x1, x26
0xfffffff0088a7184: 6b22fe97  bl	#0xfffffff00882fb30
0xfffffff0088a7188: 2dffff17  b	#0xfffffff0088a6e3c
0xfffffff0088a718c: 08340094  bl	#0xfffffff0088b41ac
0xfffffff0088a7190: f70300aa  mov	x23, x0
0xfffffff0088a7194: 80008052  mov	w0, #4
0xfffffff0088a7198: ae51ff97  bl	#0xfffffff00887b850
0xfffffff0088a719c: e80319aa  mov	x8, x25
0xfffffff0088a71a0: 690240b9  ldr	w9, [x19]
0xfffffff0088a71a4: 8a0340b9  ldr	w10, [x28]
0xfffffff0088a71a8: 8b1740b9  ldr	w11, [x28, #0x14]
0xfffffff0088a71ac: eb2306a9  stp	x11, x8, [sp, #0x60]
0xfffffff0088a71b0: f82b05a9  stp	x24, x10, [sp, #0x50]
0xfffffff0088a71b4: e95304a9  stp	x9, x20, [sp, #0x40]
0xfffffff0088a71b8: 484bffb0  adrp	x8, #0xfffffff007210000
0xfffffff0088a71bc: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088a71c0: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088a71c4: c88c8052  mov	w8, #0x466
0xfffffff0088a71c8: 494cfff0  adrp	x9, #0xfffffff007232000
0xfffffff0088a71cc: 29991991  add	x9, x9, #0x666
0xfffffff0088a71d0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a71d4: 484cfff0  adrp	x8, #0xfffffff007232000
0xfffffff0088a71d8: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a71dc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a71e0: 680f8052  mov	w8, #0x7b
0xfffffff0088a71e4: c34dfff0  adrp	x3, #0xfffffff007262000
0xfffffff0088a71e8: 63a02391  add	x3, x3, #0x8e8
0xfffffff0088a71ec: f72300a9  stp	x23, x8, [sp]
0xfffffff0088a71f0: 004affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a71f4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a71f8: 018bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a71fc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a7200: 02008052  mov	w2, #0
0xfffffff0088a7204: cb2fea97  bl	#0xfffffff008333130
0xfffffff0088a7208: 0dffff17  b	#0xfffffff0088a6e3c
0xfffffff0088a720c: e00317aa  mov	x0, x23
0xfffffff0088a7210: 0821fe97  bl	#0xfffffff00882f630
0xfffffff0088a7214: e6330094  bl	#0xfffffff0088b41ac
0xfffffff0088a7218: f80300aa  mov	x24, x0
0xfffffff0088a721c: 80008052  mov	w0, #4
0xfffffff0088a7220: 8c51ff97  bl	#0xfffffff00887b850
0xfffffff0088a7224: f90300aa  mov	x25, x0
0xfffffff0088a7228: 7a0240b9  ldr	w26, [x19]
0xfffffff0088a722c: e00317aa  mov	x0, x23
0xfffffff0088a7230: 0021fe97  bl	#0xfffffff00882f630
0xfffffff0088a7234: f48304a9  stp	x20, x0, [sp, #0x48]
0xfffffff0088a7238: f3eb03a9  stp	x19, x26, [sp, #0x38]
0xfffffff0088a723c: 484cfff0  adrp	x8, #0xfffffff007232000
0xfffffff0088a7240: 0a992091  add	x10, x8, #0x826
0xfffffff0088a7244: e88b8052  mov	w8, #0x45f
0xfffffff0088a7248: 494cfff0  adrp	x9, #0xfffffff007232000
0xfffffff0088a724c: 29991991  add	x9, x9, #0x666
0xfffffff0088a7250: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088a7254: 484cfff0  adrp	x8, #0xfffffff007232000
0xfffffff0088a7258: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a725c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088a7260: 680f8052  mov	w8, #0x7b
0xfffffff0088a7264: c34dfff0  adrp	x3, #0xfffffff007262000
0xfffffff0088a7268: 63842291  add	x3, x3, #0x8a1
0xfffffff0088a726c: e8e700a9  stp	x8, x25, [sp, #8]
