; Candidate 16566
; ADRP+ADD at VM 0xfffffff009ee5834 (fileoff 0x2ee1834): page=0x1fd965000 add_imm=0xe59

0xfffffff009ee57b4: 02028052  mov	w2, #0x10
0xfffffff009ee57b8: 029d7997  bl	#0xfffffff007d4cbc0
0xfffffff009ee57bc: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff009ee57c0: e0c30091  add	x0, sp, #0x30
0xfffffff009ee57c4: 01008052  mov	w1, #0
0xfffffff009ee57c8: 02098052  mov	w2, #0x48
0xfffffff009ee57cc: fd9c7997  bl	#0xfffffff007d4cbc0
0xfffffff009ee57d0: 28018052  mov	w8, #9
0xfffffff009ee57d4: 0809a072  movk	w8, #0x48, lsl #16
0xfffffff009ee57d8: e83300b9  str	w8, [sp, #0x30]
0xfffffff009ee57dc: a82240f9  ldr	x8, [x21, #0x40]
0xfffffff009ee57e0: e81f00f9  str	x8, [sp, #0x38]
0xfffffff009ee57e4: a7220391  add	x7, x21, #0xc8
0xfffffff009ee57e8: 637e40f9  ldr	x3, [x19, #0xf8]
0xfffffff009ee57ec: 88008052  mov	w8, #4
0xfffffff009ee57f0: e80300b9  str	w8, [sp]
0xfffffff009ee57f4: 100000b0  adrp	x16, #0xfffffff009ee6000
0xfffffff009ee57f8: 10423f91  add	x16, x16, #0xfd0
0xfffffff009ee57fc: d19f9cd2  mov	x17, #0xe4fe
0xfffffff009ee5800: 3002c1da  pacia	x16, x17
0xfffffff009ee5804: e50310aa  mov	x5, x16
0xfffffff009ee5808: e4c30091  add	x4, sp, #0x30
0xfffffff009ee580c: e6830091  add	x6, sp, #0x20
0xfffffff009ee5810: e00313aa  mov	x0, x19
0xfffffff009ee5814: 21008052  mov	w1, #1
0xfffffff009ee5818: 020080d2  mov	x2, #0
0xfffffff009ee581c: 39050094  bl	#0xfffffff009ee6d00
0xfffffff009ee5820: f60300aa  mov	x22, x0
0xfffffff009ee5824: e0000034  cbz	w0, #0xfffffff009ee5840
0xfffffff009ee5828: f75b01a9  stp	x23, x22, [sp, #0x10]
0xfffffff009ee582c: c8ab8152  mov	w8, #0xd5e
0xfffffff009ee5830: f82300a9  stp	x24, x8, [sp]
0xfffffff009ee5834: 20cbfeb0  adrp	x0, #0xfffffff00784a000
0xfffffff009ee5838: 00643991  add	x0, x0, #0xe59
0xfffffff009ee583c: 2268fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ee5840: e00315aa  mov	x0, x21
0xfffffff009ee5844: 89feff97  bl	#0xfffffff009ee5268
0xfffffff009ee5848: 09000014  b	#0xfffffff009ee586c
0xfffffff009ee584c: 48008052  mov	w8, #2
0xfffffff009ee5850: f72301a9  stp	x23, x8, [sp, #0x10]
0xfffffff009ee5854: c8a88152  mov	w8, #0xd46
0xfffffff009ee5858: f82300a9  stp	x24, x8, [sp]
0xfffffff009ee585c: 20cbfeb0  adrp	x0, #0xfffffff00784a000
0xfffffff009ee5860: 00dc3891  add	x0, x0, #0xe37
0xfffffff009ee5864: 1868fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ee5868: d6028052  mov	w22, #0x16
0xfffffff009ee586c: df020071  cmp	w22, #0
0xfffffff009ee5870: 841a40fa  ccmp	x20, #0, #4, ne
0xfffffff009ee5874: 61000054  b.ne	#0xfffffff009ee5880
0xfffffff009ee5878: 746210f9  str	x20, [x19, #0x20c0]
0xfffffff009ee587c: 05000014  b	#0xfffffff009ee5890
0xfffffff009ee5880: e00314aa  mov	x0, x20
0xfffffff009ee5884: 010080d2  mov	x1, #0
0xfffffff009ee5888: 020080d2  mov	x2, #0
0xfffffff009ee588c: f8040194  bl	#0xfffffff009f26c6c
0xfffffff009ee5890: e00316aa  mov	x0, x22
0xfffffff009ee5894: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff009ee5898: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff009ee589c: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff009ee58a0: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff009ee58a4: ff030391  add	sp, sp, #0xc0
0xfffffff009ee58a8: ff0f5fd6  retab	
0xfffffff009ee58ac: 7f2303d5  pacibsp	
0xfffffff009ee58b0: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
