; Candidate 6923
; ADRP+ADD at VM 0xfffffff00884a6cc (fileoff 0x18466cc): page=0x1fe99f000 add_imm=0xe80

0xfffffff00884a64c: eab307a9  stp	x10, x12, [sp, #0x78]
0xfffffff00884a650: eba706a9  stp	x11, x9, [sp, #0x68]
0xfffffff00884a654: f1e305a9  stp	x17, x24, [sp, #0x58]
0xfffffff00884a658: ffa304a9  stp	xzr, x8, [sp, #0x48]
0xfffffff00884a65c: f0d303a9  stp	x16, x20, [sp, #0x38]
0xfffffff00884a660: f3bf02a9  stp	x19, x15, [sp, #0x28]
0xfffffff00884a664: 882f8052  mov	w8, #0x17c
0xfffffff00884a668: e81300f9  str	x8, [sp, #0x20]
0xfffffff00884a66c: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884a670: 08451e91  add	x8, x8, #0x791
0xfffffff00884a674: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884a678: 28098052  mov	w8, #0x49
0xfffffff00884a67c: c04efff0  adrp	x0, #0xfffffff007225000
0xfffffff00884a680: 00081d91  add	x0, x0, #0x742
0xfffffff00884a684: f52300a9  stp	x21, x8, [sp]
0xfffffff00884a688: 76b3d597  bl	#0xfffffff007db7460
0xfffffff00884a68c: 00008052  mov	w0, #0
0xfffffff00884a690: 30000014  b	#0xfffffff00884a750
0xfffffff00884a694: c6a60194  bl	#0xfffffff0088b41ac
0xfffffff00884a698: f30300aa  mov	x19, x0
0xfffffff00884a69c: 80008052  mov	w0, #4
0xfffffff00884a6a0: 6cc40094  bl	#0xfffffff00887b850
0xfffffff00884a6a4: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884a6a8: 08f11791  add	x8, x8, #0x5fc
0xfffffff00884a6ac: a92b8052  mov	w9, #0x15d
0xfffffff00884a6b0: e8ff02a9  stp	x8, xzr, [sp, #0x28]
0xfffffff00884a6b4: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884a6b8: 08451e91  add	x8, x8, #0x791
0xfffffff00884a6bc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884a6c0: 28098052  mov	w8, #0x49
0xfffffff00884a6c4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00884a6c8: f30300f9  str	x19, [sp]
0xfffffff00884a6cc: e04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884a6d0: 00003a91  add	x0, x0, #0xe80
0xfffffff00884a6d4: e18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00884a6d8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884a6dc: 2350fff0  adrp	x3, #0xfffffff007251000
0xfffffff00884a6e0: 63141a91  add	x3, x3, #0x685
0xfffffff00884a6e4: 02008052  mov	w2, #0
0xfffffff00884a6e8: 92a2eb97  bl	#0xfffffff008333130
0xfffffff00884a6ec: 007d8012  mov	w0, #-0x3e9
0xfffffff00884a6f0: 18000014  b	#0xfffffff00884a750
0xfffffff00884a6f4: aea60194  bl	#0xfffffff0088b41ac
0xfffffff00884a6f8: f40300aa  mov	x20, x0
0xfffffff00884a6fc: 80008052  mov	w0, #4
0xfffffff00884a700: 54c40094  bl	#0xfffffff00887b850
0xfffffff00884a704: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884a708: 08c11691  add	x8, x8, #0x5b0
0xfffffff00884a70c: 092c8052  mov	w9, #0x160
0xfffffff00884a710: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00884a714: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884a718: 08451e91  add	x8, x8, #0x791
0xfffffff00884a71c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884a720: 28098052  mov	w8, #0x49
0xfffffff00884a724: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00884a728: f40300f9  str	x20, [sp]
0xfffffff00884a72c: e04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884a730: 00003a91  add	x0, x0, #0xe80
0xfffffff00884a734: e18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00884a738: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884a73c: 2350fff0  adrp	x3, #0xfffffff007251000
0xfffffff00884a740: 63d01a91  add	x3, x3, #0x6b4
0xfffffff00884a744: 02008052  mov	w2, #0
0xfffffff00884a748: 7aa2eb97  bl	#0xfffffff008333130
