; Candidate 1955
; ADRP+ADD at VM 0xfffffff00853d878 (fileoff 0x1539878): page=0x1d98000 add_imm=0xd80

0xfffffff00853d7f8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00853d7fc: fd030091  mov	x29, sp
0xfffffff00853d800: 205dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff00853d804: 00603791  add	x0, x0, #0xdd8
0xfffffff00853d808: 8caef797  bl	#0xfffffff008329238
0xfffffff00853d80c: c8ec0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853d810: 00a906f9  str	x0, [x8, #0xd50]
0xfffffff00853d814: 205dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff00853d818: 00083891  add	x0, x0, #0xe02
0xfffffff00853d81c: 87aef797  bl	#0xfffffff008329238
0xfffffff00853d820: c8ec0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853d824: 00ad06f9  str	x0, [x8, #0xd58]
0xfffffff00853d828: 205dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff00853d82c: 00883891  add	x0, x0, #0xe22
0xfffffff00853d830: 82aef797  bl	#0xfffffff008329238
0xfffffff00853d834: c8ec0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853d838: 00b106f9  str	x0, [x8, #0xd60]
0xfffffff00853d83c: 205dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff00853d840: 00e43891  add	x0, x0, #0xe39
0xfffffff00853d844: 7daef797  bl	#0xfffffff008329238
0xfffffff00853d848: c8ec0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853d84c: 00b506f9  str	x0, [x8, #0xd68]
0xfffffff00853d850: 205dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff00853d854: 004c3991  add	x0, x0, #0xe53
0xfffffff00853d858: 78aef797  bl	#0xfffffff008329238
0xfffffff00853d85c: c8ec0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853d860: 00b906f9  str	x0, [x8, #0xd70]
0xfffffff00853d864: 205dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff00853d868: 00bc3991  add	x0, x0, #0xe6f
0xfffffff00853d86c: 73aef797  bl	#0xfffffff008329238
0xfffffff00853d870: c8ec0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853d874: 00bd06f9  str	x0, [x8, #0xd78]
0xfffffff00853d878: c0ec0090  adrp	x0, #0xfffffff00a2d5000
0xfffffff00853d87c: 00003691  add	x0, x0, #0xd80
0xfffffff00853d880: 015dffd0  adrp	x1, #0xfffffff0070df000
0xfffffff00853d884: 21701391  add	x1, x1, #0x4dc
0xfffffff00853d888: c2a2ff90  adrp	x2, #0xfffffff007995000
0xfffffff00853d88c: 42e844f9  ldr	x2, [x2, #0x9d0]
0xfffffff00853d890: 03078052  mov	w3, #0x38
0xfffffff00853d894: a998f697  bl	#0xfffffff0082e3b38
0xfffffff00853d898: 10a3ff90  adrp	x16, #0xfffffff00799d000
0xfffffff00853d89c: 10423491  add	x16, x16, #0xd10
0xfffffff00853d8a0: 10420091  add	x16, x16, #0x10
0xfffffff00853d8a4: f10300aa  mov	x17, x0
0xfffffff00853d8a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00853d8ac: 300ac1da  pacda	x16, x17
0xfffffff00853d8b0: 100000f9  str	x16, [x0]
0xfffffff00853d8b4: c0ec0090  adrp	x0, #0xfffffff00a2d5000
0xfffffff00853d8b8: 00a03691  add	x0, x0, #0xda8
0xfffffff00853d8bc: 015dffd0  adrp	x1, #0xfffffff0070df000
0xfffffff00853d8c0: 21b41491  add	x1, x1, #0x52d
0xfffffff00853d8c4: c2a2ff90  adrp	x2, #0xfffffff007995000
0xfffffff00853d8c8: 425845f9  ldr	x2, [x2, #0xab0]
0xfffffff00853d8cc: 03098052  mov	w3, #0x48
0xfffffff00853d8d0: 9a98f697  bl	#0xfffffff0082e3b38
0xfffffff00853d8d4: 10a3ff90  adrp	x16, #0xfffffff00799d000
0xfffffff00853d8d8: 10a23891  add	x16, x16, #0xe28
0xfffffff00853d8dc: 10420091  add	x16, x16, #0x10
0xfffffff00853d8e0: f10300aa  mov	x17, x0
0xfffffff00853d8e4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00853d8e8: 300ac1da  pacda	x16, x17
0xfffffff00853d8ec: 100000f9  str	x16, [x0]
0xfffffff00853d8f0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00853d8f4: ff0f5fd6  retab	
