; Candidate 13960
; ADRP+ADD at VM 0xfffffff009650410 (fileoff 0x264c410): page=0x1fdf1d000 add_imm=0xea1

0xfffffff009650390: e08315ad  stp	q0, q0, [sp, #0x2b0]
0xfffffff009650394: e08314ad  stp	q0, q0, [sp, #0x290]
0xfffffff009650398: a8430091  add	x8, x29, #0x10
0xfffffff00965039c: e83300f9  str	x8, [sp, #0x60]
0xfffffff0096503a0: e0430a91  add	x0, sp, #0x290
0xfffffff0096503a4: a3430091  add	x3, x29, #0x10
0xfffffff0096503a8: 01408052  mov	w1, #0x200
0xfffffff0096503ac: e20319aa  mov	x2, x25
0xfffffff0096503b0: 90aaae97  bl	#0xfffffff0081fadf0
0xfffffff0096503b4: 580300b4  cbz	x24, #0xfffffff00965041c
0xfffffff0096503b8: 370300b4  cbz	x23, #0xfffffff00965041c
0xfffffff0096503bc: f9a30191  add	x25, sp, #0x68
0xfffffff0096503c0: e0a30191  add	x0, sp, #0x68
0xfffffff0096503c4: 21448052  mov	w1, #0x221
0xfffffff0096503c8: def19b97  bl	#0xfffffff007d4cb40
0xfffffff0096503cc: c8f8feb0  adrp	x8, #0xfffffff007569000
0xfffffff0096503d0: 08110491  add	x8, x8, #0x104
0xfffffff0096503d4: f8a300a9  stp	x24, x8, [sp, #8]
0xfffffff0096503d8: f70300f9  str	x23, [sp]
0xfffffff0096503dc: c2f8feb0  adrp	x2, #0xfffffff007569000
0xfffffff0096503e0: 42000491  add	x2, x2, #0x100
0xfffffff0096503e4: e0a30191  add	x0, sp, #0x68
0xfffffff0096503e8: 21448052  mov	w1, #0x221
0xfffffff0096503ec: 5caaae97  bl	#0xfffffff0081fad5c
0xfffffff0096503f0: d60300b4  cbz	x22, #0xfffffff009650468
0xfffffff0096503f4: e8430a91  add	x8, sp, #0x290
0xfffffff0096503f8: e8e703a9  stp	x8, x25, [sp, #0x38]
0xfffffff0096503fc: f5ef02a9  stp	x21, x27, [sp, #0x28]
0xfffffff009650400: e82b40f9  ldr	x8, [sp, #0x50]
0xfffffff009650404: e8f301a9  stp	x8, x28, [sp, #0x18]
0xfffffff009650408: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff00965040c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009650410: e0f8feb0  adrp	x0, #0xfffffff00756d000
0xfffffff009650414: 00843a91  add	x0, x0, #0xea1
0xfffffff009650418: 1b000014  b	#0xfffffff009650484
0xfffffff00965041c: e92f40f9  ldr	x9, [sp, #0x58]
0xfffffff009650420: e8430a91  add	x8, sp, #0x290
0xfffffff009650424: 360100b4  cbz	x22, #0xfffffff009650448
0xfffffff009650428: fb2303a9  stp	x27, x8, [sp, #0x30]
0xfffffff00965042c: fc5702a9  stp	x28, x21, [sp, #0x20]
0xfffffff009650430: e80309aa  mov	x8, x9
0xfffffff009650434: e92b40f9  ldr	x9, [sp, #0x50]
0xfffffff009650438: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff00965043c: e0f8feb0  adrp	x0, #0xfffffff00756d000
0xfffffff009650440: 00f43b91  add	x0, x0, #0xefd
0xfffffff009650444: 10000014  b	#0xfffffff009650484
0xfffffff009650448: f52302a9  stp	x21, x8, [sp, #0x20]
0xfffffff00965044c: e80309aa  mov	x8, x9
0xfffffff009650450: e92b40f9  ldr	x9, [sp, #0x50]
0xfffffff009650454: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009650458: fa5300a9  stp	x26, x20, [sp]
0xfffffff00965045c: e0f8feb0  adrp	x0, #0xfffffff00756d000
0xfffffff009650460: 00b03c91  add	x0, x0, #0xf2c
0xfffffff009650464: 09000014  b	#0xfffffff009650488
0xfffffff009650468: e8430a91  add	x8, sp, #0x290
0xfffffff00965046c: e8e702a9  stp	x8, x25, [sp, #0x28]
0xfffffff009650470: e92345a9  ldp	x9, x8, [sp, #0x50]
0xfffffff009650474: e9d701a9  stp	x9, x21, [sp, #0x18]
0xfffffff009650478: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00965047c: e0f8feb0  adrp	x0, #0xfffffff00756d000
0xfffffff009650480: 00543b91  add	x0, x0, #0xed5
0xfffffff009650484: fa5300a9  stp	x26, x20, [sp]
0xfffffff009650488: e61ab497  bl	#0xfffffff008357020
0xfffffff00965048c: a8035af8  ldur	x8, [x29, #-0x60]
