; Candidate 14912
; ADRP+ADD at VM 0xfffffff0099faf68 (fileoff 0x29f6f68): page=0x1fdc05000 add_imm=0xda4

0xfffffff0099faee8: fd430091  add	x29, sp, #0x10
0xfffffff0099faeec: f30300aa  mov	x19, x0
0xfffffff0099faef0: 21e0feb0  adrp	x1, #0xfffffff0075ff000
0xfffffff0099faef4: 21683591  add	x1, x1, #0xd5a
0xfffffff0099faef8: 0215fff0  adrp	x2, #0xfffffff007c9d000
0xfffffff0099faefc: 425441f9  ldr	x2, [x2, #0x2a8]
0xfffffff0099faf00: 03148052  mov	w3, #0xa0
0xfffffff0099faf04: 0da3a397  bl	#0xfffffff0082e3b38
0xfffffff0099faf08: 3015ff90  adrp	x16, #0xfffffff007c9e000
0xfffffff0099faf0c: 10222191  add	x16, x16, #0x848
0xfffffff0099faf10: 10420091  add	x16, x16, #0x10
0xfffffff0099faf14: f10300aa  mov	x17, x0
0xfffffff0099faf18: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099faf1c: 300ac1da  pacda	x16, x17
0xfffffff0099faf20: 100000f9  str	x16, [x0]
0xfffffff0099faf24: 05000094  bl	#0xfffffff0099faf38
0xfffffff0099faf28: e00313aa  mov	x0, x19
0xfffffff0099faf2c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0099faf30: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0099faf34: ff0f5fd6  retab	
0xfffffff0099faf38: 7f2303d5  pacibsp	
0xfffffff0099faf3c: ffc300d1  sub	sp, sp, #0x30
0xfffffff0099faf40: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0099faf44: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0099faf48: fd830091  add	x29, sp, #0x20
0xfffffff0099faf4c: e8f30132  mov	w8, #-0x55555556
0xfffffff0099faf50: e80f00b9  str	w8, [sp, #0xc]
0xfffffff0099faf54: 20e0feb0  adrp	x0, #0xfffffff0075ff000
0xfffffff0099faf58: 00303691  add	x0, x0, #0xd8c
0xfffffff0099faf5c: b7b8a497  bl	#0xfffffff008329238
0xfffffff0099faf60: e84d0090  adrp	x8, #0xfffffff00a3b6000
0xfffffff0099faf64: 00f505f9  str	x0, [x8, #0xbe8]
0xfffffff0099faf68: 20e0feb0  adrp	x0, #0xfffffff0075ff000
0xfffffff0099faf6c: 00903691  add	x0, x0, #0xda4
0xfffffff0099faf70: b2b8a497  bl	#0xfffffff008329238
0xfffffff0099faf74: e84d0090  adrp	x8, #0xfffffff00a3b6000
0xfffffff0099faf78: 00f905f9  str	x0, [x8, #0xbf0]
0xfffffff0099faf7c: 20e0feb0  adrp	x0, #0xfffffff0075ff000
0xfffffff0099faf80: 00fc3691  add	x0, x0, #0xdbf
0xfffffff0099faf84: adb8a497  bl	#0xfffffff008329238
0xfffffff0099faf88: e84d0090  adrp	x8, #0xfffffff00a3b6000
0xfffffff0099faf8c: 00fd05f9  str	x0, [x8, #0xbf8]
0xfffffff0099faf90: 20e0feb0  adrp	x0, #0xfffffff0075ff000
0xfffffff0099faf94: 004c3791  add	x0, x0, #0xdd3
0xfffffff0099faf98: a8b8a497  bl	#0xfffffff008329238
0xfffffff0099faf9c: e84d0090  adrp	x8, #0xfffffff00a3b6000
0xfffffff0099fafa0: 000106f9  str	x0, [x8, #0xc00]
0xfffffff0099fafa4: 20e0feb0  adrp	x0, #0xfffffff0075ff000
0xfffffff0099fafa8: 009c3791  add	x0, x0, #0xde7
0xfffffff0099fafac: a3b8a497  bl	#0xfffffff008329238
0xfffffff0099fafb0: e84d0090  adrp	x8, #0xfffffff00a3b6000
0xfffffff0099fafb4: 000506f9  str	x0, [x8, #0xc08]
0xfffffff0099fafb8: 20e0feb0  adrp	x0, #0xfffffff0075ff000
0xfffffff0099fafbc: 00143891  add	x0, x0, #0xe05
0xfffffff0099fafc0: 9eb8a497  bl	#0xfffffff008329238
0xfffffff0099fafc4: e84d0090  adrp	x8, #0xfffffff00a3b6000
0xfffffff0099fafc8: 001106f9  str	x0, [x8, #0xc20]
0xfffffff0099fafcc: 20e0feb0  adrp	x0, #0xfffffff0075ff000
0xfffffff0099fafd0: 00883891  add	x0, x0, #0xe22
0xfffffff0099fafd4: 99b8a497  bl	#0xfffffff008329238
0xfffffff0099fafd8: e84d0090  adrp	x8, #0xfffffff00a3b6000
0xfffffff0099fafdc: 001d06f9  str	x0, [x8, #0xc38]
0xfffffff0099fafe0: 20e0feb0  adrp	x0, #0xfffffff0075ff000
0xfffffff0099fafe4: 00d43891  add	x0, x0, #0xe35
