; Candidate 2796
; ADRP+ADD at VM 0xfffffff0086e83e8 (fileoff 0x16e43e8): page=0x1fea49000 add_imm=0xd90

0xfffffff0086e8368: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff0086e836c: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0086e8370: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0086e8374: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0086e8378: fd430191  add	x29, sp, #0x50
0xfffffff0086e837c: f30300aa  mov	x19, x0
0xfffffff0086e8380: 34008052  mov	w20, #1
0xfffffff0086e8384: 9400a072  movk	w20, #4, lsl #16
0xfffffff0086e8388: 082c40b9  ldr	w8, [x0, #0x2c]
0xfffffff0086e838c: 68000034  cbz	w8, #0xfffffff0086e8398
0xfffffff0086e8390: 752a40b9  ldr	w21, [x19, #0x28]
0xfffffff0086e8394: 1e000014  b	#0xfffffff0086e840c
0xfffffff0086e8398: 15008052  mov	w21, #0
0xfffffff0086e839c: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0086e83a0: 89008052  mov	w9, #4
0xfffffff0086e83a4: 6b2a41a9  ldp	x11, x10, [x19, #0x10]
0xfffffff0086e83a8: b55e1853  lsl	w21, w21, #8
0xfffffff0086e83ac: 7f010aeb  cmp	x11, x10
0xfffffff0086e83b0: 02010054  b.hs	#0xfffffff0086e83d0
0xfffffff0086e83b4: 08210011  add	w8, w8, #8
0xfffffff0086e83b8: 682e00b9  str	w8, [x19, #0x2c]
0xfffffff0086e83bc: 6c050091  add	x12, x11, #1
0xfffffff0086e83c0: 6c0a00f9  str	x12, [x19, #0x10]
0xfffffff0086e83c4: 6b014039  ldrb	w11, [x11]
0xfffffff0086e83c8: b5020b2a  orr	w21, w21, w11
0xfffffff0086e83cc: eb030caa  mov	x11, x12
0xfffffff0086e83d0: 29050071  subs	w9, w9, #1
0xfffffff0086e83d4: a1feff54  b.ne	#0xfffffff0086e83a8
0xfffffff0086e83d8: 69ce5eb9  ldr	w9, [x19, #0x1ecc]
0xfffffff0086e83dc: 3f01146a  tst	w9, w20
0xfffffff0086e83e0: 60010054  b.eq	#0xfffffff0086e840c
0xfffffff0086e83e4: f52300a9  stp	x21, x8, [sp]
0xfffffff0086e83e8: 4052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086e83ec: 00403691  add	x0, x0, #0xd90
0xfffffff0086e83f0: a198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e83f4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e83f8: 4352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086e83fc: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e8400: 02008052  mov	w2, #0
0xfffffff0086e8404: 4b2bf197  bl	#0xfffffff008333130
0xfffffff0086e8408: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0086e840c: a97a1f53  lsl	w9, w21, #1
0xfffffff0086e8410: 08050051  sub	w8, w8, #1
0xfffffff0086e8414: 69220529  stp	w9, w8, [x19, #0x28]
0xfffffff0086e8418: 69ce5eb9  ldr	w9, [x19, #0x1ecc]
0xfffffff0086e841c: 3f01146a  tst	w9, w20
0xfffffff0086e8420: e0010054  b.eq	#0xfffffff0086e845c
0xfffffff0086e8424: a97e1f53  lsr	w9, w21, #0x1f
0xfffffff0086e8428: 4a53ff90  adrp	x10, #0xfffffff007150000
0xfffffff0086e842c: 4a150f91  add	x10, x10, #0x3c5
0xfffffff0086e8430: 2b008052  mov	w11, #1
0xfffffff0086e8434: eb2b00a9  stp	x11, x10, [sp]
0xfffffff0086e8438: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0086e843c: 4052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086e8440: 00403691  add	x0, x0, #0xd90
0xfffffff0086e8444: a198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e8448: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e844c: 4352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086e8450: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e8454: 02008052  mov	w2, #0
0xfffffff0086e8458: 362bf197  bl	#0xfffffff008333130
0xfffffff0086e845c: b500f837  tbnz	w21, #0x1f, #0xfffffff0086e8470
0xfffffff0086e8460: 682a40f9  ldr	x8, [x19, #0x50]
0xfffffff0086e8464: 0aa54929  ldp	w10, w9, [x8, #0x4c]
