; Candidate 15493
; ADRP+ADD at VM 0xfffffff009bd7a50 (fileoff 0x2bd3a50): page=0x1fda68000 add_imm=0xeb4

0xfffffff009bd79d0: 90db8697  bl	#0xfffffff007d8e810
0xfffffff009bd79d4: ff0300f9  str	xzr, [sp]
0xfffffff009bd79d8: e00740f9  ldr	x0, [sp, #8]
0xfffffff009bd79dc: e1030091  mov	x1, sp
0xfffffff009bd79e0: 98f38b97  bl	#0xfffffff007ed4840
0xfffffff009bd79e4: 696e42f9  ldr	x9, [x19, #0x4d8]
0xfffffff009bd79e8: e80340f9  ldr	x8, [sp]
0xfffffff009bd79ec: 890100b4  cbz	x9, #0xfffffff009bd7a1c
0xfffffff009bd79f0: 090109cb  sub	x9, x8, x9
0xfffffff009bd79f4: 6a9b86d2  mov	x10, #0x34db
0xfffffff009bd79f8: caf6baf2  movk	x10, #0xd7b6, lsl #16
0xfffffff009bd79fc: 4ad0dbf2  movk	x10, #0xde82, lsl #32
0xfffffff009bd7a00: 6a63e8f2  movk	x10, #0x431b, lsl #48
0xfffffff009bd7a04: 297dca9b  umulh	x9, x9, x10
0xfffffff009bd7a08: 6a2641f9  ldr	x10, [x19, #0x248]
0xfffffff009bd7a0c: 6a0e0a8b  add	x10, x19, x10, lsl #3
0xfffffff009bd7a10: 4b5d42f9  ldr	x11, [x10, #0x4b8]
0xfffffff009bd7a14: 6949498b  add	x9, x11, x9, lsr #18
0xfffffff009bd7a18: 495d02f9  str	x9, [x10, #0x4b8]
0xfffffff009bd7a1c: 686e02f9  str	x8, [x19, #0x4d8]
0xfffffff009bd7a20: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009bd7a24: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009bd7a28: ffc30091  add	sp, sp, #0x30
0xfffffff009bd7a2c: ff0f5fd6  retab	
0xfffffff009bd7a30: 7f2303d5  pacibsp	
0xfffffff009bd7a34: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff009bd7a38: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009bd7a3c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009bd7a40: fd830091  add	x29, sp, #0x20
0xfffffff009bd7a44: f30300aa  mov	x19, x0
0xfffffff009bd7a48: 002844b9  ldr	w0, [x0, #0x428]
0xfffffff009bd7a4c: c00a0035  cbnz	w0, #0xfffffff009bd7ba4
0xfffffff009bd7a50: 40d3fe90  adrp	x0, #0xfffffff00763f000
0xfffffff009bd7a54: 00d03a91  add	x0, x0, #0xeb4
0xfffffff009bd7a58: 010080d2  mov	x1, #0
0xfffffff009bd7a5c: c4cb9e97  bl	#0xfffffff00838a96c
0xfffffff009bd7a60: c00900b4  cbz	x0, #0xfffffff009bd7b98
0xfffffff009bd7a64: f50300aa  mov	x21, x0
0xfffffff009bd7a68: 01409ed2  mov	x1, #0xf200
0xfffffff009bd7a6c: a140a5f2  movk	x1, #0x2a05, lsl #16
0xfffffff009bd7a70: 2100c0f2  movk	x1, #1, lsl #32
0xfffffff009bd7a74: c6c89e97  bl	#0xfffffff008389d8c
0xfffffff009bd7a78: f40300aa  mov	x20, x0
0xfffffff009bd7a7c: b00240f9  ldr	x16, [x21]
0xfffffff009bd7a80: f10315aa  mov	x17, x21
0xfffffff009bd7a84: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009bd7a88: 301ac1da  autda	x16, x17
0xfffffff009bd7a8c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009bd7a90: e90310aa  mov	x9, x16
0xfffffff009bd7a94: e00315aa  mov	x0, x21
0xfffffff009bd7a98: f10309aa  mov	x17, x9
0xfffffff009bd7a9c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009bd7aa0: 11093fd7  blraa	x8, x17
0xfffffff009bd7aa4: b40700b4  cbz	x20, #0xfffffff009bd7b98
0xfffffff009bd7aa8: 4808ffb0  adrp	x8, #0xfffffff007ce0000
0xfffffff009bd7aac: 08c146f9  ldr	x8, [x8, #0xd80]
0xfffffff009bd7ab0: 010140f9  ldr	x1, [x8]
0xfffffff009bd7ab4: 40d3fe90  adrp	x0, #0xfffffff00763f000
0xfffffff009bd7ab8: 00f03a91  add	x0, x0, #0xebc
0xfffffff009bd7abc: 020080d2  mov	x2, #0
0xfffffff009bd7ac0: 030080d2  mov	x3, #0
0xfffffff009bd7ac4: 040080d2  mov	x4, #0
0xfffffff009bd7ac8: 6f1d9e97  bl	#0xfffffff00835f084
0xfffffff009bd7acc: 200500b4  cbz	x0, #0xfffffff009bd7b70
