; Candidate 2767
; ADRP+ADD at VM 0xfffffff0086e7508 (fileoff 0x16e3508): page=0x1fea4a000 add_imm=0xd90

0xfffffff0086e7488: f50300aa  mov	x21, x0
0xfffffff0086e748c: 37008052  mov	w23, #1
0xfffffff0086e7490: 9700a072  movk	w23, #4, lsl #16
0xfffffff0086e7494: 09284529  ldp	w9, w10, [x0, #0x28]
0xfffffff0086e7498: 5f01026b  cmp	w10, w2
0xfffffff0086e749c: e2040054  b.hs	#0xfffffff0086e7538
0xfffffff0086e74a0: 08008052  mov	w8, #0
0xfffffff0086e74a4: 18008052  mov	w24, #0
0xfffffff0086e74a8: 0b048052  mov	w11, #0x20
0xfffffff0086e74ac: 6b010a4b  sub	w11, w11, w10
0xfffffff0086e74b0: bf2e00b9  str	wzr, [x21, #0x2c]
0xfffffff0086e74b4: ae3241a9  ldp	x14, x12, [x21, #0x10]
0xfffffff0086e74b8: 8d008052  mov	w13, #4
0xfffffff0086e74bc: 185f1853  lsl	w24, w24, #8
0xfffffff0086e74c0: df010ceb  cmp	x14, x12
0xfffffff0086e74c4: 02010054  b.hs	#0xfffffff0086e74e4
0xfffffff0086e74c8: 08210011  add	w8, w8, #8
0xfffffff0086e74cc: a82e00b9  str	w8, [x21, #0x2c]
0xfffffff0086e74d0: cf050091  add	x15, x14, #1
0xfffffff0086e74d4: af0a00f9  str	x15, [x21, #0x10]
0xfffffff0086e74d8: ce014039  ldrb	w14, [x14]
0xfffffff0086e74dc: 18030e2a  orr	w24, w24, w14
0xfffffff0086e74e0: ee030faa  mov	x14, x15
0xfffffff0086e74e4: ad050071  subs	w13, w13, #1
0xfffffff0086e74e8: a1feff54  b.ne	#0xfffffff0086e74bc
0xfffffff0086e74ec: 79020a4b  sub	w25, w19, w10
0xfffffff0086e74f0: 2925cb1a  lsr	w9, w9, w11
0xfffffff0086e74f4: 3621d91a  lsl	w22, w9, w25
0xfffffff0086e74f8: a9ce5eb9  ldr	w9, [x21, #0x1ecc]
0xfffffff0086e74fc: 3f01176a  tst	w9, w23
0xfffffff0086e7500: 40020054  b.eq	#0xfffffff0086e7548
0xfffffff0086e7504: f82300a9  stp	x24, x8, [sp]
0xfffffff0086e7508: 4052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086e750c: 00403691  add	x0, x0, #0xd90
0xfffffff0086e7510: a198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e7514: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e7518: 6352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086e751c: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e7520: 02008052  mov	w2, #0
0xfffffff0086e7524: 032ff197  bl	#0xfffffff008333130
0xfffffff0086e7528: a82e40b9  ldr	w8, [x21, #0x2c]
0xfffffff0086e752c: 07000014  b	#0xfffffff0086e7548
0xfffffff0086e7530: 16008052  mov	w22, #0
0xfffffff0086e7534: 18000014  b	#0xfffffff0086e7594
0xfffffff0086e7538: 16008052  mov	w22, #0
0xfffffff0086e753c: e8030aaa  mov	x8, x10
0xfffffff0086e7540: f80309aa  mov	x24, x9
0xfffffff0086e7544: f90313aa  mov	x25, x19
0xfffffff0086e7548: e903194b  neg	w9, w25
0xfffffff0086e754c: 0927c91a  lsr	w9, w24, w9
0xfffffff0086e7550: 3601162a  orr	w22, w9, w22
0xfffffff0086e7554: 0923d91a  lsl	w9, w24, w25
0xfffffff0086e7558: 0801194b  sub	w8, w8, w25
0xfffffff0086e755c: a9220529  stp	w9, w8, [x21, #0x28]
0xfffffff0086e7560: a9ce5eb9  ldr	w9, [x21, #0x1ecc]
0xfffffff0086e7564: 3f01176a  tst	w9, w23
0xfffffff0086e7568: 60010054  b.eq	#0xfffffff0086e7594
0xfffffff0086e756c: f62301a9  stp	x22, x8, [sp, #0x10]
0xfffffff0086e7570: f35300a9  stp	x19, x20, [sp]
0xfffffff0086e7574: 4052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086e7578: 00403691  add	x0, x0, #0xd90
0xfffffff0086e757c: a198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e7580: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e7584: 6352ff90  adrp	x3, #0xfffffff007133000
