; Candidate 9132
; ADRP+ADD at VM 0xfffffff0089fba0c (fileoff 0x19f7a0c): page=0x1fe899000 add_imm=0xdf4

0xfffffff0089fb98c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0089fb990: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0089fb994: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0089fb998: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff0089fb99c: ff030291  add	sp, sp, #0x80
0xfffffff0089fb9a0: ff0f5fd6  retab	
0xfffffff0089fb9a4: c844fff0  adrp	x8, #0xfffffff007296000
0xfffffff0089fb9a8: 08ed0991  add	x8, x8, #0x27b
0xfffffff0089fb9ac: 89168052  mov	w9, #0xb4
0xfffffff0089fb9b0: ca44ffb0  adrp	x10, #0xfffffff007294000
0xfffffff0089fb9b4: 4a853991  add	x10, x10, #0xe61
0xfffffff0089fb9b8: cb44fff0  adrp	x11, #0xfffffff007296000
0xfffffff0089fb9bc: 6bb50991  add	x11, x11, #0x26d
0xfffffff0089fb9c0: e9ff01a9  stp	x9, xzr, [sp, #0x18]
0xfffffff0089fb9c4: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0089fb9c8: eb0300f9  str	x11, [sp]
0xfffffff0089fb9cc: c044ffb0  adrp	x0, #0xfffffff007294000
0xfffffff0089fb9d0: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089fb9d4: a3eece97  bl	#0xfffffff007db7460
0xfffffff0089fb9d8: ebffff17  b	#0xfffffff0089fb984
0xfffffff0089fb9dc: e8168052  mov	w8, #0xb7
0xfffffff0089fb9e0: 02000014  b	#0xfffffff0089fb9e8
0xfffffff0089fb9e4: 48178052  mov	w8, #0xba
0xfffffff0089fb9e8: c944fff0  adrp	x9, #0xfffffff007296000
0xfffffff0089fb9ec: 29ed0991  add	x9, x9, #0x27b
0xfffffff0089fb9f0: e8ff01a9  stp	x8, xzr, [sp, #0x18]
0xfffffff0089fb9f4: ca44ffb0  adrp	x10, #0xfffffff007294000
0xfffffff0089fb9f8: 4a853991  add	x10, x10, #0xe61
0xfffffff0089fb9fc: cb44ffd0  adrp	x11, #0xfffffff007295000
0xfffffff0089fba00: 6b6d1491  add	x11, x11, #0x51b
0xfffffff0089fba04: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff0089fba08: eb0300f9  str	x11, [sp]
0xfffffff0089fba0c: c044ffb0  adrp	x0, #0xfffffff007294000
0xfffffff0089fba10: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089fba14: 93eece97  bl	#0xfffffff007db7460
0xfffffff0089fba18: 700240f9  ldr	x16, [x19]
0xfffffff0089fba1c: f10313aa  mov	x17, x19
0xfffffff0089fba20: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089fba24: 301ac1da  autda	x16, x17
0xfffffff0089fba28: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0089fba2c: e90310aa  mov	x9, x16
0xfffffff0089fba30: e00313aa  mov	x0, x19
0xfffffff0089fba34: f10309aa  mov	x17, x9
0xfffffff0089fba38: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0089fba3c: 11093fd7  blraa	x8, x17
0xfffffff0089fba40: 130080d2  mov	x19, #0
0xfffffff0089fba44: d0ffff17  b	#0xfffffff0089fb984
0xfffffff0089fba48: 7f2303d5  pacibsp	
0xfffffff0089fba4c: ffc301d1  sub	sp, sp, #0x70
0xfffffff0089fba50: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff0089fba54: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0089fba58: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0089fba5c: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0089fba60: fd830191  add	x29, sp, #0x60
0xfffffff0089fba64: f70304aa  mov	x23, x4
0xfffffff0089fba68: f50303aa  mov	x21, x3
0xfffffff0089fba6c: f80302aa  mov	x24, x2
0xfffffff0089fba70: f40301aa  mov	x20, x1
0xfffffff0089fba74: f30300aa  mov	x19, x0
0xfffffff0089fba78: 12010094  bl	#0xfffffff0089fbec0
0xfffffff0089fba7c: 1f0014eb  cmp	x0, x20
0xfffffff0089fba80: c1080054  b.ne	#0xfffffff0089fbb98
0xfffffff0089fba84: e00313aa  mov	x0, x19
0xfffffff0089fba88: e10318aa  mov	x1, x24
