; Candidate 15935
; ADRP+ADD at VM 0xfffffff009dec9b0 (fileoff 0x2de89b0): page=0x5d2000 add_imm=0xd58

0xfffffff009dec930: e00313aa  mov	x0, x19
0xfffffff009dec934: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009dec938: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009dec93c: ffc30091  add	sp, sp, #0x30
0xfffffff009dec940: ff0f5fd6  retab	
0xfffffff009dec944: 7f2303d5  pacibsp	
0xfffffff009dec948: ff8300d1  sub	sp, sp, #0x20
0xfffffff009dec94c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009dec950: fd430091  add	x29, sp, #0x10
0xfffffff009dec954: 084480d2  mov	x8, #0x220
0xfffffff009dec958: 080ce0f2  movk	x8, #0x60, lsl #48
0xfffffff009dec95c: e80700f9  str	x8, [sp, #8]
0xfffffff009dec960: 100040f9  ldr	x16, [x0]
0xfffffff009dec964: f10300aa  mov	x17, x0
0xfffffff009dec968: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009dec96c: 301ac1da  autda	x16, x17
0xfffffff009dec970: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff009dec974: e90310aa  mov	x9, x16
0xfffffff009dec978: e1230091  add	x1, sp, #8
0xfffffff009dec97c: 020080d2  mov	x2, #0
0xfffffff009dec980: 23008052  mov	w3, #1
0xfffffff009dec984: f10309aa  mov	x17, x9
0xfffffff009dec988: 1161f5f2  movk	x17, #0xab08, lsl #48
0xfffffff009dec98c: 11093fd7  blraa	x8, x17
0xfffffff009dec990: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009dec994: ff830091  add	sp, sp, #0x20
0xfffffff009dec998: ff0f5fd6  retab	
0xfffffff009dec99c: 5f2403d5  bti	c
0xfffffff009dec9a0: 55df9317  b	#0xfffffff0082e46f4
0xfffffff009dec9a4: 7f2303d5  pacibsp	
0xfffffff009dec9a8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009dec9ac: fd030091  mov	x29, sp
0xfffffff009dec9b0: 802e00d0  adrp	x0, #0xfffffff00a3be000
0xfffffff009dec9b4: 00603591  add	x0, x0, #0xd58
0xfffffff009dec9b8: a1c5fe90  adrp	x1, #0xfffffff0076a0000
0xfffffff009dec9bc: 21d02d91  add	x1, x1, #0xb74
0xfffffff009dec9c0: 822e00d0  adrp	x2, #0xfffffff00a3be000
0xfffffff009dec9c4: 42e03091  add	x2, x2, #0xc38
0xfffffff009dec9c8: 03238052  mov	w3, #0x118
0xfffffff009dec9cc: 5bdc9397  bl	#0xfffffff0082e3b38
0xfffffff009dec9d0: d0f9feb0  adrp	x16, #0xfffffff007d25000
0xfffffff009dec9d4: 10020191  add	x16, x16, #0x40
0xfffffff009dec9d8: 10420091  add	x16, x16, #0x10
0xfffffff009dec9dc: f10300aa  mov	x17, x0
0xfffffff009dec9e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009dec9e4: 300ac1da  pacda	x16, x17
0xfffffff009dec9e8: 100000f9  str	x16, [x0]
0xfffffff009dec9ec: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009dec9f0: ff0f5fd6  retab	
0xfffffff009dec9f4: 5f2403d5  bti	c
0xfffffff009dec9f8: 802e00d0  adrp	x0, #0xfffffff00a3be000
0xfffffff009dec9fc: 00603591  add	x0, x0, #0xd58
0xfffffff009deca00: 3ddf9317  b	#0xfffffff0082e46f4
0xfffffff009deca04: e00300f9  str	x0, [sp]
0xfffffff009deca08: e00308aa  mov	x0, x8
0xfffffff009deca0c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009deca10: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009deca18
0xfffffff009deca14: 208e38d4  brk	#0xc471
0xfffffff009deca18: bd9e9a17  b	#0xfffffff00849450c
0xfffffff009deca1c: 7f2303d5  pacibsp	
0xfffffff009deca20: ff8301d1  sub	sp, sp, #0x60
0xfffffff009deca24: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff009deca28: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff009deca2c: f65703a9  stp	x22, x21, [sp, #0x30]
