; Candidate 5064
; ADRP+ADD at VM 0xfffffff0087d5aa0 (fileoff 0x17d1aa0): page=0x1fea14000 add_imm=0xe80

0xfffffff0087d5a20: f40300aa  mov	x20, x0
0xfffffff0087d5a24: e0008052  mov	w0, #7
0xfffffff0087d5a28: 8a970294  bl	#0xfffffff00887b850
0xfffffff0087d5a2c: 680640f9  ldr	x8, [x19, #8]
0xfffffff0087d5a30: 690240b9  ldr	w9, [x19]
0xfffffff0087d5a34: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d5a38: 68088052  mov	w8, #0x43
0xfffffff0087d5a3c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d5a40: f40300f9  str	x20, [sp]
0xfffffff0087d5a44: a050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d5a48: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d5a4c: 8191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d5a50: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d5a54: 2353ffd0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d5a58: 639c1b91  add	x3, x3, #0x6e7
0xfffffff0087d5a5c: 02008052  mov	w2, #0
0xfffffff0087d5a60: b475ed97  bl	#0xfffffff008333130
0xfffffff0087d5a64: 00008052  mov	w0, #0
0xfffffff0087d5a68: 17000014  b	#0xfffffff0087d5ac4
0xfffffff0087d5a6c: d0790394  bl	#0xfffffff0088b41ac
0xfffffff0087d5a70: f30300aa  mov	x19, x0
0xfffffff0087d5a74: 80008052  mov	w0, #4
0xfffffff0087d5a78: 76970294  bl	#0xfffffff00887b850
0xfffffff0087d5a7c: e851ff90  adrp	x8, #0xfffffff007211000
0xfffffff0087d5a80: 08e92f91  add	x8, x8, #0xbfa
0xfffffff0087d5a84: c9038052  mov	w9, #0x1e
0xfffffff0087d5a88: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087d5a8c: e851ff90  adrp	x8, #0xfffffff007211000
0xfffffff0087d5a90: 08892c91  add	x8, x8, #0xb22
0xfffffff0087d5a94: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d5a98: 68008052  mov	w8, #3
0xfffffff0087d5a9c: f32300a9  stp	x19, x8, [sp]
0xfffffff0087d5aa0: a050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d5aa4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d5aa8: 8191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d5aac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d5ab0: 2353ffd0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d5ab4: 63dc1a91  add	x3, x3, #0x6b7
0xfffffff0087d5ab8: 02008052  mov	w2, #0
0xfffffff0087d5abc: 9d75ed97  bl	#0xfffffff008333130
0xfffffff0087d5ac0: e07c8012  mov	w0, #-0x3e8
0xfffffff0087d5ac4: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0087d5ac8: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0087d5acc: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0087d5ad0: ffc30191  add	sp, sp, #0x70
0xfffffff0087d5ad4: ff0f5fd6  retab	
0xfffffff0087d5ad8: 7f2303d5  pacibsp	
0xfffffff0087d5adc: ff4302d1  sub	sp, sp, #0x90
0xfffffff0087d5ae0: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff0087d5ae4: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0087d5ae8: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0087d5aec: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0087d5af0: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff0087d5af4: fd030291  add	x29, sp, #0x80
0xfffffff0087d5af8: e00400b4  cbz	x0, #0xfffffff0087d5b94
0xfffffff0087d5afc: f50300aa  mov	x21, x0
0xfffffff0087d5b00: 180440f9  ldr	x24, [x0, #8]
0xfffffff0087d5b04: 980700b4  cbz	x24, #0xfffffff0087d5bf4
0xfffffff0087d5b08: f40301aa  mov	x20, x1
0xfffffff0087d5b0c: a80240b9  ldr	w8, [x21]
0xfffffff0087d5b10: 2908c81a  udiv	w9, w1, w8
0xfffffff0087d5b14: 3985081b  msub	w25, w9, w8, w1
0xfffffff0087d5b18: 08c68052  mov	w8, #0x630
0xfffffff0087d5b1c: 2800a072  movk	w8, #1, lsl #16
