; Candidate 10927
; ADRP+ADD at VM 0xfffffff008ded238 (fileoff 0x1de9238): page=0x1fe5d7000 add_imm=0xe15

0xfffffff008ded1b8: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008ded1bc: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008ded1c0: ff430191  add	sp, sp, #0x50
0xfffffff008ded1c4: ff0f5fd6  retab	
0xfffffff008ded1c8: 88418152  mov	w8, #0xa0c
0xfffffff008ded1cc: a92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008ded1d0: 29e92e91  add	x9, x9, #0xbba
0xfffffff008ded1d4: e81300f9  str	x8, [sp, #0x20]
0xfffffff008ded1d8: a82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ded1dc: 08493991  add	x8, x8, #0xe52
0xfffffff008ded1e0: aa2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008ded1e4: 4a393391  add	x10, x10, #0xcce
0xfffffff008ded1e8: 12000014  b	#0xfffffff008ded230
0xfffffff008ded1ec: a8418152  mov	w8, #0xa0d
0xfffffff008ded1f0: a92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008ded1f4: 29e92e91  add	x9, x9, #0xbba
0xfffffff008ded1f8: e81300f9  str	x8, [sp, #0x20]
0xfffffff008ded1fc: a82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ded200: 08493991  add	x8, x8, #0xe52
0xfffffff008ded204: aa2effd0  adrp	x10, #0xfffffff0073c3000
0xfffffff008ded208: 4a452291  add	x10, x10, #0x891
0xfffffff008ded20c: 09000014  b	#0xfffffff008ded230
0xfffffff008ded210: 08428152  mov	w8, #0xa10
0xfffffff008ded214: a92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008ded218: 29e92e91  add	x9, x9, #0xbba
0xfffffff008ded21c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008ded220: a82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ded224: 08493991  add	x8, x8, #0xe52
0xfffffff008ded228: aa2effd0  adrp	x10, #0xfffffff0073c3000
0xfffffff008ded22c: 4a311991  add	x10, x10, #0x64c
0xfffffff008ded230: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008ded234: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008ded238: a02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ded23c: 00543891  add	x0, x0, #0xe15
0xfffffff008ded240: 78a7d597  bl	#0xfffffff008357020
0xfffffff008ded244: 53008012  mov	w19, #-3
0xfffffff008ded248: dbffff17  b	#0xfffffff008ded1b4
0xfffffff008ded24c: 687e4093  sxtw	x8, w19
0xfffffff008ded250: 09438152  mov	w9, #0xa18
0xfffffff008ded254: aa2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008ded258: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008ded25c: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008ded260: a92efff0  adrp	x9, #0xfffffff0073c4000
0xfffffff008ded264: 29493991  add	x9, x9, #0xe52
0xfffffff008ded268: ab2efff0  adrp	x11, #0xfffffff0073c4000
0xfffffff008ded26c: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008ded270: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008ded274: eb0300f9  str	x11, [sp]
0xfffffff008ded278: a02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ded27c: 00543891  add	x0, x0, #0xe15
0xfffffff008ded280: 68a7d597  bl	#0xfffffff008357020
0xfffffff008ded284: ccffff17  b	#0xfffffff008ded1b4
0xfffffff008ded288: 7f2303d5  pacibsp	
0xfffffff008ded28c: ff0301d1  sub	sp, sp, #0x40
0xfffffff008ded290: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008ded294: fdc30091  add	x29, sp, #0x30
0xfffffff008ded298: 010100b4  cbz	x1, #0xfffffff008ded2b8
0xfffffff008ded29c: e80300aa  mov	x8, x0
0xfffffff008ded2a0: 00008052  mov	w0, #0
0xfffffff008ded2a4: 08050091  add	x8, x8, #1
0xfffffff008ded2a8: 280000f9  str	x8, [x1]
0xfffffff008ded2ac: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008ded2b0: ff030191  add	sp, sp, #0x40
0xfffffff008ded2b4: ff0f5fd6  retab	
