; Candidate 3653
; ADRP+ADD at VM 0xfffffff00874b95c (fileoff 0x174795c): page=0x1fe9e6000 add_imm=0xd90

0xfffffff00874b8dc: 88010034  cbz	w8, #0xfffffff00874b90c
0xfffffff00874b8e0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00874b8e4: 28028052  mov	w8, #0x11
0xfffffff00874b8e8: fc2300a9  stp	x28, x8, [sp]
0xfffffff00874b8ec: 204fffd0  adrp	x0, #0xfffffff007131000
0xfffffff00874b8f0: 00403691  add	x0, x0, #0xd90
0xfffffff00874b8f4: 8195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00874b8f8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874b8fc: a34fffb0  adrp	x3, #0xfffffff007140000
0xfffffff00874b900: 63dc0191  add	x3, x3, #0x77
0xfffffff00874b904: 02008052  mov	w2, #0
0xfffffff00874b908: 0a9eef97  bl	#0xfffffff008333130
0xfffffff00874b90c: 9f2403d5  bti	j
0xfffffff00874b910: bb000036  tbz	w27, #0, #0xfffffff00874b924
0xfffffff00874b914: 07000014  b	#0xfffffff00874b930
0xfffffff00874b918: 81024039  ldrb	w1, [x20]
0xfffffff00874b91c: e00313aa  mov	x0, x19
0xfffffff00874b920: 67feff97  bl	#0xfffffff00874b2bc
0xfffffff00874b924: 68ca4cb9  ldr	w8, [x19, #0xcc8]
0xfffffff00874b928: 1f410071  cmp	w8, #0x10
0xfffffff00874b92c: 03040054  b.lo	#0xfffffff00874b9ac
0xfffffff00874b930: 811240b9  ldr	w1, [x20, #0x10]
0xfffffff00874b934: e00313aa  mov	x0, x19
0xfffffff00874b938: 0efdff97  bl	#0xfffffff00874ad70
0xfffffff00874b93c: 1f040031  cmn	w0, #1
0xfffffff00874b940: 00020054  b.eq	#0xfffffff00874b980
0xfffffff00874b944: 08188052  mov	w8, #0xc0
0xfffffff00874b948: 084c289b  smaddl	x8, w0, w8, x19
0xfffffff00874b94c: 1f210039  strb	wzr, [x8, #8]
0xfffffff00874b950: 68ca4cb9  ldr	w8, [x19, #0xcc8]
0xfffffff00874b954: 08050051  sub	w8, w8, #1
0xfffffff00874b958: 68ca0cb9  str	w8, [x19, #0xcc8]
0xfffffff00874b95c: 204fffd0  adrp	x0, #0xfffffff007131000
0xfffffff00874b960: 00403691  add	x0, x0, #0xd90
0xfffffff00874b964: 8195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00874b968: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874b96c: a34fffb0  adrp	x3, #0xfffffff007140000
0xfffffff00874b970: 63540391  add	x3, x3, #0xd5
0xfffffff00874b974: 02008052  mov	w2, #0
0xfffffff00874b978: ee9def97  bl	#0xfffffff008333130
0xfffffff00874b97c: 0c000014  b	#0xfffffff00874b9ac
0xfffffff00874b980: 81024039  ldrb	w1, [x20]
0xfffffff00874b984: e00313aa  mov	x0, x19
0xfffffff00874b988: 4dfeff97  bl	#0xfffffff00874b2bc
0xfffffff00874b98c: 204fffd0  adrp	x0, #0xfffffff007131000
0xfffffff00874b990: 00403691  add	x0, x0, #0xd90
0xfffffff00874b994: 8195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00874b998: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874b99c: a34fffb0  adrp	x3, #0xfffffff007140000
0xfffffff00874b9a0: 63d80491  add	x3, x3, #0x136
0xfffffff00874b9a4: 02008052  mov	w2, #0
0xfffffff00874b9a8: e29def97  bl	#0xfffffff008333130
0xfffffff00874b9ac: 688e55b9  ldr	w8, [x19, #0x158c]
0xfffffff00874b9b0: 1f150071  cmp	w8, #5
0xfffffff00874b9b4: 41010054  b.ne	#0xfffffff00874b9dc
0xfffffff00874b9b8: 7f8615b9  str	wzr, [x19, #0x1584]
0xfffffff00874b9bc: 880e40b9  ldr	w8, [x20, #0xc]
0xfffffff00874b9c0: 688a15b9  str	w8, [x19, #0x1588]
0xfffffff00874b9c4: 9f0600f9  str	xzr, [x20, #8]
0xfffffff00874b9c8: 7f9615b9  str	wzr, [x19, #0x1594]
0xfffffff00874b9cc: e00313aa  mov	x0, x19
0xfffffff00874b9d0: 21008052  mov	w1, #1
0xfffffff00874b9d4: 52feff97  bl	#0xfffffff00874b31c
0xfffffff00874b9d8: 06000014  b	#0xfffffff00874b9f0
