; Candidate 286
; ADRP+ADD at VM 0xfffffff007e9144c (fileoff 0xe8d44c): page=0x2366000 add_imm=0xe50

0xfffffff007e913cc: ff0f00f9  str	xzr, [sp, #0x18]
0xfffffff007e913d0: 280340f9  ldr	x8, [x25]
0xfffffff007e913d4: 000747f9  ldr	x0, [x24, #0xe08]
0xfffffff007e913d8: f10319aa  mov	x17, x25
0xfffffff007e913dc: f1abe9f2  movk	x17, #0x4d5f, lsl #48
0xfffffff007e913e0: 11093fd7  blraa	x8, x17
0xfffffff007e913e4: e80319aa  mov	x8, x25
0xfffffff007e913e8: 098d40f8  ldr	x9, [x8, #8]!
0xfffffff007e913ec: 000747f9  ldr	x0, [x24, #0xe08]
0xfffffff007e913f0: 6aa240f9  ldr	x10, [x19, #0x140]
0xfffffff007e913f4: 4101c079  ldrsh	w1, [x10]
0xfffffff007e913f8: e3630091  add	x3, sp, #0x18
0xfffffff007e913fc: 02018052  mov	w2, #8
0xfffffff007e91400: f10308aa  mov	x17, x8
0xfffffff007e91404: 71bdfdf2  movk	x17, #0xedeb, lsl #48
0xfffffff007e91408: 31093fd7  blraa	x9, x17
0xfffffff007e9140c: e80f40f9  ldr	x8, [sp, #0x18]
0xfffffff007e91410: 08feffb4  cbz	x8, #0xfffffff007e913d0
0xfffffff007e91414: e80e00f9  str	x8, [x23, #0x18]
0xfffffff007e91418: b2ffff17  b	#0xfffffff007e912e0
0xfffffff007e9141c: a85a9fd2  mov	x8, #0xfad5
0xfffffff007e91420: a8ddbff2  movk	x8, #0xfeed, lsl #16
0xfffffff007e91424: c859dff2  movk	x8, #0xface, lsl #32
0xfffffff007e91428: a8ddfff2  movk	x8, #0xfeed, lsl #48
0xfffffff007e9142c: e80e00f9  str	x8, [x23, #0x18]
0xfffffff007e91430: acffff17  b	#0xfffffff007e912e0
0xfffffff007e91434: 201b01d0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e91438: 00403991  add	x0, x0, #0xe50
0xfffffff007e9143c: e10313aa  mov	x1, x19
0xfffffff007e91440: 02008052  mov	w2, #0
0xfffffff007e91444: ad69fc97  bl	#0xfffffff007dabaf8
0xfffffff007e91448: abffff17  b	#0xfffffff007e912f4
0xfffffff007e9144c: 201b01d0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e91450: 00403991  add	x0, x0, #0xe50
0xfffffff007e91454: e10313aa  mov	x1, x19
0xfffffff007e91458: c36cfc97  bl	#0xfffffff007dac764
0xfffffff007e9145c: b6ffff17  b	#0xfffffff007e91334
0xfffffff007e91460: 60830091  add	x0, x27, #0x20
0xfffffff007e91464: 28008052  mov	w8, #1
0xfffffff007e91468: 080028b8  ldadd	w8, w8, [x0]
0xfffffff007e9146c: e9130432  mov	w9, #-0xfffffff
0xfffffff007e91470: 0801090b  add	w8, w8, w9
0xfffffff007e91474: f60317aa  mov	x22, x23
0xfffffff007e91478: 1f01096b  cmp	w8, w9
0xfffffff007e9147c: a9070054  b.ls	#0xfffffff007e91570
0xfffffff007e91480: b5000034  cbz	w21, #0xfffffff007e91494
0xfffffff007e91484: 680f40f9  ldr	x8, [x27, #0x18]
0xfffffff007e91488: e90b40f9  ldr	x9, [sp, #0x10]
0xfffffff007e9148c: 1f0109eb  cmp	x8, x9
0xfffffff007e91490: 21070054  b.ne	#0xfffffff007e91574
0xfffffff007e91494: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff007e91498: e20308aa  mov	x2, x8
0xfffffff007e9149c: 9fffa288  casl	w2, wzr, [x28]
0xfffffff007e914a0: 5f00086b  cmp	w2, w8
0xfffffff007e914a4: c1040054  b.ne	#0xfffffff007e9153c
0xfffffff007e914a8: 560500b4  cbz	x22, #0xfffffff007e91550
0xfffffff007e914ac: c00a40f9  ldr	x0, [x22, #0x10]
0xfffffff007e914b0: 5430fb97  bl	#0xfffffff007d5d600
0xfffffff007e914b4: 02040091  add	x2, x0, #1
0xfffffff007e914b8: c10a40f9  ldr	x1, [x22, #0x10]
0xfffffff007e914bc: df0a00f9  str	xzr, [x22, #0x10]
0xfffffff007e914c0: e0d6ffd0  adrp	x0, #0xfffffff00796f000
0xfffffff007e914c4: 00201a91  add	x0, x0, #0x688
0xfffffff007e914c8: 6955fc97  bl	#0xfffffff007da6a6c
