; Candidate 16223
; ADRP+ADD at VM 0xfffffff009e325a0 (fileoff 0x2e2e5a0): page=0x5a1000 add_imm=0xe30

0xfffffff009e32520: 81020054  b.ne	#0xfffffff009e32570
0xfffffff009e32524: 213d1012  and	w1, w9, #0xffff0000
0xfffffff009e32528: e9830091  add	x9, sp, #0x20
0xfffffff009e3252c: ffa700a9  stp	xzr, x9, [sp, #8]
0xfffffff009e32530: e80300f9  str	x8, [sp]
0xfffffff009e32534: b00500d0  adrp	x16, #0xfffffff009ee8000
0xfffffff009e32538: 10221291  add	x16, x16, #0x488
0xfffffff009e3253c: 51d09fd2  mov	x17, #0xfe82
0xfffffff009e32540: 3002c1da  pacia	x16, x17
0xfffffff009e32544: e70310aa  mov	x7, x16
0xfffffff009e32548: e00316aa  mov	x0, x22
0xfffffff009e3254c: 42088052  mov	w2, #0x42
0xfffffff009e32550: 83048052  mov	w3, #0x24
0xfffffff009e32554: 05008052  mov	w5, #0
0xfffffff009e32558: 06008052  mov	w6, #0
0xfffffff009e3255c: 6ace0394  bl	#0xfffffff009f25f04
0xfffffff009e32560: f51340f9  ldr	x21, [sp, #0x20]
0xfffffff009e32564: e0040034  cbz	w0, #0xfffffff009e32600
0xfffffff009e32568: f40300aa  mov	x20, x0
0xfffffff009e3256c: 03000014  b	#0xfffffff009e32578
0xfffffff009e32570: 150080d2  mov	x21, #0
0xfffffff009e32574: d4028052  mov	w20, #0x16
0xfffffff009e32578: 13e49352  mov	w19, #0x9f20
0xfffffff009e3257c: f301a072  movk	w19, #0xf, lsl #16
0xfffffff009e32580: 88cffe90  adrp	x8, #0xfffffff007822000
0xfffffff009e32584: 089d2091  add	x8, x8, #0x827
0xfffffff009e32588: c99e8052  mov	w9, #0x4f6
0xfffffff009e3258c: e9d300a9  stp	x9, x20, [sp, #8]
0xfffffff009e32590: e80300f9  str	x8, [sp]
0xfffffff009e32594: 80cffe90  adrp	x0, #0xfffffff007822000
0xfffffff009e32598: 00d01f91  add	x0, x0, #0x7f4
0xfffffff009e3259c: ca340194  bl	#0xfffffff009e7f8c4
0xfffffff009e325a0: 002d00b0  adrp	x0, #0xfffffff00a3d3000
0xfffffff009e325a4: 00c03891  add	x0, x0, #0xe30
0xfffffff009e325a8: 01e49352  mov	w1, #0x9f20
0xfffffff009e325ac: e101a072  movk	w1, #0xf, lsl #16
0xfffffff009e325b0: e20314aa  mov	x2, x20
0xfffffff009e325b4: 5fffff97  bl	#0xfffffff009e32330
0xfffffff009e325b8: 750000b4  cbz	x21, #0xfffffff009e325c4
0xfffffff009e325bc: e00315aa  mov	x0, x21
0xfffffff009e325c0: a0120494  bl	#0xfffffff009f37040
0xfffffff009e325c4: e80314aa  mov	x8, x20
0xfffffff009e325c8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e325cc: 88cffe90  adrp	x8, #0xfffffff007822000
0xfffffff009e325d0: 08f12e91  add	x8, x8, #0xbbc
0xfffffff009e325d4: 092f8052  mov	w9, #0x178
0xfffffff009e325d8: e82700a9  stp	x8, x9, [sp]
0xfffffff009e325dc: 80cffe90  adrp	x0, #0xfffffff007822000
0xfffffff009e325e0: 00302e91  add	x0, x0, #0xb8c
0xfffffff009e325e4: b8340194  bl	#0xfffffff009e7f8c4
0xfffffff009e325e8: 613a0011  add	w1, w19, #0xe
0xfffffff009e325ec: 002d00b0  adrp	x0, #0xfffffff00a3d3000
0xfffffff009e325f0: 00c03891  add	x0, x0, #0xe30
0xfffffff009e325f4: e20314aa  mov	x2, x20
0xfffffff009e325f8: 4effff97  bl	#0xfffffff009e32330
0xfffffff009e325fc: 5b000014  b	#0xfffffff009e32768
0xfffffff009e32600: a83a40f9  ldr	x8, [x21, #0x70]
0xfffffff009e32604: c96240f9  ldr	x9, [x22, #0xc0]
0xfffffff009e32608: 282502f9  str	x8, [x9, #0x448]
0xfffffff009e3260c: d55e10f9  str	x21, [x22, #0x20b8]
0xfffffff009e32610: e00315aa  mov	x0, x21
0xfffffff009e32614: 01008052  mov	w1, #0
0xfffffff009e32618: d51c0494  bl	#0xfffffff009f3996c
0xfffffff009e3261c: c86240f9  ldr	x8, [x22, #0xc0]
