; Candidate 13563
; ADRP+ADD at VM 0xfffffff00938a594 (fileoff 0x2386594): page=0x1fe173000 add_imm=0xe60

0xfffffff00938a514: d932881a  csel	w25, w22, w8, lo
0xfffffff00938a518: ffff03a9  stp	xzr, xzr, [sp, #0x38]
0xfffffff00938a51c: ff2700f9  str	xzr, [sp, #0x48]
0xfffffff00938a520: 68064639  ldrb	w8, [x19, #0x181]
0xfffffff00938a524: e8033836  tbz	w8, #7, #0xfffffff00938a5a0
0xfffffff00938a528: ff1b00f9  str	xzr, [sp, #0x30]
0xfffffff00938a52c: ff2f00b9  str	wzr, [sp, #0x2c]
0xfffffff00938a530: e0c30091  add	x0, sp, #0x30
0xfffffff00938a534: e1b30091  add	x1, sp, #0x2c
0xfffffff00938a538: 7327ad97  bl	#0xfffffff007ed4304
0xfffffff00938a53c: f61b40f9  ldr	x22, [sp, #0x30]
0xfffffff00938a540: 700240f9  ldr	x16, [x19]
0xfffffff00938a544: f10313aa  mov	x17, x19
0xfffffff00938a548: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00938a54c: 301ac1da  autda	x16, x17
0xfffffff00938a550: f10310aa  mov	x17, x16
0xfffffff00938a554: f147c1da  xpacd	x17
0xfffffff00938a558: 1f0211eb  cmp	x16, x17
0xfffffff00938a55c: 40000054  b.eq	#0xfffffff00938a564
0xfffffff00938a560: 408e38d4  brk	#0xc472
0xfffffff00938a564: 08a20791  add	x8, x16, #0x1e8
0xfffffff00938a568: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff00938a56c: f72f40b9  ldr	w23, [sp, #0x2c]
0xfffffff00938a570: e00313aa  mov	x0, x19
0xfffffff00938a574: 010080d2  mov	x1, #0
0xfffffff00938a578: f10308aa  mov	x17, x8
0xfffffff00938a57c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00938a580: 31093fd7  blraa	x9, x17
0xfffffff00938a584: a80bff90  adrp	x8, #0xfffffff0074fe000
0xfffffff00938a588: 08211191  add	x8, x8, #0x448
0xfffffff00938a58c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00938a590: f65f00a9  stp	x22, x23, [sp]
0xfffffff00938a594: 800bfff0  adrp	x0, #0xfffffff0074fd000
0xfffffff00938a598: 00803991  add	x0, x0, #0xe60
0xfffffff00938a59c: a132bf97  bl	#0xfffffff008357020
0xfffffff00938a5a0: f65a8052  mov	w22, #0x2d7
0xfffffff00938a5a4: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff00938a5a8: e00313aa  mov	x0, x19
0xfffffff00938a5ac: aae9bf97  bl	#0xfffffff008384c54
0xfffffff00938a5b0: 60210037  tbnz	w0, #0, #0xfffffff00938a9dc
0xfffffff00938a5b4: 686a41b9  ldr	w8, [x19, #0x168]
0xfffffff00938a5b8: 69008052  mov	w9, #3
0xfffffff00938a5bc: 3f01286a  bics	wzr, w9, w8
0xfffffff00938a5c0: e1200054  b.ne	#0xfffffff00938a9dc
0xfffffff00938a5c4: 687241b9  ldr	w8, [x19, #0x170]
0xfffffff00938a5c8: 1f1d0071  cmp	w8, #7
0xfffffff00938a5cc: 8c200054  b.gt	#0xfffffff00938a9dc
0xfffffff00938a5d0: ba02144b  sub	w26, w21, w20
0xfffffff00938a5d4: f0fffff0  adrp	x16, #0xfffffff009389000
0xfffffff00938a5d8: 10122f91  add	x16, x16, #0xbc4
0xfffffff00938a5dc: 91219dd2  mov	x17, #0xe90c
0xfffffff00938a5e0: 3002c1da  pacia	x16, x17
0xfffffff00938a5e4: f3c303a9  stp	x19, x16, [sp, #0x38]
0xfffffff00938a5e8: 28771e53  lsl	w8, w25, #2
0xfffffff00938a5ec: 08310011  add	w8, w8, #0xc
0xfffffff00938a5f0: e82b00b9  str	w8, [sp, #0x28]
0xfffffff00938a5f4: 08351e12  and	w8, w8, #0xfffc
0xfffffff00938a5f8: 17310011  add	w23, w8, #0xc
0xfffffff00938a5fc: f72700b9  str	w23, [sp, #0x24]
0xfffffff00938a600: 60b240f9  ldr	x0, [x19, #0x160]
0xfffffff00938a604: 100040f9  ldr	x16, [x0]
0xfffffff00938a608: f10300aa  mov	x17, x0
0xfffffff00938a60c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00938a610: 301ac1da  autda	x16, x17
