; Candidate 5477
; ADRP+ADD at VM 0xfffffff0087f2f28 (fileoff 0x17eef28): page=0x1fe9f7000 add_imm=0xe80

0xfffffff0087f2ea8: 5c220294  bl	#0xfffffff00887b818
0xfffffff0087f2eac: f90300aa  mov	x25, x0
0xfffffff0087f2eb0: bf040394  bl	#0xfffffff0088b41ac
0xfffffff0087f2eb4: f80300aa  mov	x24, x0
0xfffffff0087f2eb8: 00018052  mov	w0, #8
0xfffffff0087f2ebc: 65220294  bl	#0xfffffff00887b850
0xfffffff0087f2ec0: b9010034  cbz	w25, #0xfffffff0087f2ef4
0xfffffff0087f2ec4: f6df03a9  stp	x22, x23, [sp, #0x38]
0xfffffff0087f2ec8: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff0087f2ecc: 0851fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087f2ed0: 089d1991  add	x8, x8, #0x667
0xfffffff0087f2ed4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087f2ed8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087f2edc: e80e8052  mov	w8, #0x77
0xfffffff0087f2ee0: 0051fff0  adrp	x0, #0xfffffff007215000
0xfffffff0087f2ee4: 00101e91  add	x0, x0, #0x784
0xfffffff0087f2ee8: f82300a9  stp	x24, x8, [sp]
0xfffffff0087f2eec: 5d11d797  bl	#0xfffffff007db7460
0xfffffff0087f2ef0: 16000014  b	#0xfffffff0087f2f48
0xfffffff0087f2ef4: ae040394  bl	#0xfffffff0088b41ac
0xfffffff0087f2ef8: f80300aa  mov	x24, x0
0xfffffff0087f2efc: 00018052  mov	w0, #8
0xfffffff0087f2f00: 54220294  bl	#0xfffffff00887b850
0xfffffff0087f2f04: e80317aa  mov	x8, x23
0xfffffff0087f2f08: f6a303a9  stp	x22, x8, [sp, #0x38]
0xfffffff0087f2f0c: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff0087f2f10: 0851fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087f2f14: 089d1991  add	x8, x8, #0x667
0xfffffff0087f2f18: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087f2f1c: e80e8052  mov	w8, #0x77
0xfffffff0087f2f20: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f2f24: f80300f9  str	x24, [sp]
0xfffffff0087f2f28: a04ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f2f2c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f2f30: a190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f2f34: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f2f38: 6352ffd0  adrp	x3, #0xfffffff007240000
0xfffffff0087f2f3c: 630c0891  add	x3, x3, #0x203
0xfffffff0087f2f40: 02008052  mov	w2, #0
0xfffffff0087f2f44: 7b00ed97  bl	#0xfffffff008333130
0xfffffff0087f2f48: e00317aa  mov	x0, x23
0xfffffff0087f2f4c: fd7b51a9  ldp	x29, x30, [sp, #0x110]
0xfffffff0087f2f50: f44f50a9  ldp	x20, x19, [sp, #0x100]
0xfffffff0087f2f54: f6574fa9  ldp	x22, x21, [sp, #0xf0]
0xfffffff0087f2f58: f85f4ea9  ldp	x24, x23, [sp, #0xe0]
0xfffffff0087f2f5c: fa674da9  ldp	x26, x25, [sp, #0xd0]
0xfffffff0087f2f60: ff830491  add	sp, sp, #0x120
0xfffffff0087f2f64: ff0f5fd6  retab	
0xfffffff0087f2f68: 7f2303d5  pacibsp	
0xfffffff0087f2f6c: ff0303d1  sub	sp, sp, #0xc0
0xfffffff0087f2f70: fa6707a9  stp	x26, x25, [sp, #0x70]
0xfffffff0087f2f74: f85f08a9  stp	x24, x23, [sp, #0x80]
0xfffffff0087f2f78: f65709a9  stp	x22, x21, [sp, #0x90]
0xfffffff0087f2f7c: f44f0aa9  stp	x20, x19, [sp, #0xa0]
0xfffffff0087f2f80: fd7b0ba9  stp	x29, x30, [sp, #0xb0]
0xfffffff0087f2f84: fdc30291  add	x29, sp, #0xb0
0xfffffff0087f2f88: f60303aa  mov	x22, x3
0xfffffff0087f2f8c: f50302aa  mov	x21, x2
0xfffffff0087f2f90: f40301aa  mov	x20, x1
0xfffffff0087f2f94: f30300aa  mov	x19, x0
0xfffffff0087f2f98: e00e8052  mov	w0, #0x77
0xfffffff0087f2f9c: 01018052  mov	w1, #8
0xfffffff0087f2fa0: 0c220294  bl	#0xfffffff00887b7d0
0xfffffff0087f2fa4: 60020034  cbz	w0, #0xfffffff0087f2ff0
