; Candidate 8168
; ADRP+ADD at VM 0xfffffff0088992c8 (fileoff 0x18952c8): page=0x1fe950000 add_imm=0xe80

0xfffffff008899248: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00889924c: a84cffd0  adrp	x8, #0xfffffff00722f000
0xfffffff008899250: 085d3a91  add	x8, x8, #0xe97
0xfffffff008899254: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008899258: 880e8052  mov	w8, #0x74
0xfffffff00889925c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008899260: f60300f9  str	x22, [sp]
0xfffffff008899264: 804aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008899268: 00003a91  add	x0, x0, #0xe80
0xfffffff00889926c: 618bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008899270: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008899274: 234effd0  adrp	x3, #0xfffffff00725f000
0xfffffff008899278: 63b83e91  add	x3, x3, #0xfae
0xfffffff00889927c: 02008052  mov	w2, #0
0xfffffff008899280: ac67ea97  bl	#0xfffffff008333130
0xfffffff008899284: 19000014  b	#0xfffffff0088992e8
0xfffffff008899288: c96b0094  bl	#0xfffffff0088b41ac
0xfffffff00889928c: f50300aa  mov	x21, x0
0xfffffff008899290: 80008052  mov	w0, #4
0xfffffff008899294: 6f89ff97  bl	#0xfffffff00887b850
0xfffffff008899298: 686a78b8  ldr	w8, [x19, x24]
0xfffffff00889929c: e85304a9  stp	x8, x20, [sp, #0x40]
0xfffffff0088992a0: f35f03a9  stp	x19, x23, [sp, #0x30]
0xfffffff0088992a4: a84cffd0  adrp	x8, #0xfffffff00722f000
0xfffffff0088992a8: 08453c91  add	x8, x8, #0xf11
0xfffffff0088992ac: 691e8052  mov	w9, #0xf3
0xfffffff0088992b0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088992b4: a84cffd0  adrp	x8, #0xfffffff00722f000
0xfffffff0088992b8: 085d3a91  add	x8, x8, #0xe97
0xfffffff0088992bc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088992c0: 880e8052  mov	w8, #0x74
0xfffffff0088992c4: f52300a9  stp	x21, x8, [sp]
0xfffffff0088992c8: 804aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088992cc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088992d0: 618bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088992d4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088992d8: 234effd0  adrp	x3, #0xfffffff00725f000
0xfffffff0088992dc: 638c3f91  add	x3, x3, #0xfe3
0xfffffff0088992e0: 02008052  mov	w2, #0
0xfffffff0088992e4: 9367ea97  bl	#0xfffffff008333130
0xfffffff0088992e8: 007d8012  mov	w0, #-0x3e9
0xfffffff0088992ec: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0088992f0: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0088992f4: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0088992f8: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0088992fc: ff430291  add	sp, sp, #0x90
0xfffffff008899300: ff0f5fd6  retab	
0xfffffff008899304: 7f2303d5  pacibsp	
0xfffffff008899308: ffc301d1  sub	sp, sp, #0x70
0xfffffff00889930c: fc6f01a9  stp	x28, x27, [sp, #0x10]
0xfffffff008899310: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff008899314: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff008899318: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff00889931c: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008899320: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008899324: fd830191  add	x29, sp, #0x60
0xfffffff008899328: f30302aa  mov	x19, x2
0xfffffff00889932c: f40301aa  mov	x20, x1
0xfffffff008899330: f50300aa  mov	x21, x0
0xfffffff008899334: 080040b9  ldr	w8, [x0]
0xfffffff008899338: a94cffd0  adrp	x9, #0xfffffff00722f000
0xfffffff00889933c: 29d93c91  add	x9, x9, #0xf36
0xfffffff008899340: aa4bfff0  adrp	x10, #0xfffffff007210000
0xfffffff008899344: 4a5d3391  add	x10, x10, #0xcd7
