; Candidate 14156
; ADRP+ADD at VM 0xfffffff00972d884 (fileoff 0x2729884): page=0x1fde68000 add_imm=0xe66

0xfffffff00972d804: 010140f9  ldr	x1, [x8]
0xfffffff00972d808: e00314aa  mov	x0, x20
0xfffffff00972d80c: 3ad9ae97  bl	#0xfffffff0082e3cf4
0xfffffff00972d810: 604600f9  str	x0, [x19, #0x88]
0xfffffff00972d814: 802600b4  cbz	x0, #0xfffffff00972dce4
0xfffffff00972d818: 104cfe97  bl	#0xfffffff0096c0858
0xfffffff00972d81c: 604a00f9  str	x0, [x19, #0x90]
0xfffffff00972d820: 202600b4  cbz	x0, #0xfffffff00972dce4
0xfffffff00972d824: 4827ffb0  adrp	x8, #0xfffffff007c16000
0xfffffff00972d828: 08b142f9  ldr	x8, [x8, #0x560]
0xfffffff00972d82c: 09010b91  add	x9, x8, #0x2c0
0xfffffff00972d830: 086141f9  ldr	x8, [x8, #0x2c0]
0xfffffff00972d834: e00313aa  mov	x0, x19
0xfffffff00972d838: e10314aa  mov	x1, x20
0xfffffff00972d83c: f10309aa  mov	x17, x9
0xfffffff00972d840: 118de7f2  movk	x17, #0x3c68, lsl #48
0xfffffff00972d844: 11093fd7  blraa	x8, x17
0xfffffff00972d848: e0240034  cbz	w0, #0xfffffff00972dce4
0xfffffff00972d84c: 604640f9  ldr	x0, [x19, #0x88]
0xfffffff00972d850: 100040f9  ldr	x16, [x0]
0xfffffff00972d854: f10300aa  mov	x17, x0
0xfffffff00972d858: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00972d85c: 301ac1da  autda	x16, x17
0xfffffff00972d860: 113d80d2  mov	x17, #0x1e8
0xfffffff00972d864: 1002118b  add	x16, x16, x17
0xfffffff00972d868: 080240f9  ldr	x8, [x16]
0xfffffff00972d86c: e90310aa  mov	x9, x16
0xfffffff00972d870: 010080d2  mov	x1, #0
0xfffffff00972d874: f10309aa  mov	x17, x9
0xfffffff00972d878: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00972d87c: 11093fd7  blraa	x8, x17
0xfffffff00972d880: e00300f9  str	x0, [sp]
0xfffffff00972d884: 40f3fe90  adrp	x0, #0xfffffff007595000
0xfffffff00972d888: 00983991  add	x0, x0, #0xe66
0xfffffff00972d88c: e5a5b097  bl	#0xfffffff008357020
0xfffffff00972d890: 10000090  adrp	x16, #0xfffffff00972d000
0xfffffff00972d894: 10b23391  add	x16, x16, #0xcec
0xfffffff00972d898: 311c95d2  mov	x17, #0xa8e1
0xfffffff00972d89c: 3002c1da  pacia	x16, x17
0xfffffff00972d8a0: 704e00f9  str	x16, [x19, #0x98]
0xfffffff00972d8a4: 700240f9  ldr	x16, [x19]
0xfffffff00972d8a8: f10313aa  mov	x17, x19
0xfffffff00972d8ac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00972d8b0: 301ac1da  autda	x16, x17
0xfffffff00972d8b4: f10310aa  mov	x17, x16
0xfffffff00972d8b8: f147c1da  xpacd	x17
0xfffffff00972d8bc: 1f0211eb  cmp	x16, x17
0xfffffff00972d8c0: 40000054  b.eq	#0xfffffff00972d8c8
0xfffffff00972d8c4: 408e38d4  brk	#0xc472
0xfffffff00972d8c8: 08e20d91  add	x8, x16, #0x378
0xfffffff00972d8cc: 09be41f9  ldr	x9, [x16, #0x378]
0xfffffff00972d8d0: e00313aa  mov	x0, x19
0xfffffff00972d8d4: f10308aa  mov	x17, x8
0xfffffff00972d8d8: d171ecf2  movk	x17, #0x638e, lsl #48
0xfffffff00972d8dc: 31093fd7  blraa	x9, x17
0xfffffff00972d8e0: 801e00b4  cbz	x0, #0xfffffff00972dcb0
0xfffffff00972d8e4: f50300aa  mov	x21, x0
0xfffffff00972d8e8: e00313aa  mov	x0, x19
0xfffffff00972d8ec: 010080d2  mov	x1, #0
0xfffffff00972d8f0: aa29b297  bl	#0xfffffff0083b7f98
0xfffffff00972d8f4: 605600f9  str	x0, [x19, #0xa8]
0xfffffff00972d8f8: c01d00b4  cbz	x0, #0xfffffff00972dcb0
0xfffffff00972d8fc: e10300aa  mov	x1, x0
0xfffffff00972d900: b00240f9  ldr	x16, [x21]
