; Candidate 14221
; ADRP+ADD at VM 0xfffffff00975129c (fileoff 0x274d29c): page=0xc3a000 add_imm=0xd58

0xfffffff00975121c: 10e22a91  add	x16, x16, #0xab8
0xfffffff009751220: 10420091  add	x16, x16, #0x10
0xfffffff009751224: f10300aa  mov	x17, x0
0xfffffff009751228: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975122c: 300ac1da  pacda	x16, x17
0xfffffff009751230: 100000f9  str	x16, [x0]
0xfffffff009751234: c06100d0  adrp	x0, #0xfffffff00a38b000
0xfffffff009751238: 00003691  add	x0, x0, #0xd80
0xfffffff00975123c: 21f2fed0  adrp	x1, #0xfffffff007597000
0xfffffff009751240: 215c3291  add	x1, x1, #0xc97
0xfffffff009751244: 2226ffb0  adrp	x2, #0xfffffff007c16000
0xfffffff009751248: 423842f9  ldr	x2, [x2, #0x470]
0xfffffff00975124c: 031d8052  mov	w3, #0xe8
0xfffffff009751250: 3a4aae97  bl	#0xfffffff0082e3b38
0xfffffff009751254: 3027ff90  adrp	x16, #0xfffffff007c35000
0xfffffff009751258: 10020791  add	x16, x16, #0x1c0
0xfffffff00975125c: 10420091  add	x16, x16, #0x10
0xfffffff009751260: f10300aa  mov	x17, x0
0xfffffff009751264: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009751268: 300ac1da  pacda	x16, x17
0xfffffff00975126c: 100000f9  str	x16, [x0]
0xfffffff009751270: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009751274: ff0f5fd6  retab	
0xfffffff009751278: 7f2303d5  pacibsp	
0xfffffff00975127c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009751280: fd030091  mov	x29, sp
0xfffffff009751284: c06100f0  adrp	x0, #0xfffffff00a38c000
0xfffffff009751288: 00200c91  add	x0, x0, #0x308
0xfffffff00975128c: 1a4dae97  bl	#0xfffffff0082e46f4
0xfffffff009751290: c06100d0  adrp	x0, #0xfffffff00a38b000
0xfffffff009751294: 00003691  add	x0, x0, #0xd80
0xfffffff009751298: 174dae97  bl	#0xfffffff0082e46f4
0xfffffff00975129c: c06100d0  adrp	x0, #0xfffffff00a38b000
0xfffffff0097512a0: 00603591  add	x0, x0, #0xd58
0xfffffff0097512a4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0097512a8: ff2303d5  autibsp	
0xfffffff0097512ac: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0097512b0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0097512b8
0xfffffff0097512b4: 208e38d4  brk	#0xc471
0xfffffff0097512b8: 0f4dae17  b	#0xfffffff0082e46f4
0xfffffff0097512bc: 7f2303d5  pacibsp	
0xfffffff0097512c0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0097512c4: fd030091  mov	x29, sp
0xfffffff0097512c8: 21f2fef0  adrp	x1, #0xfffffff007598000
0xfffffff0097512cc: 21d00091  add	x1, x1, #0x34
0xfffffff0097512d0: c26100d0  adrp	x2, #0xfffffff00a38b000
0xfffffff0097512d4: 42400c91  add	x2, x2, #0x310
0xfffffff0097512d8: 03c38152  mov	w3, #0xe18
0xfffffff0097512dc: 174aae97  bl	#0xfffffff0082e3b38
0xfffffff0097512e0: 3027ff90  adrp	x16, #0xfffffff007c35000
0xfffffff0097512e4: 10822991  add	x16, x16, #0xa60
0xfffffff0097512e8: 10420091  add	x16, x16, #0x10
0xfffffff0097512ec: f10300aa  mov	x17, x0
0xfffffff0097512f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097512f4: 300ac1da  pacda	x16, x17
0xfffffff0097512f8: 100000f9  str	x16, [x0]
0xfffffff0097512fc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009751300: ff0f5fd6  retab	
0xfffffff009751304: 5f2403d5  bti	c
0xfffffff009751308: fb4cae17  b	#0xfffffff0082e46f4
0xfffffff00975130c: 7f2303d5  pacibsp	
0xfffffff009751310: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009751314: fd030091  mov	x29, sp
0xfffffff009751318: 929ffd97  bl	#0xfffffff0096b9160
