; Candidate 4217
; ADRP+ADD at VM 0xfffffff008796ed4 (fileoff 0x1792ed4): page=0x1fe99b000 add_imm=0xd90

0xfffffff008796e54: 686e40f9  ldr	x8, [x19, #0xd8]
0xfffffff008796e58: 69726cb9  ldr	w9, [x19, #0x2c70]
0xfffffff008796e5c: 080d098b  add	x8, x8, x9, lsl #3
0xfffffff008796e60: 005d40f9  ldr	x0, [x8, #0xb8]
0xfffffff008796e64: cbdefe97  bl	#0xfffffff00874e990
0xfffffff008796e68: e00314aa  mov	x0, x20
0xfffffff008796e6c: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff008796e70: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff008796e74: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff008796e78: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff008796e7c: ff030391  add	sp, sp, #0xc0
0xfffffff008796e80: ff0f5fd6  retab	
0xfffffff008796e84: 7f2303d5  pacibsp	
0xfffffff008796e88: ff8302d1  sub	sp, sp, #0xa0
0xfffffff008796e8c: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff008796e90: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff008796e94: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff008796e98: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff008796e9c: fd430291  add	x29, sp, #0x90
0xfffffff008796ea0: b3598052  mov	w19, #0x2cd
0xfffffff008796ea4: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008796ea8: 084441b9  ldr	w8, [x0, #0x144]
0xfffffff008796eac: 1f0d0071  cmp	w8, #3
0xfffffff008796eb0: c1000054  b.ne	#0xfffffff008796ec8
0xfffffff008796eb4: f40300aa  mov	x20, x0
0xfffffff008796eb8: 29a38552  mov	w9, #0x2d19
0xfffffff008796ebc: 1600098b  add	x22, x0, x9
0xfffffff008796ec0: c9024039  ldrb	w9, [x22]
0xfffffff008796ec4: 69020034  cbz	w9, #0xfffffff008796f10
0xfffffff008796ec8: 294effb0  adrp	x9, #0xfffffff00715b000
0xfffffff008796ecc: 29891391  add	x9, x9, #0x4e2
0xfffffff008796ed0: e92300a9  stp	x9, x8, [sp]
0xfffffff008796ed4: c04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff008796ed8: 00403691  add	x0, x0, #0xd90
0xfffffff008796edc: 2193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008796ee0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008796ee4: 834dffd0  adrp	x3, #0xfffffff007148000
0xfffffff008796ee8: 635c1c91  add	x3, x3, #0x717
0xfffffff008796eec: 02008052  mov	w2, #0
0xfffffff008796ef0: 9070ee97  bl	#0xfffffff008333130
0xfffffff008796ef4: e00313aa  mov	x0, x19
0xfffffff008796ef8: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff008796efc: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff008796f00: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff008796f04: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff008796f08: ff830291  add	sp, sp, #0xa0
0xfffffff008796f0c: ff0f5fd6  retab	
0xfffffff008796f10: f50302aa  mov	x21, x2
0xfffffff008796f14: ff2b00f9  str	xzr, [sp, #0x50]
0xfffffff008796f18: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008796f1c: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff008796f20: e08300ad  stp	q0, q0, [sp, #0x10]
0xfffffff008796f24: e0430091  add	x0, sp, #0x10
0xfffffff008796f28: 01008052  mov	w1, #0
0xfffffff008796f2c: 02098052  mov	w2, #0x48
0xfffffff008796f30: 24d7d697  bl	#0xfffffff007d4cbc0
0xfffffff008796f34: 17008052  mov	w23, #0
0xfffffff008796f38: f40b00f9  str	x20, [sp, #0x10]
0xfffffff008796f3c: 884241b9  ldr	w8, [x20, #0x140]
0xfffffff008796f40: e81b00b9  str	w8, [sp, #0x18]
0xfffffff008796f44: e0e5002f  movi	d0, #0x000000ffffffff
0xfffffff008796f48: e01b00fd  str	d0, [sp, #0x30]
0xfffffff008796f4c: 806e40f9  ldr	x0, [x20, #0xd8]
0xfffffff008796f50: e1430091  add	x1, sp, #0x10
