; Candidate 2602
; ADRP+ADD at VM 0xfffffff0086d30d8 (fileoff 0x16cf0d8): page=0x1fea5d000 add_imm=0xe03

0xfffffff0086d3058: 680200f9  str	x8, [x19]
0xfffffff0086d305c: 9f2403d5  bti	j
0xfffffff0086d3060: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0086d3064: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0086d3068: ffc30091  add	sp, sp, #0x30
0xfffffff0086d306c: ff0f5fd6  retab	
0xfffffff0086d3070: 0c000000  udf	#0xc
0xfffffff0086d3074: 1c000000  udf	#0x1c
0xfffffff0086d3078: 4c000000  udf	#0x4c
0xfffffff0086d307c: 2c000000  udf	#0x2c
0xfffffff0086d3080: 4c000000  udf	#0x4c
0xfffffff0086d3084: 4c000000  udf	#0x4c
0xfffffff0086d3088: 4c000000  udf	#0x4c
0xfffffff0086d308c: 3c000000  udf	#0x3c
0xfffffff0086d3090: 7f2303d5  pacibsp	
0xfffffff0086d3094: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0086d3098: fd030091  mov	x29, sp
0xfffffff0086d309c: 20e000f0  adrp	x0, #0xfffffff00a2da000
0xfffffff0086d30a0: 00c01891  add	x0, x0, #0x630
0xfffffff0086d30a4: e152ffb0  adrp	x1, #0xfffffff007130000
0xfffffff0086d30a8: 21603691  add	x1, x1, #0xd98
0xfffffff0086d30ac: 22e000f0  adrp	x2, #0xfffffff00a2da000
0xfffffff0086d30b0: 42c01a91  add	x2, x2, #0x6b0
0xfffffff0086d30b4: 03398052  mov	w3, #0x1c8
0xfffffff0086d30b8: a042f097  bl	#0xfffffff0082e3b38
0xfffffff0086d30bc: 5099ff90  adrp	x16, #0xfffffff0079fb000
0xfffffff0086d30c0: 10823c91  add	x16, x16, #0xf20
0xfffffff0086d30c4: 10420091  add	x16, x16, #0x10
0xfffffff0086d30c8: f10300aa  mov	x17, x0
0xfffffff0086d30cc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086d30d0: 300ac1da  pacda	x16, x17
0xfffffff0086d30d4: 100000f9  str	x16, [x0]
0xfffffff0086d30d8: e052ffb0  adrp	x0, #0xfffffff007130000
0xfffffff0086d30dc: 000c3891  add	x0, x0, #0xe03
0xfffffff0086d30e0: 5658f197  bl	#0xfffffff008329238
0xfffffff0086d30e4: 28e000f0  adrp	x8, #0xfffffff00a2da000
0xfffffff0086d30e8: 007103f9  str	x0, [x8, #0x6e0]
0xfffffff0086d30ec: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0086d30f0: ff0f5fd6  retab	
0xfffffff0086d30f4: 5f2403d5  bti	c
0xfffffff0086d30f8: 20e000f0  adrp	x0, #0xfffffff00a2da000
0xfffffff0086d30fc: 00c01891  add	x0, x0, #0x630
0xfffffff0086d3100: 7d45f017  b	#0xfffffff0082e46f4
0xfffffff0086d3104: 7f2303d5  pacibsp	
0xfffffff0086d3108: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0086d310c: fd030091  mov	x29, sp
0xfffffff0086d3110: e152ffd0  adrp	x1, #0xfffffff007131000
0xfffffff0086d3114: 210c1c91  add	x1, x1, #0x703
0xfffffff0086d3118: 4299ff90  adrp	x2, #0xfffffff0079fb000
0xfffffff0086d311c: 427444f9  ldr	x2, [x2, #0x8e8]
0xfffffff0086d3120: 031d8052  mov	w3, #0xe8
0xfffffff0086d3124: 8542f097  bl	#0xfffffff0082e3b38
0xfffffff0086d3128: 5099ffb0  adrp	x16, #0xfffffff0079fc000
0xfffffff0086d312c: 10821691  add	x16, x16, #0x5a0
0xfffffff0086d3130: 10420091  add	x16, x16, #0x10
0xfffffff0086d3134: f10300aa  mov	x17, x0
0xfffffff0086d3138: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086d313c: 300ac1da  pacda	x16, x17
0xfffffff0086d3140: 100000f9  str	x16, [x0]
0xfffffff0086d3144: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0086d3148: ff0f5fd6  retab	
0xfffffff0086d314c: 5f2403d5  bti	c
0xfffffff0086d3150: 6945f017  b	#0xfffffff0082e46f4
0xfffffff0086d3154: 7f2303d5  pacibsp	
