; Candidate 4347
; ADRP+ADD at VM 0xfffffff0087a051c (fileoff 0x179c51c): page=0x1fe991000 add_imm=0xd90

0xfffffff0087a049c: 89d263b9  ldr	w9, [x20, #0x23d0]
0xfffffff0087a04a0: 5f01096b  cmp	w10, w9
0xfffffff0087a04a4: 01010054  b.ne	#0xfffffff0087a04c4
0xfffffff0087a04a8: 8aab40b9  ldr	w10, [x28, #0xa8]
0xfffffff0087a04ac: 8bd663b9  ldr	w11, [x20, #0x23d4]
0xfffffff0087a04b0: 5f010b6b  cmp	w10, w11
0xfffffff0087a04b4: 81000054  b.ne	#0xfffffff0087a04c4
0xfffffff0087a04b8: 00008052  mov	w0, #0
0xfffffff0087a04bc: 7c0200f9  str	x28, [x19]
0xfffffff0087a04c0: 20000014  b	#0xfffffff0087a0540
0xfffffff0087a04c4: ea03182a  mov	w10, w24
0xfffffff0087a04c8: 8bae50f9  ldr	x11, [x20, #0x2158]
0xfffffff0087a04cc: 687968f8  ldr	x8, [x11, x8, lsl #3]
0xfffffff0087a04d0: 08796ab8  ldr	w8, [x8, x10, lsl #2]
0xfffffff0087a04d4: 1f010271  cmp	w8, #0x80
0xfffffff0087a04d8: 88010054  b.hi	#0xfffffff0087a0508
0xfffffff0087a04dc: 880e088b  add	x8, x20, x8, lsl #3
0xfffffff0087a04e0: 1b1142f9  ldr	x27, [x8, #0x420]
0xfffffff0087a04e4: 7b0200f9  str	x27, [x19]
0xfffffff0087a04e8: 1b1800b4  cbz	x27, #0xfffffff0087a07e8
0xfffffff0087a04ec: 68a740b9  ldr	w8, [x27, #0xa4]
0xfffffff0087a04f0: 1f01096b  cmp	w8, w9
0xfffffff0087a04f4: e1030054  b.ne	#0xfffffff0087a0570
0xfffffff0087a04f8: 68ab40b9  ldr	w8, [x27, #0xa8]
0xfffffff0087a04fc: 89d663b9  ldr	w9, [x20, #0x23d4]
0xfffffff0087a0500: 1f01096b  cmp	w8, w9
0xfffffff0087a0504: 61030054  b.ne	#0xfffffff0087a0570
0xfffffff0087a0508: 00008052  mov	w0, #0
0xfffffff0087a050c: 0d000014  b	#0xfffffff0087a0540
0xfffffff0087a0510: 884dffb0  adrp	x8, #0xfffffff007151000
0xfffffff0087a0514: 08711791  add	x8, x8, #0x5dc
0xfffffff0087a0518: e80300f9  str	x8, [sp]
0xfffffff0087a051c: 804cffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087a0520: 00403691  add	x0, x0, #0xd90
0xfffffff0087a0524: e192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087a0528: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087a052c: 434dffd0  adrp	x3, #0xfffffff00714a000
0xfffffff0087a0530: 63fc1a91  add	x3, x3, #0x6bf
0xfffffff0087a0534: 02008052  mov	w2, #0
0xfffffff0087a0538: fe4aee97  bl	#0xfffffff008333130
0xfffffff0087a053c: 40278052  mov	w0, #0x13a
0xfffffff0087a0540: 680240f9  ldr	x8, [x19]
0xfffffff0087a0544: 1f0100f1  cmp	x8, #0
0xfffffff0087a0548: 0018407a  ccmp	w0, #0, #0, ne
0xfffffff0087a054c: e0179f1a  cset	w0, eq
0xfffffff0087a0550: fd7b54a9  ldp	x29, x30, [sp, #0x140]
0xfffffff0087a0554: f44f53a9  ldp	x20, x19, [sp, #0x130]
0xfffffff0087a0558: f65752a9  ldp	x22, x21, [sp, #0x120]
0xfffffff0087a055c: f85f51a9  ldp	x24, x23, [sp, #0x110]
0xfffffff0087a0560: fa6750a9  ldp	x26, x25, [sp, #0x100]
0xfffffff0087a0564: fc6f4fa9  ldp	x28, x27, [sp, #0xf0]
0xfffffff0087a0568: ff430591  add	sp, sp, #0x150
0xfffffff0087a056c: ff0f5fd6  retab	
0xfffffff0087a0570: 801a45f9  ldr	x0, [x20, #0xa30]
0xfffffff0087a0574: 100040f9  ldr	x16, [x0]
0xfffffff0087a0578: f10300aa  mov	x17, x0
0xfffffff0087a057c: f136f8f2  movk	x17, #0xc1b7, lsl #48
0xfffffff0087a0580: 301ac1da  autda	x16, x17
0xfffffff0087a0584: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff0087a0588: e90310aa  mov	x9, x16
0xfffffff0087a058c: e10318aa  mov	x1, x24
0xfffffff0087a0590: f10309aa  mov	x17, x9
0xfffffff0087a0594: f19ffff2  movk	x17, #0xfcff, lsl #48
0xfffffff0087a0598: 11093fd7  blraa	x8, x17
