; Candidate 3198
; ADRP+ADD at VM 0xfffffff00871bc28 (fileoff 0x1717c28): page=0x1fea16000 add_imm=0xd90

0xfffffff00871bba8: e80641f9  ldr	x8, [x23, #0x208]
0xfffffff00871bbac: 087979f8  ldr	x8, [x8, x25, lsl #3]
0xfffffff00871bbb0: 0801168b  add	x8, x8, x22
0xfffffff00871bbb4: 1a110039  strb	w26, [x8, #4]
0xfffffff00871bbb8: d63a0091  add	x22, x22, #0xe
0xfffffff00871bbbc: 1f0316eb  cmp	x24, x22
0xfffffff00871bbc0: 21feff54  b.ne	#0xfffffff00871bb84
0xfffffff00871bbc4: b5060011  add	w21, w21, #1
0xfffffff00871bbc8: 880e40b9  ldr	w8, [x20, #0xc]
0xfffffff00871bbcc: 1f21356b  cmp	w8, w21, uxth
0xfffffff00871bbd0: a2fcff54  b.hs	#0xfffffff00871bb64
0xfffffff00871bbd4: e10314aa  mov	x1, x20
0xfffffff00871bbd8: 77050094  bl	#0xfffffff00871d1b4
0xfffffff00871bbdc: fffe1d79  strh	wzr, [x23, #0xefe]
0xfffffff00871bbe0: e8fa5d79  ldrh	w8, [x23, #0xefc]
0xfffffff00871bbe4: 1f050071  cmp	w8, #1
0xfffffff00871bbe8: 29030054  b.ls	#0xfffffff00871bc4c
0xfffffff00871bbec: e00313aa  mov	x0, x19
0xfffffff00871bbf0: 02060094  bl	#0xfffffff00871d3f8
0xfffffff00871bbf4: e0fe1d79  strh	w0, [x23, #0xefe]
0xfffffff00871bbf8: 1f141672  tst	w0, #0xfc00
0xfffffff00871bbfc: 80020054  b.eq	#0xfffffff00871bc4c
0xfffffff00871bc00: 083c0012  and	w8, w0, #0xffff
0xfffffff00871bc04: e97f8052  mov	w9, #0x3ff
0xfffffff00871bc08: ca51ffd0  adrp	x10, #0xfffffff007155000
0xfffffff00871bc0c: 4aa92e91  add	x10, x10, #0xbaa
0xfffffff00871bc10: ff2702a9  stp	xzr, x9, [sp, #0x20]
0xfffffff00871bc14: 495f8052  mov	w9, #0x2fa
0xfffffff00871bc18: cb51ffd0  adrp	x11, #0xfffffff007155000
0xfffffff00871bc1c: 6bf52c91  add	x11, x11, #0xb3d
0xfffffff00871bc20: eb2700a9  stp	x11, x9, [sp]
0xfffffff00871bc24: ea2301a9  stp	x10, x8, [sp, #0x10]
0xfffffff00871bc28: a050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00871bc2c: 00403691  add	x0, x0, #0xd90
0xfffffff00871bc30: 0197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871bc34: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871bc38: e350ffb0  adrp	x3, #0xfffffff007138000
0xfffffff00871bc3c: 634c3f91  add	x3, x3, #0xfd3
0xfffffff00871bc40: 02008052  mov	w2, #0
0xfffffff00871bc44: 3b5df097  bl	#0xfffffff008333130
0xfffffff00871bc48: 25ffff17  b	#0xfffffff00871b8dc
0xfffffff00871bc4c: e10314aa  mov	x1, x20
0xfffffff00871bc50: 20060094  bl	#0xfffffff00871d4d0
0xfffffff00871bc54: 800c0036  tbz	w0, #0, #0xfffffff00871bde4
0xfffffff00871bc58: e8fe5d79  ldrh	w8, [x23, #0xefe]
0xfffffff00871bc5c: 01f17dd3  lsl	x1, x8, #3
0xfffffff00871bc60: 4097fff0  adrp	x0, #0xfffffff007a06000
0xfffffff00871bc64: 00a02391  add	x0, x0, #0x8e8
0xfffffff00871bc68: 5aecf097  bl	#0xfffffff008356dd0
0xfffffff00871bc6c: e08207f9  str	x0, [x23, #0xf00]
0xfffffff00871bc70: 60e3ffb4  cbz	x0, #0xfffffff00871b8dc
0xfffffff00871bc74: e8fe5d79  ldrh	w8, [x23, #0xefe]
0xfffffff00871bc78: 28080034  cbz	w8, #0xfffffff00871bd7c
0xfffffff00871bc7c: 150080d2  mov	x21, #0
0xfffffff00871bc80: 880e40b9  ldr	w8, [x20, #0xc]
0xfffffff00871bc84: 08050011  add	w8, w8, #1
0xfffffff00871bc88: 007d7fd3  ubfiz	x0, x8, #1, #0x20
0xfffffff00871bc8c: 2aecf097  bl	#0xfffffff008356d34
0xfffffff00871bc90: e88247f9  ldr	x8, [x23, #0xf00]
0xfffffff00871bc94: 007935f8  str	x0, [x8, x21, lsl #3]
0xfffffff00871bc98: e88247f9  ldr	x8, [x23, #0xf00]
0xfffffff00871bc9c: 087975f8  ldr	x8, [x8, x21, lsl #3]
0xfffffff00871bca0: e8e1ffb4  cbz	x8, #0xfffffff00871b8dc
0xfffffff00871bca4: b5060091  add	x21, x21, #1
