; Candidate 13370
; ADRP+ADD at VM 0xfffffff0092b04a8 (fileoff 0x22ac4a8): page=0x1fe8f2000 add_imm=0xdc0

0xfffffff0092b0428: 10221991  add	x16, x16, #0x648
0xfffffff0092b042c: 10420091  add	x16, x16, #0x10
0xfffffff0092b0430: f10300aa  mov	x17, x0
0xfffffff0092b0434: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092b0438: 300ac1da  pacda	x16, x17
0xfffffff0092b043c: 100000f9  str	x16, [x0]
0xfffffff0092b0440: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0092b0444: ff0f5fd6  retab	
0xfffffff0092b0448: 5f2403d5  bti	c
0xfffffff0092b044c: bd4ec317  b	#0xfffffff008383f40
0xfffffff0092b0450: 5f2403d5  bti	c
0xfffffff0092b0454: bb4ec317  b	#0xfffffff008383f40
0xfffffff0092b0458: 7f2303d5  pacibsp	
0xfffffff0092b045c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0092b0460: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0092b0464: fd430091  add	x29, sp, #0x10
0xfffffff0092b0468: f30300aa  mov	x19, x0
0xfffffff0092b046c: b54ec397  bl	#0xfffffff008383f40
0xfffffff0092b0470: 8047ffd0  adrp	x0, #0xfffffff007ba2000
0xfffffff0092b0474: 00003791  add	x0, x0, #0xdc0
0xfffffff0092b0478: e10313aa  mov	x1, x19
0xfffffff0092b047c: 02198052  mov	w2, #0xc8
0xfffffff0092b0480: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0092b0484: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0092b0488: ff2303d5  autibsp	
0xfffffff0092b048c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0092b0490: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0092b0498
0xfffffff0092b0494: 208e38d4  brk	#0xc471
0xfffffff0092b0498: 81dcc017  b	#0xfffffff0082e769c
0xfffffff0092b049c: 5f2403d5  bti	c
0xfffffff0092b04a0: e20301aa  mov	x2, x1
0xfffffff0092b04a4: e10300aa  mov	x1, x0
0xfffffff0092b04a8: 8047ffd0  adrp	x0, #0xfffffff007ba2000
0xfffffff0092b04ac: 00003791  add	x0, x0, #0xdc0
0xfffffff0092b04b0: 7bdcc017  b	#0xfffffff0082e769c
0xfffffff0092b04b4: 5f2403d5  bti	c
0xfffffff0092b04b8: 608600d0  adrp	x0, #0xfffffff00a37e000
0xfffffff0092b04bc: 00c00e91  add	x0, x0, #0x3b0
0xfffffff0092b04c0: c0035fd6  ret	
0xfffffff0092b04c4: 7f2303d5  pacibsp	
0xfffffff0092b04c8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0092b04cc: fd030091  mov	x29, sp
0xfffffff0092b04d0: 4111ffb0  adrp	x1, #0xfffffff0074d9000
0xfffffff0092b04d4: 21641091  add	x1, x1, #0x419
0xfffffff0092b04d8: 628600d0  adrp	x2, #0xfffffff00a37e000
0xfffffff0092b04dc: 42200e91  add	x2, x2, #0x388
0xfffffff0092b04e0: 03198052  mov	w3, #0xc8
0xfffffff0092b04e4: 95cdc097  bl	#0xfffffff0082e3b38
0xfffffff0092b04e8: 9047ffd0  adrp	x16, #0xfffffff007ba2000
0xfffffff0092b04ec: 10022f91  add	x16, x16, #0xbc0
0xfffffff0092b04f0: 10420091  add	x16, x16, #0x10
0xfffffff0092b04f4: f10300aa  mov	x17, x0
0xfffffff0092b04f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092b04fc: 300ac1da  pacda	x16, x17
0xfffffff0092b0500: 100000f9  str	x16, [x0]
0xfffffff0092b0504: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0092b0508: ff0f5fd6  retab	
0xfffffff0092b050c: 7f2303d5  pacibsp	
0xfffffff0092b0510: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0092b0514: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0092b0518: fd430091  add	x29, sp, #0x10
0xfffffff0092b051c: 8047ffd0  adrp	x0, #0xfffffff007ba2000
0xfffffff0092b0520: 00003791  add	x0, x0, #0xdc0
0xfffffff0092b0524: 01198052  mov	w1, #0xc8
