; Candidate 14336
; ADRP+ADD at VM 0xfffffff009767a64 (fileoff 0x2763a64): page=0xc24000 add_imm=0xea8

0xfffffff0097679e4: f30300aa  mov	x19, x0
0xfffffff0097679e8: 8825fff0  adrp	x8, #0xfffffff007c1a000
0xfffffff0097679ec: 08410c91  add	x8, x8, #0x310
0xfffffff0097679f0: 09611691  add	x9, x8, #0x598
0xfffffff0097679f4: 08cd42f9  ldr	x8, [x8, #0x598]
0xfffffff0097679f8: e00316aa  mov	x0, x22
0xfffffff0097679fc: e10315aa  mov	x1, x21
0xfffffff009767a00: f10309aa  mov	x17, x9
0xfffffff009767a04: 5142ecf2  movk	x17, #0x6212, lsl #48
0xfffffff009767a08: 11093fd7  blraa	x8, x17
0xfffffff009767a0c: f50300aa  mov	x21, x0
0xfffffff009767a10: e01f0034  cbz	w0, #0xfffffff009767e0c
0xfffffff009767a14: d00240f9  ldr	x16, [x22]
0xfffffff009767a18: f10316aa  mov	x17, x22
0xfffffff009767a1c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009767a20: 301ac1da  autda	x16, x17
0xfffffff009767a24: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff009767a28: e90310aa  mov	x9, x16
0xfffffff009767a2c: e00316aa  mov	x0, x22
0xfffffff009767a30: f10309aa  mov	x17, x9
0xfffffff009767a34: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff009767a38: 11093fd7  blraa	x8, x17
0xfffffff009767a3c: 28610090  adrp	x8, #0xfffffff00a38b000
0xfffffff009767a40: 08a13a91  add	x8, x8, #0xea8
0xfffffff009767a44: 37f1fed0  adrp	x23, #0xfffffff00758d000
0xfffffff009767a48: f7c63491  add	x23, x23, #0xd31
0xfffffff009767a4c: 3cf1fed0  adrp	x28, #0xfffffff00758d000
0xfffffff009767a50: 9ccb3491  add	x28, x28, #0xd32
0xfffffff009767a54: 5bf1feb0  adrp	x27, #0xfffffff007590000
0xfffffff009767a58: 7b572291  add	x27, x27, #0x895
0xfffffff009767a5c: 1f0008eb  cmp	x0, x8
0xfffffff009767a60: e1090054  b.ne	#0xfffffff009767b9c
0xfffffff009767a64: 20610090  adrp	x0, #0xfffffff00a38b000
0xfffffff009767a68: 00a03a91  add	x0, x0, #0xea8
0xfffffff009767a6c: bbf3ad97  bl	#0xfffffff0082e4958
0xfffffff009767a70: f80300aa  mov	x24, x0
0xfffffff009767a74: e00316aa  mov	x0, x22
0xfffffff009767a78: f903fd97  bl	#0xfffffff0096a8a5c
0xfffffff009767a7c: f90300aa  mov	x25, x0
0xfffffff009767a80: e00100b5  cbnz	x0, #0xfffffff009767abc
0xfffffff009767a84: d00240f9  ldr	x16, [x22]
0xfffffff009767a88: f10316aa  mov	x17, x22
0xfffffff009767a8c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009767a90: 301ac1da  autda	x16, x17
0xfffffff009767a94: 113d80d2  mov	x17, #0x1e8
0xfffffff009767a98: 1002118b  add	x16, x16, x17
0xfffffff009767a9c: 080240f9  ldr	x8, [x16]
0xfffffff009767aa0: e90310aa  mov	x9, x16
0xfffffff009767aa4: e00316aa  mov	x0, x22
0xfffffff009767aa8: 010080d2  mov	x1, #0
0xfffffff009767aac: f10309aa  mov	x17, x9
0xfffffff009767ab0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009767ab4: 11093fd7  blraa	x8, x17
0xfffffff009767ab8: f90300aa  mov	x25, x0
0xfffffff009767abc: e00316aa  mov	x0, x22
0xfffffff009767ac0: e703fd97  bl	#0xfffffff0096a8a5c
0xfffffff009767ac4: 1f0000f1  cmp	x0, #0
0xfffffff009767ac8: 9b03979a  csel	x27, x28, x23, eq
0xfffffff009767acc: e00316aa  mov	x0, x22
0xfffffff009767ad0: e303fd97  bl	#0xfffffff0096a8a5c
0xfffffff009767ad4: fa0317aa  mov	x26, x23
0xfffffff009767ad8: e00100b5  cbnz	x0, #0xfffffff009767b14
0xfffffff009767adc: d00240f9  ldr	x16, [x22]
0xfffffff009767ae0: f10316aa  mov	x17, x22
