; Candidate 10409
; ADRP+ADD at VM 0xfffffff008d35704 (fileoff 0x1d31704): page=0x1fe650000 add_imm=0xe28

0xfffffff008d35684: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff008d35688: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff008d3568c: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff008d35690: fd830291  add	x29, sp, #0xa0
0xfffffff008d35694: f70304aa  mov	x23, x4
0xfffffff008d35698: f50303aa  mov	x21, x3
0xfffffff008d3569c: f60302aa  mov	x22, x2
0xfffffff008d356a0: f90301aa  mov	x25, x1
0xfffffff008d356a4: f80300aa  mov	x24, x0
0xfffffff008d356a8: e86cff90  adrp	x8, #0xfffffff007ad1000
0xfffffff008d356ac: 089141f9  ldr	x8, [x8, #0x320]
0xfffffff008d356b0: 080140f9  ldr	x8, [x8]
0xfffffff008d356b4: e82700f9  str	x8, [sp, #0x48]
0xfffffff008d356b8: 9cad00f0  adrp	x28, #0xfffffff00a2e8000
0xfffffff008d356bc: 9c930c91  add	x28, x28, #0x324
0xfffffff008d356c0: 88034039  ldrb	w8, [x28]
0xfffffff008d356c4: 9a32ff90  adrp	x26, #0xfffffff007385000
0xfffffff008d356c8: 5a8b3791  add	x26, x26, #0xde2
0xfffffff008d356cc: 9b32ff90  adrp	x27, #0xfffffff007385000
0xfffffff008d356d0: 7bd72f91  add	x27, x27, #0xbf5
0xfffffff008d356d4: 1f290071  cmp	w8, #0xa
0xfffffff008d356d8: a8000054  b.hi	#0xfffffff008d356ec
0xfffffff008d356dc: fb6b00a9  stp	x27, x26, [sp]
0xfffffff008d356e0: a032ff90  adrp	x0, #0xfffffff007389000
0xfffffff008d356e4: 00bc1791  add	x0, x0, #0x5ef
0xfffffff008d356e8: 4e86d897  bl	#0xfffffff008357020
0xfffffff008d356ec: 780500b4  cbz	x24, #0xfffffff008d35798
0xfffffff008d356f0: 760600b4  cbz	x22, #0xfffffff008d357bc
0xfffffff008d356f4: e06cff90  adrp	x0, #0xfffffff007ad1000
0xfffffff008d356f8: 00e02591  add	x0, x0, #0x978
0xfffffff008d356fc: 7e83d897  bl	#0xfffffff0083564f4
0xfffffff008d35700: f30300aa  mov	x19, x0
0xfffffff008d35704: 8032ff90  adrp	x0, #0xfffffff007385000
0xfffffff008d35708: 00a03891  add	x0, x0, #0xe28
0xfffffff008d3570c: 9432ff90  adrp	x20, #0xfffffff007385000
0xfffffff008d35710: 94823091  add	x20, x20, #0xc20
0xfffffff008d35714: 8532ff90  adrp	x5, #0xfffffff007385000
0xfffffff008d35718: a5883791  add	x5, x5, #0xde2
0xfffffff008d3571c: e10313aa  mov	x1, x19
0xfffffff008d35720: 82028052  mov	w2, #0x14
0xfffffff008d35724: e30314aa  mov	x3, x20
0xfffffff008d35728: 44068052  mov	w4, #0x32
0xfffffff008d3572c: 0e200094  bl	#0xfffffff008d3d764
0xfffffff008d35730: 730600b4  cbz	x19, #0xfffffff008d357fc
0xfffffff008d35734: ff7f03a9  stp	xzr, xzr, [sp, #0x30]
0xfffffff008d35738: ffd303f8  stur	xzr, [sp, #0x3d]
0xfffffff008d3573c: 97090034  cbz	w23, #0xfffffff008d3586c
0xfffffff008d35740: a8028052  mov	w8, #0x15
0xfffffff008d35744: e81700f9  str	x8, [sp, #0x28]
0xfffffff008d35748: e5c30091  add	x5, sp, #0x30
0xfffffff008d3574c: e6a30091  add	x6, sp, #0x28
0xfffffff008d35750: e00319aa  mov	x0, x25
0xfffffff008d35754: 81048052  mov	w1, #0x24
0xfffffff008d35758: 02008052  mov	w2, #0
0xfffffff008d3575c: 030080d2  mov	x3, #0
0xfffffff008d35760: 040080d2  mov	x4, #0
0xfffffff008d35764: 519081d2  mov	x17, #0xc82
0xfffffff008d35768: 110b3fd7  blraa	x24, x17
0xfffffff008d3576c: 40060035  cbnz	w0, #0xfffffff008d35834
0xfffffff008d35770: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff008d35774: 1f5500f1  cmp	x8, #0x15
0xfffffff008d35778: 80090054  b.eq	#0xfffffff008d358a8
0xfffffff008d3577c: 88078052  mov	w8, #0x3c
0xfffffff008d35780: e81300f9  str	x8, [sp, #0x20]
