; Candidate 12526
; ADRP+ADD at VM 0xfffffff0090ae9b0 (fileoff 0x20aa9b0): page=0x1fe3ab000 add_imm=0xe24

0xfffffff0090ae930: 02000014  b	#0xfffffff0090ae938
0xfffffff0090ae934: 1a008052  mov	w26, #0
0xfffffff0090ae938: 9a0200b9  str	w26, [x20]
0xfffffff0090ae93c: 169300f0  adrp	x22, #0xfffffff00a311000
0xfffffff0090ae940: d6a20391  add	x22, x22, #0xe8
0xfffffff0090ae944: c9024039  ldrb	w9, [x22]
0xfffffff0090ae948: 3fa10071  cmp	w9, #0x28
0xfffffff0090ae94c: a8010054  b.hi	#0xfffffff0090ae980
0xfffffff0090ae950: e91b40f9  ldr	x9, [sp, #0x30]
0xfffffff0090ae954: 290140b9  ldr	w9, [x9]
0xfffffff0090ae958: e8eb01a9  stp	x8, x26, [sp, #0x18]
0xfffffff0090ae95c: ca1dff90  adrp	x10, #0xfffffff007466000
0xfffffff0090ae960: 4ad10f91  add	x10, x10, #0x3f4
0xfffffff0090ae964: ab1dfff0  adrp	x11, #0xfffffff007465000
0xfffffff0090ae968: 6b9d3891  add	x11, x11, #0xe27
0xfffffff0090ae96c: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff0090ae970: eb0300f9  str	x11, [sp]
0xfffffff0090ae974: c01dff90  adrp	x0, #0xfffffff007466000
0xfffffff0090ae978: 00b41191  add	x0, x0, #0x46d
0xfffffff0090ae97c: a9a1ca97  bl	#0xfffffff008357020
0xfffffff0090ae980: 13008052  mov	w19, #0
0xfffffff0090ae984: 48018052  mov	w8, #0xa
0xfffffff0090ae988: c9024039  ldrb	w9, [x22]
0xfffffff0090ae98c: 1f01096b  cmp	w8, w9
0xfffffff0090ae990: 63010054  b.lo	#0xfffffff0090ae9bc
0xfffffff0090ae994: 687e4093  sxtw	x8, w19
0xfffffff0090ae998: c91dff90  adrp	x9, #0xfffffff007466000
0xfffffff0090ae99c: 29d10f91  add	x9, x9, #0x3f4
0xfffffff0090ae9a0: aa1dfff0  adrp	x10, #0xfffffff007465000
0xfffffff0090ae9a4: 4a9d3891  add	x10, x10, #0xe27
0xfffffff0090ae9a8: ea2700a9  stp	x10, x9, [sp]
0xfffffff0090ae9ac: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090ae9b0: 401dfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090ae9b4: 00903891  add	x0, x0, #0xe24
0xfffffff0090ae9b8: 9aa1ca97  bl	#0xfffffff008357020
0xfffffff0090ae9bc: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff0090ae9c0: c954fff0  adrp	x9, #0xfffffff007b49000
0xfffffff0090ae9c4: 29a541f9  ldr	x9, [x9, #0x348]
0xfffffff0090ae9c8: 290140f9  ldr	x9, [x9]
0xfffffff0090ae9cc: 3f0108eb  cmp	x9, x8
0xfffffff0090ae9d0: c1090054  b.ne	#0xfffffff0090aeb08
0xfffffff0090ae9d4: e00313aa  mov	x0, x19
0xfffffff0090ae9d8: fd7b51a9  ldp	x29, x30, [sp, #0x110]
0xfffffff0090ae9dc: f44f50a9  ldp	x20, x19, [sp, #0x100]
0xfffffff0090ae9e0: f6574fa9  ldp	x22, x21, [sp, #0xf0]
0xfffffff0090ae9e4: f85f4ea9  ldp	x24, x23, [sp, #0xe0]
0xfffffff0090ae9e8: fa674da9  ldp	x26, x25, [sp, #0xd0]
0xfffffff0090ae9ec: fc6f4ca9  ldp	x28, x27, [sp, #0xc0]
0xfffffff0090ae9f0: ff830491  add	sp, sp, #0x120
0xfffffff0090ae9f4: ff0f5fd6  retab	
0xfffffff0090ae9f8: c8398052  mov	w8, #0x1ce
0xfffffff0090ae9fc: a91dfff0  adrp	x9, #0xfffffff007465000
0xfffffff0090aea00: 29c13891  add	x9, x9, #0xe30
0xfffffff0090aea04: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090aea08: 481dfff0  adrp	x8, #0xfffffff007459000
0xfffffff0090aea0c: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090aea10: ca1dff90  adrp	x10, #0xfffffff007466000
0xfffffff0090aea14: 4afd0f91  add	x10, x10, #0x3ff
0xfffffff0090aea18: 12000014  b	#0xfffffff0090aea60
0xfffffff0090aea1c: 483a8052  mov	w8, #0x1d2
0xfffffff0090aea20: a91dfff0  adrp	x9, #0xfffffff007465000
0xfffffff0090aea24: 29c13891  add	x9, x9, #0xe30
0xfffffff0090aea28: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090aea2c: 481dfff0  adrp	x8, #0xfffffff007459000
