; Candidate 6588
; ADRP+ADD at VM 0xfffffff008834520 (fileoff 0x1830520): page=0x1fe9df000 add_imm=0xe0f

0xfffffff0088344a0: 2d050051  sub	w13, w9, #1
0xfffffff0088344a4: 4a1d0011  add	w10, w10, #7
0xfffffff0088344a8: 7f010071  cmp	w11, #0
0xfffffff0088344ac: 9a018a1a  csel	w26, w12, w10, eq
0xfffffff0088344b0: 29018d1a  csel	w9, w9, w13, eq
0xfffffff0088344b4: 3dffff17  b	#0xfffffff0088341a8
0xfffffff0088344b8: 7f2303d5  pacibsp	
0xfffffff0088344bc: ffc302d1  sub	sp, sp, #0xb0
0xfffffff0088344c0: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff0088344c4: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff0088344c8: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff0088344cc: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff0088344d0: fd830291  add	x29, sp, #0xa0
0xfffffff0088344d4: f30300aa  mov	x19, x0
0xfffffff0088344d8: 200f8052  mov	w0, #0x79
0xfffffff0088344dc: 01018052  mov	w1, #8
0xfffffff0088344e0: bc1c0194  bl	#0xfffffff00887b7d0
0xfffffff0088344e4: 40020034  cbz	w0, #0xfffffff00883452c
0xfffffff0088344e8: 200f8052  mov	w0, #0x79
0xfffffff0088344ec: cb1c0194  bl	#0xfffffff00887b818
0xfffffff0088344f0: f50300aa  mov	x21, x0
0xfffffff0088344f4: 2eff0194  bl	#0xfffffff0088b41ac
0xfffffff0088344f8: f40300aa  mov	x20, x0
0xfffffff0088344fc: 00018052  mov	w0, #8
0xfffffff008834500: d41c0194  bl	#0xfffffff00887b850
0xfffffff008834504: 15070034  cbz	w21, #0xfffffff0088345e4
0xfffffff008834508: 684ffff0  adrp	x8, #0xfffffff007223000
0xfffffff00883450c: 08950291  add	x8, x8, #0xa5
0xfffffff008834510: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008834514: 280f8052  mov	w8, #0x79
0xfffffff008834518: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00883451c: f40300f9  str	x20, [sp]
0xfffffff008834520: e04efff0  adrp	x0, #0xfffffff007213000
0xfffffff008834524: 003c3891  add	x0, x0, #0xe0f
0xfffffff008834528: ce0bd697  bl	#0xfffffff007db7460
0xfffffff00883452c: 330800b4  cbz	x19, #0xfffffff008834630
0xfffffff008834530: 680240f9  ldr	x8, [x19]
0xfffffff008834534: c80100b4  cbz	x8, #0xfffffff00883456c
0xfffffff008834538: 690a40f9  ldr	x9, [x19, #0x10]
0xfffffff00883453c: 890100b4  cbz	x9, #0xfffffff00883456c
0xfffffff008834540: 09c88f52  mov	w9, #0x7e40
0xfffffff008834544: a900a072  movk	w9, #5, lsl #16
0xfffffff008834548: 77e20091  add	x23, x19, #0x38
0xfffffff00883454c: 6a6240b9  ldr	w10, [x19, #0x60]
0xfffffff008834550: 4a0a0034  cbz	w10, #0xfffffff008834698
0xfffffff008834554: ea0240f9  ldr	x10, [x23]
0xfffffff008834558: 5f0109eb  cmp	x10, x9
0xfffffff00883455c: ed090054  b.le	#0xfffffff008834698
0xfffffff008834560: 56008052  mov	w22, #2
0xfffffff008834564: 38008052  mov	w24, #1
0xfffffff008834568: 90000014  b	#0xfffffff0088347a8
0xfffffff00883456c: 200f8052  mov	w0, #0x79
0xfffffff008834570: 81008052  mov	w1, #4
0xfffffff008834574: 971c0194  bl	#0xfffffff00887b7d0
0xfffffff008834578: c00d0034  cbz	w0, #0xfffffff008834730
0xfffffff00883457c: 200f8052  mov	w0, #0x79
0xfffffff008834580: a61c0194  bl	#0xfffffff00887b818
0xfffffff008834584: f50300aa  mov	x21, x0
0xfffffff008834588: 09ff0194  bl	#0xfffffff0088b41ac
0xfffffff00883458c: f40300aa  mov	x20, x0
0xfffffff008834590: 80008052  mov	w0, #4
0xfffffff008834594: af1c0194  bl	#0xfffffff00887b850
0xfffffff008834598: 95090034  cbz	w21, #0xfffffff0088346c8
0xfffffff00883459c: 680240f9  ldr	x8, [x19]
