; Candidate 8183
; ADRP+ADD at VM 0xfffffff00889a898 (fileoff 0x1896898): page=0x1fe94f000 add_imm=0xe80

0xfffffff00889a818: a00f8052  mov	w0, #0x7d
0xfffffff00889a81c: ff83ff97  bl	#0xfffffff00887b818
0xfffffff00889a820: f60300aa  mov	x22, x0
0xfffffff00889a824: 62660094  bl	#0xfffffff0088b41ac
0xfffffff00889a828: f50300aa  mov	x21, x0
0xfffffff00889a82c: c0008052  mov	w0, #6
0xfffffff00889a830: 0884ff97  bl	#0xfffffff00887b850
0xfffffff00889a834: b6010034  cbz	w22, #0xfffffff00889a868
0xfffffff00889a838: 680240b9  ldr	w8, [x19]
0xfffffff00889a83c: e87f03a9  stp	x8, xzr, [sp, #0x30]
0xfffffff00889a840: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00889a844: a84cfff0  adrp	x8, #0xfffffff007231000
0xfffffff00889a848: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889a84c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889a850: a80f8052  mov	w8, #0x7d
0xfffffff00889a854: a04bfff0  adrp	x0, #0xfffffff007211000
0xfffffff00889a858: 00801c91  add	x0, x0, #0x720
0xfffffff00889a85c: f52300a9  stp	x21, x8, [sp]
0xfffffff00889a860: 0073d497  bl	#0xfffffff007db7460
0xfffffff00889a864: 15000014  b	#0xfffffff00889a8b8
0xfffffff00889a868: 51660094  bl	#0xfffffff0088b41ac
0xfffffff00889a86c: f50300aa  mov	x21, x0
0xfffffff00889a870: c0008052  mov	w0, #6
0xfffffff00889a874: f783ff97  bl	#0xfffffff00887b850
0xfffffff00889a878: 680240b9  ldr	w8, [x19]
0xfffffff00889a87c: e87f03a9  stp	x8, xzr, [sp, #0x30]
0xfffffff00889a880: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00889a884: a84cfff0  adrp	x8, #0xfffffff007231000
0xfffffff00889a888: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889a88c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889a890: a80f8052  mov	w8, #0x7d
0xfffffff00889a894: f52300a9  stp	x21, x8, [sp]
0xfffffff00889a898: 604afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889a89c: 00003a91  add	x0, x0, #0xe80
0xfffffff00889a8a0: 618bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00889a8a4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889a8a8: 234effd0  adrp	x3, #0xfffffff007260000
0xfffffff00889a8ac: 63ec1391  add	x3, x3, #0x4fb
0xfffffff00889a8b0: 02008052  mov	w2, #0
0xfffffff00889a8b4: 1f62ea97  bl	#0xfffffff008333130
0xfffffff00889a8b8: 00008052  mov	w0, #0
0xfffffff00889a8bc: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff00889a8c0: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff00889a8c4: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff00889a8c8: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff00889a8cc: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff00889a8d0: ff830291  add	sp, sp, #0xa0
0xfffffff00889a8d4: ff0f5fd6  retab	
0xfffffff00889a8d8: 7f2303d5  pacibsp	
0xfffffff00889a8dc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00889a8e0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00889a8e4: fd430091  add	x29, sp, #0x10
0xfffffff00889a8e8: f30300aa  mov	x19, x0
0xfffffff00889a8ec: 33ffff97  bl	#0xfffffff00889a5b8
0xfffffff00889a8f0: e00313aa  mov	x0, x19
0xfffffff00889a8f4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00889a8f8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00889a8fc: ff0f5fd6  retab	
0xfffffff00889a900: 7f2303d5  pacibsp	
0xfffffff00889a904: ffc304d1  sub	sp, sp, #0x130
0xfffffff00889a908: fc6f0da9  stp	x28, x27, [sp, #0xd0]
0xfffffff00889a90c: fa670ea9  stp	x26, x25, [sp, #0xe0]
0xfffffff00889a910: f85f0fa9  stp	x24, x23, [sp, #0xf0]
0xfffffff00889a914: f65710a9  stp	x22, x21, [sp, #0x100]
