; Candidate 8526
; ADRP+ADD at VM 0xfffffff0088af8dc (fileoff 0x18ab8dc): page=0x1fe93a000 add_imm=0xe80

0xfffffff0088af85c: 02e547fd  ldr	d2, [x8, #0xfc8]
0xfffffff0088af860: ff5200b9  str	wzr, [x23, #0x50]
0xfffffff0088af864: 00543f0f  shl	v0.2s, v0.2s, #0x1f
0xfffffff0088af868: 00a8a00e  cmlt	v0.2s, v0.2s, #0
0xfffffff0088af86c: 401c612e  bsl	v0.8b, v2.8b, v1.8b
0xfffffff0088af870: 04000014  b	#0xfffffff0088af880
0xfffffff0088af874: ff0a00b9  str	wzr, [x23, #8]
0xfffffff0088af878: ff5200b9  str	wzr, [x23, #0x50]
0xfffffff0088af87c: 00e6072f  movi	d0, #0xffffffff00000000
0xfffffff0088af880: e00200fd  str	d0, [x23]
0xfffffff0088af884: 1d000014  b	#0xfffffff0088af8f8
0xfffffff0088af888: 49120094  bl	#0xfffffff0088b41ac
0xfffffff0088af88c: f80300aa  mov	x24, x0
0xfffffff0088af890: 80008052  mov	w0, #4
0xfffffff0088af894: ef2fff97  bl	#0xfffffff00887b850
0xfffffff0088af898: e80316aa  mov	x8, x22
0xfffffff0088af89c: e90315aa  mov	x9, x21
0xfffffff0088af8a0: e8df04a9  stp	x8, x23, [sp, #0x48]
0xfffffff0088af8a4: e80314aa  mov	x8, x20
0xfffffff0088af8a8: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff0088af8ac: 284cffb0  adrp	x8, #0xfffffff007234000
0xfffffff0088af8b0: 08f90791  add	x8, x8, #0x1fe
0xfffffff0088af8b4: c9d88052  mov	w9, #0x6c6
0xfffffff0088af8b8: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088af8bc: 284cffb0  adrp	x8, #0xfffffff007234000
0xfffffff0088af8c0: 08dd0991  add	x8, x8, #0x277
0xfffffff0088af8c4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088af8c8: c80f8052  mov	w8, #0x7e
0xfffffff0088af8cc: a34dffb0  adrp	x3, #0xfffffff007264000
0xfffffff0088af8d0: 63f00c91  add	x3, x3, #0x33c
0xfffffff0088af8d4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088af8d8: f80300f9  str	x24, [sp]
0xfffffff0088af8dc: c049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088af8e0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088af8e4: c18affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088af8e8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088af8ec: 02008052  mov	w2, #0
0xfffffff0088af8f0: 100eea97  bl	#0xfffffff008333130
0xfffffff0088af8f4: 187d8012  mov	w24, #-0x3e9
0xfffffff0088af8f8: c00f8052  mov	w0, #0x7e
0xfffffff0088af8fc: e1008052  mov	w1, #7
0xfffffff0088af900: b42fff97  bl	#0xfffffff00887b7d0
0xfffffff0088af904: 40050034  cbz	w0, #0xfffffff0088af9ac
0xfffffff0088af908: c00f8052  mov	w0, #0x7e
0xfffffff0088af90c: c32fff97  bl	#0xfffffff00887b818
0xfffffff0088af910: fa0300aa  mov	x26, x0
0xfffffff0088af914: 26120094  bl	#0xfffffff0088b41ac
0xfffffff0088af918: f90300aa  mov	x25, x0
0xfffffff0088af91c: e0008052  mov	w0, #7
0xfffffff0088af920: cc2fff97  bl	#0xfffffff00887b850
0xfffffff0088af924: ba010034  cbz	w26, #0xfffffff0088af958
0xfffffff0088af928: f76304a9  stp	x23, x24, [sp, #0x40]
0xfffffff0088af92c: f55b03a9  stp	x21, x22, [sp, #0x30]
0xfffffff0088af930: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088af934: 284cffb0  adrp	x8, #0xfffffff007234000
0xfffffff0088af938: 08dd0991  add	x8, x8, #0x277
0xfffffff0088af93c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088af940: c80f8052  mov	w8, #0x7e
0xfffffff0088af944: 204cffb0  adrp	x0, #0xfffffff007234000
0xfffffff0088af948: 00280b91  add	x0, x0, #0x2ca
0xfffffff0088af94c: f92300a9  stp	x25, x8, [sp]
0xfffffff0088af950: c41ed497  bl	#0xfffffff007db7460
0xfffffff0088af954: 16000014  b	#0xfffffff0088af9ac
0xfffffff0088af958: 15120094  bl	#0xfffffff0088b41ac
