; Candidate 744
; ADRP+ADD at VM 0xfffffff0080623a4 (fileoff 0x105e3a4): page=0x1ff915000 add_imm=0xe70

0xfffffff008062324: a2338152  mov	w2, #0x99d
0xfffffff008062328: 3bf51094  bl	#0xfffffff00849f814
0xfffffff00806232c: e93d8152  mov	w9, #0x9ef
0xfffffff008062330: 6a80ff90  adrp	x10, #0xfffffff00706e000
0xfffffff008062334: 4ab92f91  add	x10, x10, #0xbee
0xfffffff008062338: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff00806233c: e82700a9  stp	x8, x9, [sp]
0xfffffff008062340: a081ff90  adrp	x0, #0xfffffff007096000
0xfffffff008062344: 00502c91  add	x0, x0, #0xb14
0xfffffff008062348: 71c81094  bl	#0xfffffff00849450c
0xfffffff00806234c: e93d8152  mov	w9, #0x9ef
0xfffffff008062350: 6a80ff90  adrp	x10, #0xfffffff00706e000
0xfffffff008062354: 4ab92f91  add	x10, x10, #0xbee
0xfffffff008062358: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff00806235c: e82700a9  stp	x8, x9, [sp]
0xfffffff008062360: a081ff90  adrp	x0, #0xfffffff007096000
0xfffffff008062364: 00982b91  add	x0, x0, #0xae6
0xfffffff008062368: 69c81094  bl	#0xfffffff00849450c
0xfffffff00806236c: 7f2303d5  pacibsp	
0xfffffff008062370: ff4301d1  sub	sp, sp, #0x50
0xfffffff008062374: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff008062378: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff00806237c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008062380: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008062384: fd030191  add	x29, sp, #0x40
0xfffffff008062388: 083440f9  ldr	x8, [x0, #0x68]
0xfffffff00806238c: e80a00b5  cbnz	x8, #0xfffffff0080624e8
0xfffffff008062390: f40300aa  mov	x20, x0
0xfffffff008062394: 084840b9  ldr	w8, [x0, #0x48]
0xfffffff008062398: 480b0035  cbnz	w8, #0xfffffff008062500
0xfffffff00806239c: f60302aa  mov	x22, x2
0xfffffff0080623a0: f50301aa  mov	x21, x1
0xfffffff0080623a4: a0c8ffb0  adrp	x0, #0xfffffff007977000
0xfffffff0080623a8: 00c03991  add	x0, x0, #0xe70
0xfffffff0080623ac: 81008052  mov	w1, #4
0xfffffff0080623b0: c912f597  bl	#0xfffffff007da6ed4
0xfffffff0080623b4: f30300aa  mov	x19, x0
0xfffffff0080623b8: 140000f9  str	x20, [x0]
0xfffffff0080623bc: 165008b9  str	w22, [x0, #0x850]
0xfffffff0080623c0: 885e40b9  ldr	w8, [x20, #0x5c]
0xfffffff0080623c4: 080808b9  str	w8, [x0, #0x808]
0xfffffff0080623c8: 08402091  add	x8, x0, #0x810
0xfffffff0080623cc: 1f0804f9  str	xzr, [x0, #0x810]
0xfffffff0080623d0: 080c04f9  str	x8, [x0, #0x818]
0xfffffff0080623d4: 08a02091  add	x8, x0, #0x828
0xfffffff0080623d8: 1f1404f9  str	xzr, [x0, #0x828]
0xfffffff0080623dc: 081804f9  str	x8, [x0, #0x830]
0xfffffff0080623e0: 08e02091  add	x8, x0, #0x838
0xfffffff0080623e4: 1f1c04f9  str	xzr, [x0, #0x838]
0xfffffff0080623e8: 082004f9  str	x8, [x0, #0x840]
0xfffffff0080623ec: 95001837  tbnz	w21, #3, #0xfffffff0080623fc
0xfffffff0080623f0: 680a0190  adrp	x8, #0xfffffff00a1ae000
0xfffffff0080623f4: 08a11091  add	x8, x8, #0x428
0xfffffff0080623f8: 06000014  b	#0xfffffff008062410
0xfffffff0080623fc: 68366039  ldrb	w8, [x19, #0x80d]
0xfffffff008062400: 08010032  orr	w8, w8, #1
0xfffffff008062404: 68362039  strb	w8, [x19, #0x80d]
0xfffffff008062408: 680a0190  adrp	x8, #0xfffffff00a1ae000
0xfffffff00806240c: 08411191  add	x8, x8, #0x450
0xfffffff008062410: 682e04f9  str	x8, [x19, #0x858]
0xfffffff008062414: 883640f9  ldr	x8, [x20, #0x68]
0xfffffff008062418: 080800b5  cbnz	x8, #0xfffffff008062518
0xfffffff00806241c: e8008052  mov	w8, #7
0xfffffff008062420: 884a00b9  str	w8, [x20, #0x48]
