; Candidate 1997
; ADRP+ADD at VM 0xfffffff008544784 (fileoff 0x1540784): page=0x1feb9d000 add_imm=0xe02

0xfffffff008544704: 01058052  mov	w1, #0x28
0xfffffff008544708: cc8bf697  bl	#0xfffffff0082e7638
0xfffffff00854470c: f30300aa  mov	x19, x0
0xfffffff008544710: 94ec00d0  adrp	x20, #0xfffffff00a2d6000
0xfffffff008544714: 94a20291  add	x20, x20, #0xa8
0xfffffff008544718: e10314aa  mov	x1, x20
0xfffffff00854471c: 148cf697  bl	#0xfffffff0082e776c
0xfffffff008544720: d0a2ffd0  adrp	x16, #0xfffffff00799e000
0xfffffff008544724: 10420c91  add	x16, x16, #0x310
0xfffffff008544728: 10420091  add	x16, x16, #0x10
0xfffffff00854472c: f10300aa  mov	x17, x0
0xfffffff008544730: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008544734: 300ac1da  pacda	x16, x17
0xfffffff008544738: 100000f9  str	x16, [x0]
0xfffffff00854473c: e00314aa  mov	x0, x20
0xfffffff008544740: 7d82f697  bl	#0xfffffff0082e5134
0xfffffff008544744: e00313aa  mov	x0, x19
0xfffffff008544748: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00854474c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008544750: ff0f5fd6  retab	
0xfffffff008544754: 5f2403d5  bti	c
0xfffffff008544758: e77ff617  b	#0xfffffff0082e46f4
0xfffffff00854475c: 5f2403d5  bti	c
0xfffffff008544760: e57ff617  b	#0xfffffff0082e46f4
0xfffffff008544764: 7f2303d5  pacibsp	
0xfffffff008544768: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00854476c: fd030091  mov	x29, sp
0xfffffff008544770: e05cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008544774: 00603791  add	x0, x0, #0xdd8
0xfffffff008544778: b092f797  bl	#0xfffffff008329238
0xfffffff00854477c: 88ec00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff008544780: 003d00f9  str	x0, [x8, #0x78]
0xfffffff008544784: e05cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008544788: 00083891  add	x0, x0, #0xe02
0xfffffff00854478c: ab92f797  bl	#0xfffffff008329238
0xfffffff008544790: 88ec00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff008544794: 004100f9  str	x0, [x8, #0x80]
0xfffffff008544798: e05cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00854479c: 00883891  add	x0, x0, #0xe22
0xfffffff0085447a0: a692f797  bl	#0xfffffff008329238
0xfffffff0085447a4: 88ec00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff0085447a8: 004500f9  str	x0, [x8, #0x88]
0xfffffff0085447ac: e05cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085447b0: 00e43891  add	x0, x0, #0xe39
0xfffffff0085447b4: a192f797  bl	#0xfffffff008329238
0xfffffff0085447b8: 88ec00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff0085447bc: 004900f9  str	x0, [x8, #0x90]
0xfffffff0085447c0: e05cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085447c4: 004c3991  add	x0, x0, #0xe53
0xfffffff0085447c8: 9c92f797  bl	#0xfffffff008329238
0xfffffff0085447cc: 88ec00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff0085447d0: 004d00f9  str	x0, [x8, #0x98]
0xfffffff0085447d4: e05cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085447d8: 00bc3991  add	x0, x0, #0xe6f
0xfffffff0085447dc: 9792f797  bl	#0xfffffff008329238
0xfffffff0085447e0: 88ec00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff0085447e4: 005100f9  str	x0, [x8, #0xa0]
0xfffffff0085447e8: 80ec00d0  adrp	x0, #0xfffffff00a2d6000
0xfffffff0085447ec: 00a00291  add	x0, x0, #0xa8
0xfffffff0085447f0: c15cfff0  adrp	x1, #0xfffffff0070df000
0xfffffff0085447f4: 21fc2791  add	x1, x1, #0x9ff
0xfffffff0085447f8: 82a2ffb0  adrp	x2, #0xfffffff007995000
0xfffffff0085447fc: 425845f9  ldr	x2, [x2, #0xab0]
0xfffffff008544800: 03058052  mov	w3, #0x28
