; Candidate 16580
; ADRP+ADD at VM 0xfffffff009ef1a0c (fileoff 0x2eeda0c): page=0x1fd95a000 add_imm=0xe1d

0xfffffff009ef198c: 00110035  cbnz	w0, #0xfffffff009ef1bac
0xfffffff009ef1990: e1f00094  bl	#0xfffffff009f2dd14
0xfffffff009ef1994: e21f40f9  ldr	x2, [sp, #0x38]
0xfffffff009ef1998: 400c00f9  str	x0, [x2, #0x18]
0xfffffff009ef199c: 88124179  ldrh	w8, [x20, #0x88]
0xfffffff009ef19a0: 087d0c53  lsr	w8, w8, #0xc
0xfffffff009ef19a4: 083d0011  add	w8, w8, #0xf
0xfffffff009ef19a8: 090d0012  and	w9, w8, #0xf
0xfffffff009ef19ac: 3f2d0071  cmp	w9, #0xb
0xfffffff009ef19b0: c8000054  b.hi	#0xfffffff009ef19c8
0xfffffff009ef19b4: 080d4092  and	x8, x8, #0xf
0xfffffff009ef19b8: 89c9feb0  adrp	x9, #0xfffffff007822000
0xfffffff009ef19bc: 29e11c91  add	x9, x9, #0x738
0xfffffff009ef19c0: 28796878  ldrh	w8, [x9, x8, lsl #1]
0xfffffff009ef19c4: 02000014  b	#0xfffffff009ef19cc
0xfffffff009ef19c8: 08008052  mov	w8, #0
0xfffffff009ef19cc: 48780079  strh	w8, [x2, #0x3c]
0xfffffff009ef19d0: e00313aa  mov	x0, x19
0xfffffff009ef19d4: 21008052  mov	w1, #1
0xfffffff009ef19d8: e30315aa  mov	x3, x21
0xfffffff009ef19dc: f2deff97  bl	#0xfffffff009ee95a4
0xfffffff009ef19e0: e0010034  cbz	w0, #0xfffffff009ef1a1c
0xfffffff009ef19e4: f90300aa  mov	x25, x0
0xfffffff009ef19e8: 083e8452  mov	w8, #0x21f0
0xfffffff009ef19ec: 6802088b  add	x8, x19, x8
0xfffffff009ef19f0: 890640f9  ldr	x9, [x20, #8]
0xfffffff009ef19f4: e9e701a9  stp	x9, x25, [sp, #0x18]
0xfffffff009ef19f8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ef19fc: c8cafed0  adrp	x8, #0xfffffff00784b000
0xfffffff009ef1a00: 08e53791  add	x8, x8, #0xdf9
0xfffffff009ef1a04: e9588552  mov	w9, #0x2ac7
0xfffffff009ef1a08: e82700a9  stp	x8, x9, [sp]
0xfffffff009ef1a0c: c0cafed0  adrp	x0, #0xfffffff00784b000
0xfffffff009ef1a10: 00743891  add	x0, x0, #0xe1d
0xfffffff009ef1a14: ac37fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ef1a18: 63000014  b	#0xfffffff009ef1ba4
0xfffffff009ef1a1c: d8820291  add	x24, x22, #0xa0
0xfffffff009ef1a20: e00318aa  mov	x0, x24
0xfffffff009ef1a24: e3ef7a97  bl	#0xfffffff007dad9b0
0xfffffff009ef1a28: e00316aa  mov	x0, x22
0xfffffff009ef1a2c: 61008052  mov	w1, #3
0xfffffff009ef1a30: e4dfff97  bl	#0xfffffff009ee99c0
0xfffffff009ef1a34: 88124179  ldrh	w8, [x20, #0x88]
0xfffffff009ef1a38: 080d1412  and	w8, w8, #0xf000
0xfffffff009ef1a3c: 1f114071  cmp	w8, #4, lsl #12
0xfffffff009ef1a40: 81000054  b.ne	#0xfffffff009ef1a50
0xfffffff009ef1a44: 606240f9  ldr	x0, [x19, #0xc0]
0xfffffff009ef1a48: e10316aa  mov	x1, x22
0xfffffff009ef1a4c: f4dfff97  bl	#0xfffffff009ee9a1c
0xfffffff009ef1a50: c87240b9  ldr	w8, [x22, #0x70]
0xfffffff009ef1a54: 08050011  add	w8, w8, #1
0xfffffff009ef1a58: c87200b9  str	w8, [x22, #0x70]
0xfffffff009ef1a5c: c87a40b9  ldr	w8, [x22, #0x78]
0xfffffff009ef1a60: 08050011  add	w8, w8, #1
0xfffffff009ef1a64: c87a00b9  str	w8, [x22, #0x78]
0xfffffff009ef1a68: e00313aa  mov	x0, x19
0xfffffff009ef1a6c: 21008052  mov	w1, #1
0xfffffff009ef1a70: e20316aa  mov	x2, x22
0xfffffff009ef1a74: e30315aa  mov	x3, x21
0xfffffff009ef1a78: ede5ff97  bl	#0xfffffff009eeb22c
0xfffffff009ef1a7c: a0030034  cbz	w0, #0xfffffff009ef1af0
0xfffffff009ef1a80: f90300aa  mov	x25, x0
0xfffffff009ef1a84: 083e8452  mov	w8, #0x21f0
0xfffffff009ef1a88: 7a02088b  add	x26, x19, x8
