; Candidate 16021
; ADRP+ADD at VM 0xfffffff009e03f0c (fileoff 0x2dfff0c): page=0x1fd8a0000 add_imm=0xe00

0xfffffff009e03e8c: f10308aa  mov	x17, x8
0xfffffff009e03e90: 7117f8f2  movk	x17, #0xc0bb, lsl #48
0xfffffff009e03e94: 300ac1da  pacda	x16, x17
0xfffffff009e03e98: f05706a9  stp	x16, x21, [sp, #0x60]
0xfffffff009e03e9c: e8078052  mov	w8, #0x3f
0xfffffff009e03ea0: e87b00b9  str	w8, [sp, #0x78]
0xfffffff009e03ea4: e8030291  add	x8, sp, #0x80
0xfffffff009e03ea8: e83b00f9  str	x8, [sp, #0x70]
0xfffffff009e03eac: e2030291  add	x2, sp, #0x80
0xfffffff009e03eb0: e3230191  add	x3, sp, #0x48
0xfffffff009e03eb4: e00315aa  mov	x0, x21
0xfffffff009e03eb8: e1078052  mov	w1, #0x3f
0xfffffff009e03ebc: 19470094  bl	#0xfffffff009e15b20
0xfffffff009e03ec0: 1f040071  cmp	w0, #1
0xfffffff009e03ec4: a0010054  b.eq	#0xfffffff009e03ef8
0xfffffff009e03ec8: c0010035  cbnz	w0, #0xfffffff009e03f00
0xfffffff009e03ecc: c80240f9  ldr	x8, [x22]
0xfffffff009e03ed0: a80000b5  cbnz	x8, #0xfffffff009e03ee4
0xfffffff009e03ed4: c80640f9  ldr	x8, [x22, #8]
0xfffffff009e03ed8: 680000b5  cbnz	x8, #0xfffffff009e03ee4
0xfffffff009e03edc: c80a40f9  ldr	x8, [x22, #0x10]
0xfffffff009e03ee0: 880200b4  cbz	x8, #0xfffffff009e03f30
0xfffffff009e03ee4: 13008052  mov	w19, #0
0xfffffff009e03ee8: 960200f9  str	x22, [x20]
0xfffffff009e03eec: b5ffff17  b	#0xfffffff009e03dc0
0xfffffff009e03ef0: 732a0051  sub	w19, w19, #0xa
0xfffffff009e03ef4: 0f000014  b	#0xfffffff009e03f30
0xfffffff009e03ef8: 736e0011  add	w19, w19, #0x1b
0xfffffff009e03efc: 0d000014  b	#0xfffffff009e03f30
0xfffffff009e03f00: a8d0fed0  adrp	x8, #0xfffffff007819000
0xfffffff009e03f04: 08413191  add	x8, x8, #0xc50
0xfffffff009e03f08: e80300a9  stp	x8, x0, [sp]
0xfffffff009e03f0c: 00c5fe90  adrp	x0, #0xfffffff0076a3000
0xfffffff009e03f10: 00003891  add	x0, x0, #0xe00
0xfffffff009e03f14: 21f9fed0  adrp	x1, #0xfffffff007d29000
0xfffffff009e03f18: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e03f1c: e3d0fe90  adrp	x3, #0xfffffff00781f000
0xfffffff009e03f20: 63a43691  add	x3, x3, #0xda9
0xfffffff009e03f24: 42008052  mov	w2, #2
0xfffffff009e03f28: 82bc9497  bl	#0xfffffff008333130
0xfffffff009e03f2c: 730a0011  add	w19, w19, #2
0xfffffff009e03f30: e00315aa  mov	x0, x21
0xfffffff009e03f34: aa800094  bl	#0xfffffff009e241dc
0xfffffff009e03f38: e0030191  add	x0, sp, #0x40
0xfffffff009e03f3c: 9f128e97  bl	#0xfffffff0081889b8
0xfffffff009e03f40: b60000b4  cbz	x22, #0xfffffff009e03f54
0xfffffff009e03f44: 40f9fed0  adrp	x0, #0xfffffff007d2d000
0xfffffff009e03f48: 00e00c91  add	x0, x0, #0x338
0xfffffff009e03f4c: e10316aa  mov	x1, x22
0xfffffff009e03f50: ef499597  bl	#0xfffffff00835670c
0xfffffff009e03f54: a8835bf8  ldur	x8, [x29, #-0x48]
0xfffffff009e03f58: 29f9fed0  adrp	x9, #0xfffffff007d29000
0xfffffff009e03f5c: 296544f9  ldr	x9, [x9, #0x8c8]
0xfffffff009e03f60: 290140f9  ldr	x9, [x9]
0xfffffff009e03f64: 3f0108eb  cmp	x9, x8
0xfffffff009e03f68: 21010054  b.ne	#0xfffffff009e03f8c
0xfffffff009e03f6c: e00313aa  mov	x0, x19
0xfffffff009e03f70: ff830891  add	sp, sp, #0x220
0xfffffff009e03f74: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009e03f78: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009e03f7c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009e03f80: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff009e03f84: fc6fc5a8  ldp	x28, x27, [sp], #0x50
0xfffffff009e03f88: ff0f5fd6  retab	
