; Candidate 9152
; ADRP+ADD at VM 0xfffffff0089fe8d0 (fileoff 0x19fa8d0): page=0x1fe896000 add_imm=0xdf4

0xfffffff0089fe850: fdc30191  add	x29, sp, #0x70
0xfffffff0089fe854: f40302aa  mov	x20, x2
0xfffffff0089fe858: f30301aa  mov	x19, x1
0xfffffff0089fe85c: ff2f00b9  str	wzr, [sp, #0x2c]
0xfffffff0089fe860: 75000094  bl	#0xfffffff0089fea34
0xfffffff0089fe864: 200200b4  cbz	x0, #0xfffffff0089fe8a8
0xfffffff0089fe868: f50300aa  mov	x21, x0
0xfffffff0089fe86c: 810a40a9  ldp	x1, x2, [x20]
0xfffffff0089fe870: fbf3cd97  bl	#0xfffffff007d7b85c
0xfffffff0089fe874: 68028052  mov	w8, #0x13
0xfffffff0089fe878: e82b00b9  str	w8, [sp, #0x28]
0xfffffff0089fe87c: f57f03a9  stp	x21, xzr, [sp, #0x30]
0xfffffff0089fe880: ff2300f9  str	xzr, [sp, #0x40]
0xfffffff0089fe884: f34b00b9  str	w19, [sp, #0x48]
0xfffffff0089fe888: e0a30091  add	x0, sp, #0x28
0xfffffff0089fe88c: 81048052  mov	w1, #0x24
0xfffffff0089fe890: 8477ce97  bl	#0xfffffff007d9c6a0
0xfffffff0089fe894: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0089fe898: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0089fe89c: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0089fe8a0: ff030291  add	sp, sp, #0x80
0xfffffff0089fe8a4: ff0f5fd6  retab	
0xfffffff0089fe8a8: c844ff90  adrp	x8, #0xfffffff007296000
0xfffffff0089fe8ac: 08391b91  add	x8, x8, #0x6ce
0xfffffff0089fe8b0: 69498052  mov	w9, #0x24b
0xfffffff0089fe8b4: aa44ffd0  adrp	x10, #0xfffffff007294000
0xfffffff0089fe8b8: 4a853991  add	x10, x10, #0xe61
0xfffffff0089fe8bc: cb44ff90  adrp	x11, #0xfffffff007296000
0xfffffff0089fe8c0: 6b212191  add	x11, x11, #0x848
0xfffffff0089fe8c4: e9ff01a9  stp	x9, xzr, [sp, #0x18]
0xfffffff0089fe8c8: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0089fe8cc: eb0300f9  str	x11, [sp]
0xfffffff0089fe8d0: a044ffd0  adrp	x0, #0xfffffff007294000
0xfffffff0089fe8d4: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089fe8d8: e2e2ce97  bl	#0xfffffff007db7460
0xfffffff0089fe8dc: 205b8052  mov	w0, #0x2d9
0xfffffff0089fe8e0: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0089fe8e4: ecffff17  b	#0xfffffff0089fe894
0xfffffff0089fe8e8: 7f2303d5  pacibsp	
0xfffffff0089fe8ec: ff8301d1  sub	sp, sp, #0x60
0xfffffff0089fe8f0: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0089fe8f4: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0089fe8f8: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0089fe8fc: fd430191  add	x29, sp, #0x50
0xfffffff0089fe900: f30300aa  mov	x19, x0
0xfffffff0089fe904: 14588052  mov	w20, #0x2c0
0xfffffff0089fe908: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff0089fe90c: 15200491  add	x21, x0, #0x108
0xfffffff0089fe910: 28008052  mov	w8, #1
0xfffffff0089fe914: a802e8b8  ldaddal	w8, w8, [x21]
0xfffffff0089fe918: 2802f037  tbnz	w8, #0x1e, #0xfffffff0089fe95c
0xfffffff0089fe91c: 3f140071  cmp	w1, #5
0xfffffff0089fe920: 62060054  b.hs	#0xfffffff0089fe9ec
0xfffffff0089fe924: 4882fff0  adrp	x8, #0xfffffff007a49000
0xfffffff0089fe928: 08a12c91  add	x8, x8, #0xb28
0xfffffff0089fe92c: 09038052  mov	w9, #0x18
0xfffffff0089fe930: 2320a99b  umaddl	x3, w1, w9, x8
0xfffffff0089fe934: 4882ffb0  adrp	x8, #0xfffffff007a47000
0xfffffff0089fe938: 082d47f9  ldr	x8, [x8, #0xe58]
0xfffffff0089fe93c: 09411591  add	x9, x8, #0x550
0xfffffff0089fe940: 08a942f9  ldr	x8, [x8, #0x550]
0xfffffff0089fe944: e00313aa  mov	x0, x19
0xfffffff0089fe948: e40313aa  mov	x4, x19
0xfffffff0089fe94c: f10309aa  mov	x17, x9
