; Candidate 2855
; ADRP+ADD at VM 0xfffffff0086ee3f8 (fileoff 0x16ea3f8): page=0x1fea43000 add_imm=0xd90

0xfffffff0086ee378: 1f8103f1  cmp	x8, #0xe0
0xfffffff0086ee37c: 21fcff54  b.ne	#0xfffffff0086ee300
0xfffffff0086ee380: 080340f9  ldr	x8, [x24]
0xfffffff0086ee384: 1fe100b9  str	wzr, [x8, #0xe0]
0xfffffff0086ee388: 280340f9  ldr	x8, [x25]
0xfffffff0086ee38c: 08e152b9  ldr	w8, [x8, #0x12e0]
0xfffffff0086ee390: 085d1812  and	w8, w8, #0xffffff00
0xfffffff0086ee394: 090340f9  ldr	x9, [x24]
0xfffffff0086ee398: 2a814339  ldrb	w10, [x9, #0xe0]
0xfffffff0086ee39c: 4801082a  orr	w8, w10, w8
0xfffffff0086ee3a0: 28e100b9  str	w8, [x9, #0xe0]
0xfffffff0086ee3a4: 080340f9  ldr	x8, [x24]
0xfffffff0086ee3a8: 1f9501b9  str	wzr, [x8, #0x194]
0xfffffff0086ee3ac: 280340f9  ldr	x8, [x25]
0xfffffff0086ee3b0: 08e552b9  ldr	w8, [x8, #0x12e4]
0xfffffff0086ee3b4: 090340f9  ldr	x9, [x24]
0xfffffff0086ee3b8: 2a9541b9  ldr	w10, [x9, #0x194]
0xfffffff0086ee3bc: 0a250033  bfxil	w10, w8, #0, #0xa
0xfffffff0086ee3c0: 2a9501b9  str	w10, [x9, #0x194]
0xfffffff0086ee3c4: 080340f9  ldr	x8, [x24]
0xfffffff0086ee3c8: 1fe500b9  str	wzr, [x8, #0xe4]
0xfffffff0086ee3cc: 080340f9  ldr	x8, [x24]
0xfffffff0086ee3d0: 1f9901b9  str	wzr, [x8, #0x198]
0xfffffff0086ee3d4: 28ca4039  ldrb	w8, [x17, #0x32]
0xfffffff0086ee3d8: c8031836  tbz	w8, #3, #0xfffffff0086ee450
0xfffffff0086ee3dc: 280340f9  ldr	x8, [x25]
0xfffffff0086ee3e0: 083146f9  ldr	x8, [x8, #0xc60]
0xfffffff0086ee3e4: 1f1d40f2  tst	x8, #0xff
0xfffffff0086ee3e8: a0010054  b.eq	#0xfffffff0086ee41c
0xfffffff0086ee3ec: 0953ffb0  adrp	x9, #0xfffffff00714f000
0xfffffff0086ee3f0: 29bd1991  add	x9, x9, #0x66f
0xfffffff0086ee3f4: e92300a9  stp	x9, x8, [sp]
0xfffffff0086ee3f8: 0052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086ee3fc: 00403691  add	x0, x0, #0xd90
0xfffffff0086ee400: 6198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086ee404: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086ee408: 2352ffd0  adrp	x3, #0xfffffff007134000
0xfffffff0086ee40c: 63a80d91  add	x3, x3, #0x36a
0xfffffff0086ee410: 02008052  mov	w2, #0
0xfffffff0086ee414: 4713f197  bl	#0xfffffff008333130
0xfffffff0086ee418: 10030014  b	#0xfffffff0086ef058
0xfffffff0086ee41c: 095d1812  and	w9, w8, #0xffffff00
0xfffffff0086ee420: 0a0340f9  ldr	x10, [x24]
0xfffffff0086ee424: 4b914339  ldrb	w11, [x10, #0xe4]
0xfffffff0086ee428: 6901092a  orr	w9, w11, w9
0xfffffff0086ee42c: 49e500b9  str	w9, [x10, #0xe4]
0xfffffff0086ee430: 090340f9  ldr	x9, [x24]
0xfffffff0086ee434: 3f9901b9  str	wzr, [x9, #0x198]
0xfffffff0086ee438: 08fd60d3  lsr	x8, x8, #0x20
0xfffffff0086ee43c: 090340f9  ldr	x9, [x24]
0xfffffff0086ee440: 2a9941b9  ldr	w10, [x9, #0x198]
0xfffffff0086ee444: 4a7d0a53  lsr	w10, w10, #0xa
0xfffffff0086ee448: 48551633  bfi	w8, w10, #0xa, #0x16
0xfffffff0086ee44c: 289901b9  str	w8, [x9, #0x198]
0xfffffff0086ee450: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff0086ee454: 1f1901b9  str	wzr, [x8, #0x118]
0xfffffff0086ee458: 689a45b9  ldr	w8, [x19, #0x598]
0xfffffff0086ee45c: 085d1812  and	w8, w8, #0xffffff00
0xfffffff0086ee460: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff0086ee464: 2a614439  ldrb	w10, [x9, #0x118]
0xfffffff0086ee468: 4801082a  orr	w8, w10, w8
0xfffffff0086ee46c: 281901b9  str	w8, [x9, #0x118]
0xfffffff0086ee470: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff0086ee474: 1fcd01b9  str	wzr, [x8, #0x1cc]
