; Candidate 7720
; ADRP+ADD at VM 0xfffffff00887b154 (fileoff 0x1877154): page=0x1fe96e000 add_imm=0xe80

0xfffffff00887b0d4: 940215cb  sub	x20, x20, x21
0xfffffff00887b0d8: 601640f9  ldr	x0, [x19, #0x28]
0xfffffff00887b0dc: 01008052  mov	w1, #0
0xfffffff00887b0e0: ab410094  bl	#0xfffffff00888b78c
0xfffffff00887b0e4: 8002008b  add	x0, x20, x0
0xfffffff00887b0e8: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff00887b0ec: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff00887b0f0: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff00887b0f4: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff00887b0f8: ff830291  add	sp, sp, #0xa0
0xfffffff00887b0fc: ff0f5fd6  retab	
0xfffffff00887b100: 2be40094  bl	#0xfffffff0088b41ac
0xfffffff00887b104: f60300aa  mov	x22, x0
0xfffffff00887b108: 80008052  mov	w0, #4
0xfffffff00887b10c: d1010094  bl	#0xfffffff00887b850
0xfffffff00887b110: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff00887b114: f56305a9  stp	x21, x24, [sp, #0x50]
0xfffffff00887b118: e85304a9  stp	x8, x20, [sp, #0x40]
0xfffffff00887b11c: 884dff90  adrp	x8, #0xfffffff00722b000
0xfffffff00887b120: 08c13491  add	x8, x8, #0xd30
0xfffffff00887b124: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00887b128: 08548052  mov	w8, #0x2a0
0xfffffff00887b12c: 894dff90  adrp	x9, #0xfffffff00722b000
0xfffffff00887b130: 29813491  add	x9, x9, #0xd20
0xfffffff00887b134: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00887b138: 884dff90  adrp	x8, #0xfffffff00722b000
0xfffffff00887b13c: 08053c91  add	x8, x8, #0xf01
0xfffffff00887b140: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887b144: a80b8052  mov	w8, #0x5d
0xfffffff00887b148: e34efff0  adrp	x3, #0xfffffff00725a000
0xfffffff00887b14c: 63ec2791  add	x3, x3, #0x9fb
0xfffffff00887b150: f62300a9  stp	x22, x8, [sp]
0xfffffff00887b154: 604bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887b158: 00003a91  add	x0, x0, #0xe80
0xfffffff00887b15c: 618cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00887b160: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887b164: 02008052  mov	w2, #0
0xfffffff00887b168: f2dfea97  bl	#0xfffffff008333130
0xfffffff00887b16c: 000080d2  mov	x0, #0
0xfffffff00887b170: deffff17  b	#0xfffffff00887b0e8
0xfffffff00887b174: 7f2303d5  pacibsp	
0xfffffff00887b178: ff8302d1  sub	sp, sp, #0xa0
0xfffffff00887b17c: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff00887b180: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff00887b184: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff00887b188: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff00887b18c: fd430291  add	x29, sp, #0x90
0xfffffff00887b190: f30300aa  mov	x19, x0
0xfffffff00887b194: 000080d2  mov	x0, #0
0xfffffff00887b198: 810600b4  cbz	x1, #0xfffffff00887b268
0xfffffff00887b19c: 681640f9  ldr	x8, [x19, #0x28]
0xfffffff00887b1a0: 480600b4  cbz	x8, #0xfffffff00887b268
0xfffffff00887b1a4: f40301aa  mov	x20, x1
0xfffffff00887b1a8: e00308aa  mov	x0, x8
0xfffffff00887b1ac: 01008052  mov	w1, #0
0xfffffff00887b1b0: 77410094  bl	#0xfffffff00888b78c
0xfffffff00887b1b4: f50300aa  mov	x21, x0
0xfffffff00887b1b8: 601640f9  ldr	x0, [x19, #0x28]
0xfffffff00887b1bc: d0410094  bl	#0xfffffff00888b8fc
0xfffffff00887b1c0: b8c2208b  add	x24, x21, w0, sxtw
0xfffffff00887b1c4: bf0214eb  cmp	x21, x20
0xfffffff00887b1c8: 009354fa  ccmp	x24, x20, #0, ls
0xfffffff00887b1cc: 28040054  b.hi	#0xfffffff00887b250
0xfffffff00887b1d0: a00b8052  mov	w0, #0x5d
