; Candidate 16282
; ADRP+ADD at VM 0xfffffff009e434a8 (fileoff 0x2e3f4a8): page=0x1fd9e4000 add_imm=0xce7

0xfffffff009e43428: e00317aa  mov	x0, x23
0xfffffff009e4342c: 59257c97  bl	#0xfffffff007d4c990
0xfffffff009e43430: c80640f9  ldr	x8, [x22, #8]
0xfffffff009e43434: 680a00f9  str	x8, [x19, #0x10]
0xfffffff009e43438: a80240f9  ldr	x8, [x21]
0xfffffff009e4343c: 00c140f9  ldr	x0, [x8, #0x180]
0xfffffff009e43440: c2e50194  bl	#0xfffffff009ebcb48
0xfffffff009e43444: a0030034  cbz	w0, #0xfffffff009e434b8
0xfffffff009e43448: a84a4079  ldrh	w8, [x21, #0x24]
0xfffffff009e4344c: 1f350071  cmp	w8, #0xd
0xfffffff009e43450: 81010054  b.ne	#0xfffffff009e43480
0xfffffff009e43454: 083e8452  mov	w8, #0x21f0
0xfffffff009e43458: a802088b  add	x8, x21, x8
0xfffffff009e4345c: 0b000014  b	#0xfffffff009e43488
0xfffffff009e43460: 892c00b0  adrp	x9, #0xfffffff00a3d4000
0xfffffff009e43464: 29e12791  add	x9, x9, #0x9f8
0xfffffff009e43468: 2a008052  mov	w10, #1
0xfffffff009e4346c: 29012ab8  ldadd	w10, w9, [x9]
0xfffffff009e43470: 892c00b0  adrp	x9, #0xfffffff00a3d4000
0xfffffff009e43474: 280105f9  str	x8, [x9, #0xa00]
0xfffffff009e43478: 97018052  mov	w23, #0xc
0xfffffff009e4347c: ceffff17  b	#0xfffffff009e433b4
0xfffffff009e43480: a86640f9  ldr	x8, [x21, #0xc8]
0xfffffff009e43484: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009e43488: 690a40f9  ldr	x9, [x19, #0x10]
0xfffffff009e4348c: ca2e44a9  ldp	x10, x11, [x22, #0x40]
0xfffffff009e43490: eaaf02a9  stp	x10, x11, [sp, #0x28]
0xfffffff009e43494: f7a701a9  stp	x23, x9, [sp, #0x18]
0xfffffff009e43498: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e4349c: 28cffe90  adrp	x8, #0xfffffff007827000
0xfffffff009e434a0: 08c93491  add	x8, x8, #0xd32
0xfffffff009e434a4: 09228052  mov	w9, #0x110
0xfffffff009e434a8: 20cffe90  adrp	x0, #0xfffffff007827000
0xfffffff009e434ac: 009c3391  add	x0, x0, #0xce7
0xfffffff009e434b0: e82700a9  stp	x8, x9, [sp]
0xfffffff009e434b4: e3f00094  bl	#0xfffffff009e7f840
0xfffffff009e434b8: e00315aa  mov	x0, x21
0xfffffff009e434bc: 61008052  mov	w1, #3
0xfffffff009e434c0: e20316aa  mov	x2, x22
0xfffffff009e434c4: e30314aa  mov	x3, x20
0xfffffff009e434c8: 37980294  bl	#0xfffffff009ee95a4
0xfffffff009e434cc: a0010034  cbz	w0, #0xfffffff009e43500
0xfffffff009e434d0: f70300aa  mov	x23, x0
0xfffffff009e434d4: 083e8452  mov	w8, #0x21f0
0xfffffff009e434d8: a802088b  add	x8, x21, x8
0xfffffff009e434dc: 49238052  mov	w9, #0x11a
0xfffffff009e434e0: 2acffe90  adrp	x10, #0xfffffff007827000
0xfffffff009e434e4: 4ac93491  add	x10, x10, #0xd32
0xfffffff009e434e8: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e434ec: e85f01a9  stp	x8, x23, [sp, #0x10]
0xfffffff009e434f0: 20cffe90  adrp	x0, #0xfffffff007827000
0xfffffff009e434f4: 00e03591  add	x0, x0, #0xd78
0xfffffff009e434f8: f3f00094  bl	#0xfffffff009e7f8c4
0xfffffff009e434fc: 17000014  b	#0xfffffff009e43558
0xfffffff009e43500: e00315aa  mov	x0, x21
0xfffffff009e43504: 61008052  mov	w1, #3
0xfffffff009e43508: e20313aa  mov	x2, x19
0xfffffff009e4350c: e30314aa  mov	x3, x20
0xfffffff009e43510: 25980294  bl	#0xfffffff009ee95a4
0xfffffff009e43514: f70300aa  mov	x23, x0
0xfffffff009e43518: 00020034  cbz	w0, #0xfffffff009e43558
0xfffffff009e4351c: 083e8452  mov	w8, #0x21f0
0xfffffff009e43520: a802088b  add	x8, x21, x8
0xfffffff009e43524: c9228052  mov	w9, #0x116
