; Candidate 6213
; ADRP+ADD at VM 0xfffffff00881ab08 (fileoff 0x1816b08): page=0x1fe9cf000 add_imm=0xe80

0xfffffff00881aa88: c93e8152  mov	w9, #0x9f6
0xfffffff00881aa8c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881aa90: 2850ffb0  adrp	x8, #0xfffffff00721f000
0xfffffff00881aa94: 08911491  add	x8, x8, #0x524
0xfffffff00881aa98: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881aa9c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00881aaa0: 880e8052  mov	w8, #0x74
0xfffffff00881aaa4: 2050ffb0  adrp	x0, #0xfffffff00721f000
0xfffffff00881aaa8: 00400d91  add	x0, x0, #0x350
0xfffffff00881aaac: 1b010014  b	#0xfffffff00881af18
0xfffffff00881aab0: bf650294  bl	#0xfffffff0088b41ac
0xfffffff00881aab4: f90300aa  mov	x25, x0
0xfffffff00881aab8: 80008052  mov	w0, #4
0xfffffff00881aabc: 65830194  bl	#0xfffffff00887b850
0xfffffff00881aac0: e80318aa  mov	x8, x24
0xfffffff00881aac4: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881aac8: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff00881aacc: e80316aa  mov	x8, x22
0xfffffff00881aad0: e8d704a9  stp	x8, x21, [sp, #0x48]
0xfffffff00881aad4: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff00881aad8: a84fffd0  adrp	x8, #0xfffffff007210000
0xfffffff00881aadc: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881aae0: 293e8152  mov	w9, #0x9f1
0xfffffff00881aae4: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881aae8: 2850ffb0  adrp	x8, #0xfffffff00721f000
0xfffffff00881aaec: 08911491  add	x8, x8, #0x524
0xfffffff00881aaf0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881aaf4: 880e8052  mov	w8, #0x74
0xfffffff00881aaf8: 6351fff0  adrp	x3, #0xfffffff007249000
0xfffffff00881aafc: 63ec1591  add	x3, x3, #0x57b
0xfffffff00881ab00: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881ab04: f90300f9  str	x25, [sp]
0xfffffff00881ab08: 604efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881ab0c: 00003a91  add	x0, x0, #0xe80
0xfffffff00881ab10: 618fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00881ab14: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881ab18: 02008052  mov	w2, #0
0xfffffff00881ab1c: 8561ec97  bl	#0xfffffff008333130
0xfffffff00881ab20: 67fdff17  b	#0xfffffff00881a0bc
0xfffffff00881ab24: 685241b9  ldr	w8, [x19, #0x150]
0xfffffff00881ab28: 1f050071  cmp	w8, #1
0xfffffff00881ab2c: 2b020054  b.lt	#0xfffffff00881ab70
0xfffffff00881ab30: 1c0080d2  mov	x28, #0
0xfffffff00881ab34: 1b2e8052  mov	w27, #0x170
0xfffffff00881ab38: 601e40f9  ldr	x0, [x19, #0x38]
0xfffffff00881ab3c: 626a7bb8  ldr	w2, [x19, x27]
0xfffffff00881ab40: e10319aa  mov	x1, x25
0xfffffff00881ab44: f7e30194  bl	#0xfffffff008893b20
0xfffffff00881ab48: a0090035  cbnz	w0, #0xfffffff00881ac7c
0xfffffff00881ab4c: e9031caa  mov	x9, x28
0xfffffff00881ab50: 89070091  add	x9, x28, #1
0xfffffff00881ab54: 685281b9  ldrsw	x8, [x19, #0x150]
0xfffffff00881ab58: 0a499752  mov	w10, #0xba48
0xfffffff00881ab5c: 6a00a072  movk	w10, #3, lsl #16
0xfffffff00881ab60: 7b030a8b  add	x27, x27, x10
0xfffffff00881ab64: fc0309aa  mov	x28, x9
0xfffffff00881ab68: 3f0108eb  cmp	x9, x8
0xfffffff00881ab6c: 6bfeff54  b.lt	#0xfffffff00881ab38
0xfffffff00881ab70: 601e40f9  ldr	x0, [x19, #0x38]
0xfffffff00881ab74: 611240f9  ldr	x1, [x19, #0x20]
0xfffffff00881ab78: 635a40b9  ldr	w3, [x19, #0x58]
0xfffffff00881ab7c: e23b40f9  ldr	x2, [sp, #0x70]
0xfffffff00881ab80: e40319aa  mov	x4, x25
0xfffffff00881ab84: b2db0194  bl	#0xfffffff008891a4c
