; Candidate 4731
; ADRP+ADD at VM 0xfffffff0087c3ed4 (fileoff 0x17bfed4): page=0x1fe96e000 add_imm=0xd90

0xfffffff0087c3e54: 290140f9  ldr	x9, [x9]
0xfffffff0087c3e58: 3f0108eb  cmp	x9, x8
0xfffffff0087c3e5c: e12f0054  b.ne	#0xfffffff0087c4458
0xfffffff0087c3e60: e00317aa  mov	x0, x23
0xfffffff0087c3e64: ff031e91  add	sp, sp, #0x780
0xfffffff0087c3e68: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0087c3e6c: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0087c3e70: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0087c3e74: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0087c3e78: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff0087c3e7c: fc6f41a9  ldp	x28, x27, [sp, #0x10]
0xfffffff0087c3e80: e923c76c  ldp	d9, d8, [sp], #0x70
0xfffffff0087c3e84: ff0f5fd6  retab	
0xfffffff0087c3e88: 17feff34  cbz	w23, #0xfffffff0087c3e48
0xfffffff0087c3e8c: 7f8e3cb9  str	wzr, [x19, #0x3c8c]
0xfffffff0087c3e90: eeffff17  b	#0xfffffff0087c3e48
0xfffffff0087c3e94: 49d28252  mov	w9, #0x1692
0xfffffff0087c3e98: 684cffb0  adrp	x8, #0xfffffff007150000
0xfffffff0087c3e9c: 08310c91  add	x8, x8, #0x30c
0xfffffff0087c3ea0: e82700a9  stp	x8, x9, [sp]
0xfffffff0087c3ea4: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3ea8: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3eac: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c3eb0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c3eb4: 434cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087c3eb8: 63700d91  add	x3, x3, #0x35c
0xfffffff0087c3ebc: 02008052  mov	w2, #0
0xfffffff0087c3ec0: 9cbced97  bl	#0xfffffff008333130
0xfffffff0087c3ec4: e0ffff17  b	#0xfffffff0087c3e44
0xfffffff0087c3ec8: e84cff90  adrp	x8, #0xfffffff00715f000
0xfffffff0087c3ecc: 08ad0691  add	x8, x8, #0x1ab
0xfffffff0087c3ed0: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c3ed4: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3ed8: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3edc: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c3ee0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c3ee4: 434cfff0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c3ee8: 63100f91  add	x3, x3, #0x3c4
0xfffffff0087c3eec: 02008052  mov	w2, #0
0xfffffff0087c3ef0: 90bced97  bl	#0xfffffff008333130
0xfffffff0087c3ef4: d4ffff17  b	#0xfffffff0087c3e44
0xfffffff0087c3ef8: e84cff90  adrp	x8, #0xfffffff00715f000
0xfffffff0087c3efc: 08ad0691  add	x8, x8, #0x1ab
0xfffffff0087c3f00: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c3f04: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3f08: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3f0c: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c3f10: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c3f14: 434cfff0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c3f18: 63a80f91  add	x3, x3, #0x3ea
0xfffffff0087c3f1c: 02008052  mov	w2, #0
0xfffffff0087c3f20: 84bced97  bl	#0xfffffff008333130
0xfffffff0087c3f24: c8ffff17  b	#0xfffffff0087c3e44
0xfffffff0087c3f28: c8948752  mov	w8, #0x3ca6
0xfffffff0087c3f2c: 686a6838  ldrb	w8, [x19, x8]
0xfffffff0087c3f30: a8f80736  tbz	w8, #0, #0xfffffff0087c3e44
0xfffffff0087c3f34: f98300a9  stp	x25, x0, [sp, #8]
0xfffffff0087c3f38: e84cff90  adrp	x8, #0xfffffff00715f000
0xfffffff0087c3f3c: 08ad0691  add	x8, x8, #0x1ab
0xfffffff0087c3f40: e80300f9  str	x8, [sp]
0xfffffff0087c3f44: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3f48: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3f4c: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c3f50: 21dc41f9  ldr	x1, [x1, #0x3b8]
