; Candidate 5583
; ADRP+ADD at VM 0xfffffff0087fa054 (fileoff 0x17f6054): page=0x1fe9ef000 add_imm=0xe80

0xfffffff0087f9fd4: 60000034  cbz	w0, #0xfffffff0087f9fe0
0xfffffff0087f9fd8: 14008052  mov	w20, #0
0xfffffff0087f9fdc: 27000014  b	#0xfffffff0087fa078
0xfffffff0087f9fe0: 60a20091  add	x0, x19, #0x28
0xfffffff0087f9fe4: 9bd60094  bl	#0xfffffff00882fa50
0xfffffff0087f9fe8: 400500b4  cbz	x0, #0xfffffff0087fa090
0xfffffff0087f9fec: 081040b9  ldr	w8, [x0, #0x10]
0xfffffff0087f9ff0: 147e8012  mov	w20, #-0x3f1
0xfffffff0087f9ff4: 1f210071  cmp	w8, #8
0xfffffff0087f9ff8: 01040054  b.ne	#0xfffffff0087fa078
0xfffffff0087f9ffc: 680a40f9  ldr	x8, [x19, #0x10]
0xfffffff0087fa000: 024840f9  ldr	x2, [x0, #0x90]
0xfffffff0087fa004: e00308aa  mov	x0, x8
0xfffffff0087fa008: e10315aa  mov	x1, x21
0xfffffff0087fa00c: ed9d0094  bl	#0xfffffff0088217c0
0xfffffff0087fa010: 1f000071  cmp	w0, #0
0xfffffff0087fa014: f403941a  csel	w20, wzr, w20, eq
0xfffffff0087fa018: 18000014  b	#0xfffffff0087fa078
0xfffffff0087fa01c: 64e80294  bl	#0xfffffff0088b41ac
0xfffffff0087fa020: f30300aa  mov	x19, x0
0xfffffff0087fa024: 80008052  mov	w0, #4
0xfffffff0087fa028: 0a060294  bl	#0xfffffff00887b850
0xfffffff0087fa02c: c850fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087fa030: 08691591  add	x8, x8, #0x55a
0xfffffff0087fa034: 49198152  mov	w9, #0x8ca
0xfffffff0087fa038: e8ff02a9  stp	x8, xzr, [sp, #0x28]
0xfffffff0087fa03c: e850ffb0  adrp	x8, #0xfffffff007217000
0xfffffff0087fa040: 084d0491  add	x8, x8, #0x113
0xfffffff0087fa044: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087fa048: e80e8052  mov	w8, #0x77
0xfffffff0087fa04c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087fa050: f30300f9  str	x19, [sp]
0xfffffff0087fa054: 604ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fa058: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fa05c: 6190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087fa060: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fa064: 2352fff0  adrp	x3, #0xfffffff007241000
0xfffffff0087fa068: 639c2891  add	x3, x3, #0xa27
0xfffffff0087fa06c: 02008052  mov	w2, #0
0xfffffff0087fa070: 30e4ec97  bl	#0xfffffff008333130
0xfffffff0087fa074: 147d8012  mov	w20, #-0x3e9
0xfffffff0087fa078: e00314aa  mov	x0, x20
0xfffffff0087fa07c: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0087fa080: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0087fa084: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0087fa088: ffc30191  add	sp, sp, #0x70
0xfffffff0087fa08c: ff0f5fd6  retab	
0xfffffff0087fa090: 147e8012  mov	w20, #-0x3f1
0xfffffff0087fa094: f9ffff17  b	#0xfffffff0087fa078
0xfffffff0087fa098: 5f2403d5  bti	c
0xfffffff0087fa09c: 000840f9  ldr	x0, [x0, #0x10]
0xfffffff0087fa0a0: a4980014  b	#0xfffffff008820330
0xfffffff0087fa0a4: 5f2403d5  bti	c
0xfffffff0087fa0a8: 000840f9  ldr	x0, [x0, #0x10]
0xfffffff0087fa0ac: bc980014  b	#0xfffffff00882039c
0xfffffff0087fa0b0: 5f2403d5  bti	c
0xfffffff0087fa0b4: 0b0080d2  mov	x11, #0
0xfffffff0087fa0b8: 09008052  mov	w9, #0
0xfffffff0087fa0bc: 0a0840f9  ldr	x10, [x0, #0x10]
0xfffffff0087fa0c0: 48cd4491  add	x8, x10, #0x133, lsl #12
0xfffffff0087fa0c4: 08811891  add	x8, x8, #0x620
0xfffffff0087fa0c8: 4c294491  add	x12, x10, #0x10a, lsl #12
0xfffffff0087fa0cc: 8c110b91  add	x12, x12, #0x2c4
0xfffffff0087fa0d0: 4a254491  add	x10, x10, #0x109, lsl #12
