; Candidate 13202
; ADRP+ADD at VM 0xfffffff00921fa70 (fileoff 0x221ba70): page=0x1fe290000 add_imm=0xd60

0xfffffff00921f9f0: f50300a9  stp	x21, x0, [sp]
0xfffffff00921f9f4: 8114ff90  adrp	x1, #0xfffffff0074af000
0xfffffff00921f9f8: 21903491  add	x1, x1, #0xd24
0xfffffff00921f9fc: 00008052  mov	w0, #0
0xfffffff00921fa00: 400a0094  bl	#0xfffffff009222300
0xfffffff00921fa04: e8870090  adrp	x8, #0xfffffff00a31b000
0xfffffff00921fa08: 08353891  add	x8, x8, #0xe0d
0xfffffff00921fa0c: 08014039  ldrb	w8, [x8]
0xfffffff00921fa10: 68030035  cbnz	w8, #0xfffffff00921fa7c
0xfffffff00921fa14: 688e40b9  ldr	w8, [x19, #0x8c]
0xfffffff00921fa18: 09050011  add	w9, w8, #1
0xfffffff00921fa1c: 698e00b9  str	w9, [x19, #0x8c]
0xfffffff00921fa20: 1f250071  cmp	w8, #9
0xfffffff00921fa24: c8020054  b.hi	#0xfffffff00921fa7c
0xfffffff00921fa28: 700240f9  ldr	x16, [x19]
0xfffffff00921fa2c: f10313aa  mov	x17, x19
0xfffffff00921fa30: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00921fa34: 301ac1da  autda	x16, x17
0xfffffff00921fa38: 113d80d2  mov	x17, #0x1e8
0xfffffff00921fa3c: 1002118b  add	x16, x16, x17
0xfffffff00921fa40: 080240f9  ldr	x8, [x16]
0xfffffff00921fa44: e90310aa  mov	x9, x16
0xfffffff00921fa48: e00313aa  mov	x0, x19
0xfffffff00921fa4c: 010080d2  mov	x1, #0
0xfffffff00921fa50: f10309aa  mov	x17, x9
0xfffffff00921fa54: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00921fa58: 11093fd7  blraa	x8, x17
0xfffffff00921fa5c: e8288052  mov	w8, #0x147
0xfffffff00921fa60: 6914ffb0  adrp	x9, #0xfffffff0074ac000
0xfffffff00921fa64: 29453491  add	x9, x9, #0xd11
0xfffffff00921fa68: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00921fa6c: e00300f9  str	x0, [sp]
0xfffffff00921fa70: 8014ff90  adrp	x0, #0xfffffff0074af000
0xfffffff00921fa74: 00803591  add	x0, x0, #0xd60
0xfffffff00921fa78: 6addc497  bl	#0xfffffff008357020
0xfffffff00921fa7c: 700240f9  ldr	x16, [x19]
0xfffffff00921fa80: f10313aa  mov	x17, x19
0xfffffff00921fa84: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00921fa88: 301ac1da  autda	x16, x17
0xfffffff00921fa8c: 115780d2  mov	x17, #0x2b8
0xfffffff00921fa90: 1002118b  add	x16, x16, x17
0xfffffff00921fa94: 080240f9  ldr	x8, [x16]
0xfffffff00921fa98: e90310aa  mov	x9, x16
0xfffffff00921fa9c: e00313aa  mov	x0, x19
0xfffffff00921faa0: e10314aa  mov	x1, x20
0xfffffff00921faa4: f10309aa  mov	x17, x9
0xfffffff00921faa8: b110f6f2  movk	x17, #0xb085, lsl #48
0xfffffff00921faac: 11093fd7  blraa	x8, x17
0xfffffff00921fab0: 00008052  mov	w0, #0
0xfffffff00921fab4: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00921fab8: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00921fabc: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00921fac0: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00921fac4: ff030291  add	sp, sp, #0x80
0xfffffff00921fac8: ff0f5fd6  retab	
0xfffffff00921facc: 605a40f9  ldr	x0, [x19, #0xb0]
0xfffffff00921fad0: 400100b4  cbz	x0, #0xfffffff00921faf8
0xfffffff00921fad4: 100040f9  ldr	x16, [x0]
0xfffffff00921fad8: f10300aa  mov	x17, x0
0xfffffff00921fadc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00921fae0: 301ac1da  autda	x16, x17
0xfffffff00921fae4: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00921fae8: e90310aa  mov	x9, x16
0xfffffff00921faec: f10309aa  mov	x17, x9
