; Candidate 11386
; ADRP+ADD at VM 0xfffffff008f06ee8 (fileoff 0x1f02ee8): page=0x1fe507000 add_imm=0xdf0

0xfffffff008f06e68: 090d4ef8  ldr	x9, [x8, #0xe0]!
0xfffffff008f06e6c: f10308aa  mov	x17, x8
0xfffffff008f06e70: b12ae7f2  movk	x17, #0x3955, lsl #48
0xfffffff008f06e74: 31093fd7  blraa	x9, x17
0xfffffff008f06e78: 60170036  tbz	w0, #0, #0xfffffff008f07164
0xfffffff008f06e7c: 000080d2  mov	x0, #0
0xfffffff008f06e80: d4a0d597  bl	#0xfffffff00846f1d0
0xfffffff008f06e84: 1f000071  cmp	w0, #0
0xfffffff008f06e88: e8079f1a  cset	w8, ne
0xfffffff008f06e8c: 68e20339  strb	w8, [x19, #0xf8]
0xfffffff008f06e90: 8860ffb0  adrp	x8, #0xfffffff007b17000
0xfffffff008f06e94: 08c11891  add	x8, x8, #0x630
0xfffffff008f06e98: 010140f9  ldr	x1, [x8]
0xfffffff008f06e9c: e00314aa  mov	x0, x20
0xfffffff008f06ea0: 9573cf97  bl	#0xfffffff0082e3cf4
0xfffffff008f06ea4: 602200f9  str	x0, [x19, #0x40]
0xfffffff008f06ea8: 601700b4  cbz	x0, #0xfffffff008f07194
0xfffffff008f06eac: 4742d197  bl	#0xfffffff0083577c8
0xfffffff008f06eb0: 602e00f9  str	x0, [x19, #0x58]
0xfffffff008f06eb4: 001600b4  cbz	x0, #0xfffffff008f07174
0xfffffff008f06eb8: 4442d197  bl	#0xfffffff0083577c8
0xfffffff008f06ebc: 603200f9  str	x0, [x19, #0x60]
0xfffffff008f06ec0: a01500b4  cbz	x0, #0xfffffff008f07174
0xfffffff008f06ec4: 100000b0  adrp	x16, #0xfffffff008f07000
0xfffffff008f06ec8: 10f20b91  add	x16, x16, #0x2fc
0xfffffff008f06ecc: 117b8ed2  mov	x17, #0x73d8
0xfffffff008f06ed0: 3002c1da  pacia	x16, x17
0xfffffff008f06ed4: e00310aa  mov	x0, x16
0xfffffff008f06ed8: e10313aa  mov	x1, x19
0xfffffff008f06edc: 8ca4bb97  bl	#0xfffffff007df010c
0xfffffff008f06ee0: 603600f9  str	x0, [x19, #0x68]
0xfffffff008f06ee4: c01700b4  cbz	x0, #0xfffffff008f071dc
0xfffffff008f06ee8: 2028fff0  adrp	x0, #0xfffffff00740d000
0xfffffff008f06eec: 00c03791  add	x0, x0, #0xdf0
0xfffffff008f06ef0: 21008052  mov	w1, #1
0xfffffff008f06ef4: 42008052  mov	w2, #2
0xfffffff008f06ef8: 03008052  mov	w3, #0
0xfffffff008f06efc: a6e0d297  bl	#0xfffffff0083bf194
0xfffffff008f06f00: 607200f9  str	x0, [x19, #0xe0]
0xfffffff008f06f04: 60008052  mov	w0, #3
0xfffffff008f06f08: 41008052  mov	w1, #2
0xfffffff008f06f0c: 02008052  mov	w2, #0
0xfffffff008f06f10: 66e0d297  bl	#0xfffffff0083bf0a8
0xfffffff008f06f14: 607600f9  str	x0, [x19, #0xe8]
0xfffffff008f06f18: 00888052  mov	w0, #0x440
0xfffffff008f06f1c: 21008052  mov	w1, #1
0xfffffff008f06f20: 02008052  mov	w2, #0
0xfffffff008f06f24: 61e0d297  bl	#0xfffffff0083bf0a8
0xfffffff008f06f28: 607a00f9  str	x0, [x19, #0xf0]
0xfffffff008f06f2c: 687240f9  ldr	x8, [x19, #0xe0]
0xfffffff008f06f30: 681400b4  cbz	x8, #0xfffffff008f071bc
0xfffffff008f06f34: 687640f9  ldr	x8, [x19, #0xe8]
0xfffffff008f06f38: 281400b4  cbz	x8, #0xfffffff008f071bc
0xfffffff008f06f3c: 001400b4  cbz	x0, #0xfffffff008f071bc
0xfffffff008f06f40: 100040f9  ldr	x16, [x0]
0xfffffff008f06f44: f10300aa  mov	x17, x0
0xfffffff008f06f48: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f06f4c: 301ac1da  autda	x16, x17
0xfffffff008f06f50: 112680d2  mov	x17, #0x130
0xfffffff008f06f54: 1002118b  add	x16, x16, x17
0xfffffff008f06f58: 080240f9  ldr	x8, [x16]
0xfffffff008f06f5c: e90310aa  mov	x9, x16
0xfffffff008f06f60: 01888052  mov	w1, #0x440
0xfffffff008f06f64: f10309aa  mov	x17, x9
