; Candidate 11004
; ADRP+ADD at VM 0xfffffff008df0b28 (fileoff 0x1decb28): page=0x1fe5d4000 add_imm=0xd21

0xfffffff008df0aa8: e9466c39  ldrb	w9, [x23, #0xb11]
0xfffffff008df0aac: 1f01096b  cmp	w8, w9
0xfffffff008df0ab0: e3000054  b.lo	#0xfffffff008df0acc
0xfffffff008df0ab4: 687e4093  sxtw	x8, w19
0xfffffff008df0ab8: f65700a9  stp	x22, x21, [sp]
0xfffffff008df0abc: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008df0ac0: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df0ac4: 00503591  add	x0, x0, #0xd54
0xfffffff008df0ac8: 5699d597  bl	#0xfffffff008357020
0xfffffff008df0acc: e00313aa  mov	x0, x19
0xfffffff008df0ad0: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008df0ad4: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008df0ad8: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008df0adc: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008df0ae0: ff830191  add	sp, sp, #0x60
0xfffffff008df0ae4: ff0f5fd6  retab	
0xfffffff008df0ae8: 7f2303d5  pacibsp	
0xfffffff008df0aec: ff0301d1  sub	sp, sp, #0x40
0xfffffff008df0af0: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008df0af4: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008df0af8: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008df0afc: fdc30091  add	x29, sp, #0x30
0xfffffff008df0b00: f30300aa  mov	x19, x0
0xfffffff008df0b04: 76a800f0  adrp	x22, #0xfffffff00a2ff000
0xfffffff008df0b08: c8466c39  ldrb	w8, [x22, #0xb11]
0xfffffff008df0b0c: b42eff90  adrp	x20, #0xfffffff0073c4000
0xfffffff008df0b10: 94d63e91  add	x20, x20, #0xfb5
0xfffffff008df0b14: b52eff90  adrp	x21, #0xfffffff0073c4000
0xfffffff008df0b18: b5ca3491  add	x21, x21, #0xd32
0xfffffff008df0b1c: 1f290071  cmp	w8, #0xa
0xfffffff008df0b20: a8000054  b.hi	#0xfffffff008df0b34
0xfffffff008df0b24: f55300a9  stp	x21, x20, [sp]
0xfffffff008df0b28: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df0b2c: 00843491  add	x0, x0, #0xd21
0xfffffff008df0b30: 3c99d597  bl	#0xfffffff008357020
0xfffffff008df0b34: e00313aa  mov	x0, x19
0xfffffff008df0b38: 90beff97  bl	#0xfffffff008de0578
0xfffffff008df0b3c: c8466c39  ldrb	w8, [x22, #0xb11]
0xfffffff008df0b40: 1f290071  cmp	w8, #0xa
0xfffffff008df0b44: a8000054  b.hi	#0xfffffff008df0b58
0xfffffff008df0b48: f55300a9  stp	x21, x20, [sp]
0xfffffff008df0b4c: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df0b50: 00343f91  add	x0, x0, #0xfcd
0xfffffff008df0b54: 3399d597  bl	#0xfffffff008357020
0xfffffff008df0b58: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008df0b5c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008df0b60: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008df0b64: ff030191  add	sp, sp, #0x40
0xfffffff008df0b68: ff0f5fd6  retab	
0xfffffff008df0b6c: 7f2303d5  pacibsp	
0xfffffff008df0b70: ff4301d1  sub	sp, sp, #0x50
0xfffffff008df0b74: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008df0b78: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008df0b7c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008df0b80: fd030191  add	x29, sp, #0x40
0xfffffff008df0b84: 76a800f0  adrp	x22, #0xfffffff00a2ff000
0xfffffff008df0b88: c8466c39  ldrb	w8, [x22, #0xb11]
0xfffffff008df0b8c: b42eff90  adrp	x20, #0xfffffff0073c4000
0xfffffff008df0b90: 94863f91  add	x20, x20, #0xfe1
0xfffffff008df0b94: b52eff90  adrp	x21, #0xfffffff0073c4000
0xfffffff008df0b98: b5ca3491  add	x21, x21, #0xd32
0xfffffff008df0b9c: 1f290071  cmp	w8, #0xa
0xfffffff008df0ba0: a8000054  b.hi	#0xfffffff008df0bb4
0xfffffff008df0ba4: f55300a9  stp	x21, x20, [sp]
