; Candidate 6636
; ADRP+ADD at VM 0xfffffff008836e6c (fileoff 0x1832e6c): page=0x1fe9b3000 add_imm=0xe80

0xfffffff008836dec: 6ad640b9  ldr	w10, [x19, #0xd4]
0xfffffff008836df0: ea2304a9  stp	x10, x8, [sp, #0x40]
0xfffffff008836df4: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff008836df8: c84effd0  adrp	x8, #0xfffffff007210000
0xfffffff008836dfc: 08b92791  add	x8, x8, #0x9ee
0xfffffff008836e00: a97b8052  mov	w9, #0x3dd
0xfffffff008836e04: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008836e08: 684fffb0  adrp	x8, #0xfffffff007223000
0xfffffff008836e0c: 08890991  add	x8, x8, #0x262
0xfffffff008836e10: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008836e14: 280f8052  mov	w8, #0x79
0xfffffff008836e18: 604fffb0  adrp	x0, #0xfffffff007223000
0xfffffff008836e1c: 00500c91  add	x0, x0, #0x314
0xfffffff008836e20: 78000014  b	#0xfffffff008837000
0xfffffff008836e24: e2f40194  bl	#0xfffffff0088b41ac
0xfffffff008836e28: f50300aa  mov	x21, x0
0xfffffff008836e2c: 80008052  mov	w0, #4
0xfffffff008836e30: 88120194  bl	#0xfffffff00887b850
0xfffffff008836e34: e80314aa  mov	x8, x20
0xfffffff008836e38: 690a40b9  ldr	w9, [x19, #8]
0xfffffff008836e3c: 6ad240b9  ldr	w10, [x19, #0xd0]
0xfffffff008836e40: ea2304a9  stp	x10, x8, [sp, #0x40]
0xfffffff008836e44: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff008836e48: c84effd0  adrp	x8, #0xfffffff007210000
0xfffffff008836e4c: 08b92791  add	x8, x8, #0x9ee
0xfffffff008836e50: c97a8052  mov	w9, #0x3d6
0xfffffff008836e54: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008836e58: 684fffb0  adrp	x8, #0xfffffff007223000
0xfffffff008836e5c: 08890991  add	x8, x8, #0x262
0xfffffff008836e60: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008836e64: 280f8052  mov	w8, #0x79
0xfffffff008836e68: f52300a9  stp	x21, x8, [sp]
0xfffffff008836e6c: 804dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008836e70: 00003a91  add	x0, x0, #0xe80
0xfffffff008836e74: 818effd0  adrp	x1, #0xfffffff007a08000
0xfffffff008836e78: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008836e7c: c350ff90  adrp	x3, #0xfffffff00724e000
0xfffffff008836e80: 63580b91  add	x3, x3, #0x2d6
0xfffffff008836e84: 02008052  mov	w2, #0
0xfffffff008836e88: aaf0eb97  bl	#0xfffffff008333130
0xfffffff008836e8c: 5f000014  b	#0xfffffff008837008
0xfffffff008836e90: 680240f9  ldr	x8, [x19]
0xfffffff008836e94: 014140b9  ldr	w1, [x8, #0x40]
0xfffffff008836e98: 61da00b9  str	w1, [x19, #0xd8]
0xfffffff008836e9c: 600a40f9  ldr	x0, [x19, #0x10]
0xfffffff008836ea0: eefdff97  bl	#0xfffffff008836658
0xfffffff008836ea4: 20070034  cbz	w0, #0xfffffff008836f88
0xfffffff008836ea8: f40300aa  mov	x20, x0
0xfffffff008836eac: 200f8052  mov	w0, #0x79
0xfffffff008836eb0: 81008052  mov	w1, #4
0xfffffff008836eb4: 47120194  bl	#0xfffffff00887b7d0
0xfffffff008836eb8: 800a0034  cbz	w0, #0xfffffff008837008
0xfffffff008836ebc: 200f8052  mov	w0, #0x79
0xfffffff008836ec0: 56120194  bl	#0xfffffff00887b818
0xfffffff008836ec4: f60300aa  mov	x22, x0
0xfffffff008836ec8: b9f40194  bl	#0xfffffff0088b41ac
0xfffffff008836ecc: f50300aa  mov	x21, x0
0xfffffff008836ed0: 80008052  mov	w0, #4
0xfffffff008836ed4: 5f120194  bl	#0xfffffff00887b850
0xfffffff008836ed8: 960f0034  cbz	w22, #0xfffffff0088370c8
0xfffffff008836edc: e80314aa  mov	x8, x20
0xfffffff008836ee0: 690a40b9  ldr	w9, [x19, #8]
0xfffffff008836ee4: 6ada40b9  ldr	w10, [x19, #0xd8]
0xfffffff008836ee8: ea2304a9  stp	x10, x8, [sp, #0x40]
