; Candidate 3800
; ADRP+ADD at VM 0xfffffff00875e488 (fileoff 0x175a488): page=0x1fe9d3000 add_imm=0xd90

0xfffffff00875e408: 084940b9  ldr	w8, [x8, #0x48]
0xfffffff00875e40c: 2a1542b9  ldr	w10, [x9, #0x214]
0xfffffff00875e410: 087d0653  lsr	w8, w8, #6
0xfffffff00875e414: 0a311e33  bfi	w10, w8, #2, #0xd
0xfffffff00875e418: 2a1502b9  str	w10, [x9, #0x214]
0xfffffff00875e41c: 0d000014  b	#0xfffffff00875e450
0xfffffff00875e420: 884fffb0  adrp	x8, #0xfffffff00714f000
0xfffffff00875e424: 08bd1991  add	x8, x8, #0x66f
0xfffffff00875e428: e82700a9  stp	x8, x9, [sp]
0xfffffff00875e42c: 804efff0  adrp	x0, #0xfffffff007131000
0xfffffff00875e430: 00403691  add	x0, x0, #0xd90
0xfffffff00875e434: e194fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00875e438: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00875e43c: 234fff90  adrp	x3, #0xfffffff007142000
0xfffffff00875e440: 63640691  add	x3, x3, #0x199
0xfffffff00875e444: 02008052  mov	w2, #0
0xfffffff00875e448: 3a53ef97  bl	#0xfffffff008333130
0xfffffff00875e44c: 00008012  mov	w0, #-1
0xfffffff00875e450: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff00875e454: e994fff0  adrp	x9, #0xfffffff0079fd000
0xfffffff00875e458: 29d941f9  ldr	x9, [x9, #0x3b0]
0xfffffff00875e45c: 290140f9  ldr	x9, [x9]
0xfffffff00875e460: 3f0108eb  cmp	x9, x8
0xfffffff00875e464: e1040054  b.ne	#0xfffffff00875e500
0xfffffff00875e468: fd7b57a9  ldp	x29, x30, [sp, #0x170]
0xfffffff00875e46c: f44f56a9  ldp	x20, x19, [sp, #0x160]
0xfffffff00875e470: f65755a9  ldp	x22, x21, [sp, #0x150]
0xfffffff00875e474: f85f54a9  ldp	x24, x23, [sp, #0x140]
0xfffffff00875e478: fa6753a9  ldp	x26, x25, [sp, #0x130]
0xfffffff00875e47c: fc6f52a9  ldp	x28, x27, [sp, #0x120]
0xfffffff00875e480: ff030691  add	sp, sp, #0x180
0xfffffff00875e484: ff0f5fd6  retab	
0xfffffff00875e488: 804efff0  adrp	x0, #0xfffffff007131000
0xfffffff00875e48c: 00403691  add	x0, x0, #0xd90
0xfffffff00875e490: e194fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00875e494: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00875e498: 234fff90  adrp	x3, #0xfffffff007142000
0xfffffff00875e49c: 63980591  add	x3, x3, #0x166
0xfffffff00875e4a0: 02008052  mov	w2, #0
0xfffffff00875e4a4: 2353ef97  bl	#0xfffffff008333130
0xfffffff00875e4a8: e9ffff17  b	#0xfffffff00875e44c
0xfffffff00875e4ac: 489b4079  ldrh	w8, [x26, #0x4c]
0xfffffff00875e4b0: 49934079  ldrh	w9, [x26, #0x48]
0xfffffff00875e4b4: 0801094b  sub	w8, w8, w9
0xfffffff00875e4b8: 01050011  add	w1, w8, #1
0xfffffff00875e4bc: 08168152  mov	w8, #0x8b0
0xfffffff00875e4c0: 0846089b  madd	x8, x16, x8, x17
0xfffffff00875e4c4: 02194039  ldrb	w2, [x8, #6]
0xfffffff00875e4c8: 031d4039  ldrb	w3, [x8, #7]
0xfffffff00875e4cc: 04a548b9  ldr	w4, [x8, #0x8a4]
0xfffffff00875e4d0: e00313aa  mov	x0, x19
0xfffffff00875e4d4: 0c000094  bl	#0xfffffff00875e504
0xfffffff00875e4d8: a0fbff35  cbnz	w0, #0xfffffff00875e44c
0xfffffff00875e4dc: 68f26eb9  ldr	w8, [x19, #0x2ef0]
0xfffffff00875e4e0: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff00875e4e4: 2a1142b9  ldr	w10, [x9, #0x210]
0xfffffff00875e4e8: 087d0653  lsr	w8, w8, #6
0xfffffff00875e4ec: 0a2d1e33  bfi	w10, w8, #2, #0xc
0xfffffff00875e4f0: 2a1102b9  str	w10, [x9, #0x210]
0xfffffff00875e4f4: 68f66eb9  ldr	w8, [x19, #0x2ef4]
0xfffffff00875e4f8: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff00875e4fc: c4ffff17  b	#0xfffffff00875e40c
0xfffffff00875e500: 53fed797  bl	#0xfffffff007d5de4c
0xfffffff00875e504: 7f2303d5  pacibsp	
