; Candidate 12178
; ADRP+ADD at VM 0xfffffff00904f37c (fileoff 0x204b37c): page=0x1fe3fa000 add_imm=0xec0

0xfffffff00904f2fc: 605601f9  str	x0, [x19, #0x2a8]
0xfffffff00904f300: 203400b4  cbz	x0, #0xfffffff00904f984
0xfffffff00904f304: c01fffd0  adrp	x0, #0xfffffff007449000
0xfffffff00904f308: 00643a91  add	x0, x0, #0xe99
0xfffffff00904f30c: 010080d2  mov	x1, #0
0xfffffff00904f310: 6beccc97  bl	#0xfffffff00838a4bc
0xfffffff00904f314: f60300aa  mov	x22, x0
0xfffffff00904f318: 750100b4  cbz	x21, #0xfffffff00904f344
0xfffffff00904f31c: b00240f9  ldr	x16, [x21]
0xfffffff00904f320: f10315aa  mov	x17, x21
0xfffffff00904f324: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00904f328: 301ac1da  autda	x16, x17
0xfffffff00904f32c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00904f330: e90310aa  mov	x9, x16
0xfffffff00904f334: e00315aa  mov	x0, x21
0xfffffff00904f338: f10309aa  mov	x17, x9
0xfffffff00904f33c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00904f340: 11093fd7  blraa	x8, x17
0xfffffff00904f344: 400340f9  ldr	x0, [x26]
0xfffffff00904f348: c41fff90  adrp	x4, #0xfffffff007447000
0xfffffff00904f34c: 84442691  add	x4, x4, #0x991
0xfffffff00904f350: 70fffff0  adrp	x16, #0xfffffff00903e000
0xfffffff00904f354: 10f23791  add	x16, x16, #0xdfc
0xfffffff00904f358: d13b8cd2  mov	x17, #0x61de
0xfffffff00904f35c: 3002c1da  pacia	x16, x17
0xfffffff00904f360: e20310aa  mov	x2, x16
0xfffffff00904f364: e10316aa  mov	x1, x22
0xfffffff00904f368: e30313aa  mov	x3, x19
0xfffffff00904f36c: 05008052  mov	w5, #0
0xfffffff00904f370: f9e9cc97  bl	#0xfffffff008389b54
0xfffffff00904f374: 608604f9  str	x0, [x19, #0x908]
0xfffffff00904f378: 803100b4  cbz	x0, #0xfffffff00904f9a8
0xfffffff00904f37c: c01fffd0  adrp	x0, #0xfffffff007449000
0xfffffff00904f380: 00003b91  add	x0, x0, #0xec0
0xfffffff00904f384: 010080d2  mov	x1, #0
0xfffffff00904f388: 4deccc97  bl	#0xfffffff00838a4bc
0xfffffff00904f38c: f50300aa  mov	x21, x0
0xfffffff00904f390: 760100b4  cbz	x22, #0xfffffff00904f3bc
0xfffffff00904f394: d00240f9  ldr	x16, [x22]
0xfffffff00904f398: f10316aa  mov	x17, x22
0xfffffff00904f39c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00904f3a0: 301ac1da  autda	x16, x17
0xfffffff00904f3a4: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00904f3a8: e90310aa  mov	x9, x16
0xfffffff00904f3ac: e00316aa  mov	x0, x22
0xfffffff00904f3b0: f10309aa  mov	x17, x9
0xfffffff00904f3b4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00904f3b8: 11093fd7  blraa	x8, x17
0xfffffff00904f3bc: 400340f9  ldr	x0, [x26]
0xfffffff00904f3c0: c41fff90  adrp	x4, #0xfffffff007447000
0xfffffff00904f3c4: 84142791  add	x4, x4, #0x9c5
0xfffffff00904f3c8: 70fffff0  adrp	x16, #0xfffffff00903e000
0xfffffff00904f3cc: 10f23791  add	x16, x16, #0xdfc
0xfffffff00904f3d0: d13b8cd2  mov	x17, #0x61de
0xfffffff00904f3d4: 3002c1da  pacia	x16, x17
0xfffffff00904f3d8: e20310aa  mov	x2, x16
0xfffffff00904f3dc: e10315aa  mov	x1, x21
0xfffffff00904f3e0: e30313aa  mov	x3, x19
0xfffffff00904f3e4: 05008052  mov	w5, #0
0xfffffff00904f3e8: dbe9cc97  bl	#0xfffffff008389b54
0xfffffff00904f3ec: 608a04f9  str	x0, [x19, #0x910]
0xfffffff00904f3f0: e02e00b4  cbz	x0, #0xfffffff00904f9cc
0xfffffff00904f3f4: c01fff90  adrp	x0, #0xfffffff007447000
0xfffffff00904f3f8: 00382f91  add	x0, x0, #0xbce
