; Candidate 7522
; ADRP+ADD at VM 0xfffffff008871318 (fileoff 0x186d318): page=0x1fe9a2000 add_imm=0xe0f

0xfffffff008871298: e00314aa  mov	x0, x20
0xfffffff00887129c: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0088712a0: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0088712a4: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0088712a8: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0088712ac: ff030291  add	sp, sp, #0x80
0xfffffff0088712b0: ff0f5fd6  retab	
0xfffffff0088712b4: 7f2303d5  pacibsp	
0xfffffff0088712b8: ff8301d1  sub	sp, sp, #0x60
0xfffffff0088712bc: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0088712c0: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0088712c4: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0088712c8: fd430191  add	x29, sp, #0x50
0xfffffff0088712cc: f30300aa  mov	x19, x0
0xfffffff0088712d0: 600b8052  mov	w0, #0x5b
0xfffffff0088712d4: 01018052  mov	w1, #8
0xfffffff0088712d8: 3e290094  bl	#0xfffffff00887b7d0
0xfffffff0088712dc: a0040034  cbz	w0, #0xfffffff008871370
0xfffffff0088712e0: 600b8052  mov	w0, #0x5b
0xfffffff0088712e4: 4d290094  bl	#0xfffffff00887b818
0xfffffff0088712e8: f50300aa  mov	x21, x0
0xfffffff0088712ec: b00b0194  bl	#0xfffffff0088b41ac
0xfffffff0088712f0: f40300aa  mov	x20, x0
0xfffffff0088712f4: 00018052  mov	w0, #8
0xfffffff0088712f8: 56290094  bl	#0xfffffff00887b850
0xfffffff0088712fc: 75010034  cbz	w21, #0xfffffff008871328
0xfffffff008871300: c84dffb0  adrp	x8, #0xfffffff00722a000
0xfffffff008871304: 089d2691  add	x8, x8, #0x9a7
0xfffffff008871308: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00887130c: 680b8052  mov	w8, #0x5b
0xfffffff008871310: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008871314: f40300f9  str	x20, [sp]
0xfffffff008871318: 004dffd0  adrp	x0, #0xfffffff007213000
0xfffffff00887131c: 003c3891  add	x0, x0, #0xe0f
0xfffffff008871320: 5018d597  bl	#0xfffffff007db7460
0xfffffff008871324: 13000014  b	#0xfffffff008871370
0xfffffff008871328: a10b0194  bl	#0xfffffff0088b41ac
0xfffffff00887132c: f40300aa  mov	x20, x0
0xfffffff008871330: 00018052  mov	w0, #8
0xfffffff008871334: 47290094  bl	#0xfffffff00887b850
0xfffffff008871338: c84dffb0  adrp	x8, #0xfffffff00722a000
0xfffffff00887133c: 089d2691  add	x8, x8, #0x9a7
0xfffffff008871340: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008871344: 680b8052  mov	w8, #0x5b
0xfffffff008871348: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00887134c: f40300f9  str	x20, [sp]
0xfffffff008871350: c04bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008871354: 00003a91  add	x0, x0, #0xe80
0xfffffff008871358: a18cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00887135c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008871360: 234ffff0  adrp	x3, #0xfffffff007258000
0xfffffff008871364: 63f83b91  add	x3, x3, #0xefe
0xfffffff008871368: 02008052  mov	w2, #0
0xfffffff00887136c: 7107eb97  bl	#0xfffffff008333130
0xfffffff008871370: e00313aa  mov	x0, x19
0xfffffff008871374: 01009052  mov	w1, #0x8000
0xfffffff008871378: e102a072  movk	w1, #0x17, lsl #16
0xfffffff00887137c: 02048052  mov	w2, #0x20
0xfffffff008871380: c202a072  movk	w2, #0x16, lsl #16
0xfffffff008871384: 23008052  mov	w3, #1
0xfffffff008871388: b6110094  bl	#0xfffffff008875a60
0xfffffff00887138c: f40300aa  mov	x20, x0
0xfffffff008871390: 600b8052  mov	w0, #0x5b
0xfffffff008871394: 01018052  mov	w1, #8
